model,description,metric,metric_code,value,rating,link
,Falcon - 2014 Ford Falcon Ute EcoLPi FG MkII Auto Super Cab,price,price,18750,1.92,https://www.carsales.com.au/cars/details/2014-ford-falcon-ute-ecolpi-fg-mkii-auto-super-cab/OAG-AD-17483189/?Cr=8
,Falcon - 2014 Ford Falcon Ute EcoLPi FG MkII Auto Super Cab,milage,milage,78595,1.92,https://www.carsales.com.au/cars/details/2014-ford-falcon-ute-ecolpi-fg-mkii-auto-super-cab/OAG-AD-17483189/?Cr=8
,Falcon - 2014 Ford Falcon Ute EcoLPi FG MkII Auto Super Cab,age,age,5,1.92,https://www.carsales.com.au/cars/details/2014-ford-falcon-ute-ecolpi-fg-mkii-auto-super-cab/OAG-AD-17483189/?Cr=8
