date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY,USDSGD,USDHKD,USDBRL,USDTWD,USDZAR,USDPLN,USDHUF,USDCZK,USDRUB,USDEUR,USDGBP,USDTRL,USDMAD,USDSOS,USDCHF,USDCAD,USDCOP,USDPEN,USDARS,USDNOK,USDDKK,USDNZD,USDAUD,USDKRW,USDCLP,ARSUSD,ARSCNY,ARSBRL,ARSRUB,ARSEUR,ARSGBP,ARSCHF,ARSCAD,ARSAUD,AUDUSD,AUDTRY,AUDILS,AUDCNY,AUDSGD,AUDHKD,AUDKRW,AUDBRL,AUDTWD,AUDZAR,AUDPLN,AUDHUF,AUDCZK,AUDRUB,AUDEUR,AUDGBP,AUDCHF,AUDCAD,AUDARS,AUDNOK,AUDDKK,AUDNZD,BRLUSD,BRLCNY,BRLKRW,BRLRUB,BRLGBP,BRLCHF,BRLCAD,BRLCLP,BRLEUR,BRLARS,CADMXN,CADUSD,CADTRY,CADILS,CADCNY,CADSGD,CADHKD,CADKRW,CADBRL,CADTWD,CADZAR,CADPLN,CADHUF,CADCZK,CADRUB,CADEUR,CADGBP,CADMAD,CADCHF,CADCOP,CADARS,CADNOK,CADDKK,CADNZD,CADAUD,CHFMXN,CHFUSD,CHFTRY,CHFILS,CHFCNY,CHFSGD,CHFHKD,CHFKRW,CHFBRL,CHFZAR,CHFPLN,CHFHUF,CHFCZK,CHFRUB,CHFEUR,CHFGBP,CHFCAD,CHFNOK,CHFDKK,CHFNZD,CHFAUD,CLPUSD,CNHUSD,CNHHKD,CNYUSD,CNYCNH,CNYSGD,CNYHKD,CNYKRW,CNYTWD,CNYRUB,CNYEUR,CNYGBP,CNYCHF,CNYCAD,CNYNZD,CNYAUD
2013-03-17,1,5,29,12,5,31,26,9,12,6,20,66,18,1,30,7,0,0,0,10,11,26,0,0,20,0,24,18,84,0,0,0,0,0,0,0,59,0,0,30,18,0,0,46,34,0,0,0,68,0,36,0,0,21,7,26,24,0,58,0,9,0,0,0,0,0,0,24,0,84,0,0,12,0,0,30,0,23,0,0,41,44,0,0,0,0,14,23,65,0,0,61,0,33,0,0,0,13,37,0,43,56,0,0,39,0,7,13,0,0,6,37,0,0,75,0,0,0,54,0,0,0,0,14,0,31,0,0,0,0,0,0,50
2013-03-24,2,3,61,4,6,30,17,9,12,6,20,49,22,1,43,7,0,29,0,8,13,0,0,27,12,15,0,21,28,0,0,0,0,0,0,0,0,0,0,38,21,0,24,39,23,0,0,45,0,33,0,0,0,22,14,32,18,62,45,0,18,28,0,0,0,0,0,75,0,43,0,0,10,0,26,42,31,40,0,0,55,0,60,0,0,0,28,36,0,0,0,41,0,44,0,0,0,9,0,0,59,0,49,0,0,66,16,13,0,0,7,38,0,0,0,0,39,60,0,0,13,0,0,0,0,0,0,0,39,0,0,0,0
2013-03-31,3,4,34,7,6,19,10,11,10,6,16,42,50,1,20,5,0,0,88,9,16,34,0,0,26,46,0,18,51,19,0,0,94,0,0,0,0,0,0,32,14,0,31,38,16,0,0,34,0,0,37,0,0,39,7,0,24,0,0,0,19,0,0,0,0,0,0,69,0,42,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,25,0,33,0,41,0,6,37,49,58,0,0,0,39,49,7,0,0,0,3,49,31,0,0,0,0,0,0,0,12,0,0,17,0,32,0,42,0,0,0,0,0
2013-04-07,2,6,100,11,6,21,21,9,12,4,20,42,0,0,28,6,0,37,0,8,14,26,19,30,17,15,21,12,100,0,0,0,0,0,0,0,44,0,0,35,0,0,23,46,33,0,0,0,0,0,36,0,0,26,20,26,27,0,57,0,16,27,0,0,0,0,0,35,0,42,0,0,11,0,25,35,33,30,0,0,0,58,0,0,0,0,10,23,0,0,0,40,0,0,0,0,0,8,0,0,0,33,36,63,0,0,13,0,0,0,8,25,0,0,0,0,0,0,0,0,12,0,0,16,0,0,0,0,38,0,0,0,0
2013-04-14,2,6,53,7,7,28,17,10,13,4,23,30,55,1,21,5,0,0,0,10,16,20,0,0,17,15,29,15,34,18,0,0,0,0,73,0,0,0,0,37,14,0,27,68,33,46,0,0,46,0,0,0,0,34,8,53,17,61,0,49,16,36,0,0,0,63,58,35,0,0,0,0,13,0,34,0,0,0,0,0,0,0,0,0,0,0,0,26,49,0,0,53,0,0,55,47,0,8,0,49,0,0,36,0,0,0,7,17,0,0,4,50,31,34,0,0,0,44,31,0,37,0,57,29,28,32,0,0,0,0,0,0,0
2013-04-21,3,5,40,7,14,28,14,13,8,7,15,42,19,1,31,7,0,0,0,9,11,17,0,0,27,15,21,14,41,19,0,0,0,0,0,0,44,0,0,39,28,0,23,41,51,0,0,0,0,32,0,0,43,27,10,33,24,0,0,0,41,27,0,0,0,47,0,79,0,0,0,0,16,0,0,0,33,23,50,0,0,44,0,0,0,0,0,0,0,40,0,44,0,33,0,41,0,4,37,0,0,33,36,0,0,0,8,14,0,47,3,25,0,35,0,0,29,0,43,0,12,0,78,25,0,0,0,42,0,0,0,0,0
2013-04-28,3,3,66,6,7,31,16,8,8,6,13,34,19,0,15,5,0,0,0,7,13,17,0,0,26,31,44,0,14,0,0,0,0,0,75,0,0,0,0,43,0,0,0,52,16,0,0,0,35,0,37,0,0,26,7,27,18,51,0,0,26,0,0,0,0,0,0,25,0,43,0,0,13,62,0,0,0,0,0,0,0,60,51,0,0,0,15,23,50,41,0,0,0,100,0,42,0,7,38,43,0,0,0,0,0,100,0,0,0,0,5,51,0,30,0,0,0,45,0,0,13,0,0,20,0,32,0,0,39,0,0,0,0
2013-05-05,4,3,51,4,13,22,19,16,13,3,20,37,43,1,29,8,0,0,0,10,12,0,26,36,29,0,25,24,31,0,59,0,0,0,0,0,45,0,0,73,14,58,0,56,59,0,0,0,0,0,37,0,0,59,7,28,31,46,0,0,32,28,76,0,0,0,0,61,0,0,0,0,13,0,0,35,30,0,0,0,0,0,60,0,0,0,10,31,0,27,0,33,50,0,0,47,0,6,38,0,0,0,42,0,0,0,7,0,0,0,4,25,0,0,0,0,39,0,32,0,28,0,0,29,0,32,0,0,0,0,63,0,0
2013-05-12,4,6,43,4,7,32,12,13,25,7,26,42,18,1,29,6,0,0,0,12,13,17,0,26,12,15,36,41,40,0,0,0,0,0,0,0,58,0,0,100,15,0,58,67,58,0,0,33,0,0,41,0,0,60,14,33,17,0,49,0,41,27,75,0,0,0,0,60,0,55,0,0,23,0,0,0,0,23,0,0,0,44,0,0,0,79,0,23,0,29,0,41,0,0,0,40,0,13,49,36,0,37,0,0,0,0,12,18,0,46,4,65,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,100,0,0,0,0
2013-05-19,2,5,79,13,11,33,18,9,8,7,13,38,27,1,26,3,0,0,0,10,14,17,19,26,11,26,21,41,37,31,0,0,0,0,0,0,0,0,0,96,0,50,46,42,66,61,0,17,0,0,0,0,0,30,15,33,17,0,0,0,34,0,100,0,0,0,0,95,0,0,0,41,17,0,0,30,0,30,0,0,0,0,44,0,0,40,10,0,0,38,0,44,0,64,0,41,0,16,0,0,0,0,36,0,0,0,0,19,82,46,8,49,35,0,74,0,0,0,0,0,18,0,58,14,0,0,0,42,76,0,0,0,0
