date,USDMXN,USDTRY,USDILS
2013-01-06,2,2,48
2013-01-13,2,7,37
2013-01-20,3,6,20
2013-01-27,3,4,20
2013-02-03,2,4,58
2013-02-10,2,3,20
2013-02-17,1,5,36
2013-02-24,3,3,34
2013-03-03,2,4,58
2013-03-10,1,3,28
2013-03-17,1,5,29
2013-03-24,2,3,61
2013-03-31,3,4,34
2013-04-07,2,6,100
2013-04-14,2,6,53
2013-04-21,3,5,40
2013-04-28,3,3,66
2013-05-05,4,3,51
2013-05-12,4,6,43
2013-05-19,2,5,79
2013-05-26,4,4,79
2013-06-02,3,8,57
2013-06-09,2,8,56
2013-06-16,4,8,50
2013-06-23,4,8,79
2013-06-30,3,4,52
2013-07-07,3,8,35
2013-07-14,2,4,74
2013-07-21,3,5,29
2013-07-28,1,5,23
2013-08-04,2,8,35
2013-08-11,5,7,37
2013-08-18,5,12,21
2013-08-25,4,17,56
2013-09-01,3,11,49
2013-09-08,4,13,41
2013-09-15,4,15,88
2013-09-22,2,7,75
2013-09-29,3,6,40
2013-10-06,3,4,61
2013-10-13,3,6,41
2013-10-20,3,3,47
2013-10-27,2,5,27
2013-11-03,5,7,31
2013-11-10,4,5,47
2013-11-17,3,6,45
2013-11-24,1,5,33
2013-12-01,2,3,18
2013-12-08,2,6,54
2013-12-15,2,9,41
2013-12-22,3,16,37
2013-12-29,2,12,39
2014-01-05,2,7,35
2014-01-12,3,11,17
2014-01-19,4,18,31
2014-01-26,4,47,25
2014-02-02,4,19,33
2014-02-09,3,10,18
2014-02-16,3,12,30
2014-02-23,2,14,43
2014-03-02,2,14,38
2014-03-09,1,8,20
2014-03-16,3,10,39
2014-03-23,1,12,37
2014-03-30,2,14,25
2014-04-06,2,8,39
2014-04-13,1,5,21
2014-04-20,2,10,18
2014-04-27,1,5,51
2014-05-04,4,7,51
2014-05-11,1,8,25
2014-05-18,1,6,33
2014-05-25,2,10,19
2014-06-01,3,6,49
2014-06-08,2,7,35
2014-06-15,2,11,26
2014-06-22,1,7,58
2014-06-29,3,6,36
2014-07-06,3,5,39
2014-07-13,1,7,20
2014-07-20,1,7,21
2014-07-27,2,12,23
2014-08-03,1,15,20
2014-08-10,3,11,42
2014-08-17,2,13,38
