date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY,USDSGD,USDHKD,USDBRL,USDTWD,USDZAR,USDPLN,USDHUF,USDCZK,USDRUB,USDEUR,USDGBP,USDTRL,USDMAD,USDSOS,USDCHF,USDCAD,USDCOP,USDPEN,USDARS,USDNOK,USDDKK,USDNZD,USDAUD,USDKRW,USDCLP,ARSUSD,ARSCNY,ARSBRL,ARSRUB,ARSEUR,ARSGBP,ARSCHF,ARSCAD,ARSAUD,AUDUSD,AUDTRY,AUDILS,AUDCNY,AUDSGD,AUDHKD,AUDKRW,AUDBRL,AUDTWD,AUDZAR,AUDPLN,AUDHUF,AUDCZK,AUDRUB,AUDEUR,AUDGBP,AUDCHF,AUDCAD,AUDARS,AUDNOK,AUDDKK,AUDNZD,BRLUSD,BRLCNY,BRLKRW,BRLRUB,BRLGBP,BRLCHF,BRLCAD,BRLCLP,BRLEUR,BRLARS,CADMXN,CADUSD,CADTRY,CADILS,CADCNY,CADSGD,CADHKD,CADKRW,CADBRL,CADTWD,CADZAR,CADPLN,CADHUF,CADCZK,CADRUB,CADEUR,CADGBP,CADMAD,CADCHF,CADCOP,CADARS,CADNOK,CADDKK,CADNZD,CADAUD,CHFMXN,CHFUSD,CHFTRY,CHFILS,CHFCNY,CHFSGD,CHFHKD,CHFKRW,CHFBRL,CHFZAR,CHFPLN,CHFHUF,CHFCZK,CHFRUB,CHFEUR,CHFGBP,CHFCAD,CHFNOK,CHFDKK,CHFNZD,CHFAUD,CLPUSD,CNHUSD,CNHHKD,CNYUSD,CNYCNH,CNYSGD,CNYHKD,CNYKRW,CNYTWD,CNYRUB,CNYEUR,CNYGBP,CNYCHF,CNYCAD,CNYNZD,CNYAUD,COPUSD,COPILS,COPEUR,COPPEN,COPARS,CZKUSD,CZKPLN,CZKHUF,CZKRUB,CZKEUR,CZKGBP,CZKCHF,DKKUSD,DKKCNY,DKKRUB,DKKEUR,DKKGBP,DKKCHF,DKKNOK,EURMXN,EURUSD,EURTRY,EURILS,EURCNH,EURCNY,EURSGD,EURHKD,EURKRW,EURBRL,EURTWD,EURZAR,EURPLN,EURHUF,EURCZK,EURRUB,EURGBP,EURTRL,EURMAD,EURSOS,EURCHF,EURCAD,EURCOP,EURPEN,EURARS,EURNOK,EURDKK,EURNZD,EURAUD,EURCLP,GBPMXN,GBPUSD,GBPTRY,GBPILS,GBPCNY,GBPSGD,GBPHKD,GBPKRW,GBPBRL,GBPTWD,GBPZAR,GBPPLN,GBPHUF,GBPCZK,GBPRUB,GBPEUR,GBPMAD,GBPCHF,GBPCAD,GBPCOP,GBPCLP,GBPARS,GBPNOK,GBPDKK,GBPNZD,GBPAUD,HKDUSD,HKDCNH,HKDCNY,HKDSGD,HKDKRW,HKDTWD,HKDZAR,HKDEUR,HKDGBP,HKDCZK,HKDRUB,HKDCHF,HKDCAD,HKDNZD,HKDAUD,HUFUSD,HUFEUR,HUFGBP,HUFCHF,ILSUSD,ILSRUB,ILSEUR,KRWUSD,KRWCNY,KRWHKD,KRWBRL,KRWTWD,KRWRUB,KRWEUR,KRWGBP,KRWCAD,KRWAUD,MADUSD,MADILS,MADZAR,MADRUB
2013-01-06,2,2,48,9,9,20,26,9,15,5,31,35,19,0,31,4,80,0,0,5,13,36,0,0,22,27,23,13,28,19,47,0,0,0,0,0,47,0,0,33,19,0,24,25,38,0,0,18,41,0,0,0,0,32,10,22,15,0,92,0,9,58,0,0,0,0,61,28,0,0,0,0,10,0,0,43,32,0,0,0,57,0,62,44,0,0,0,24,0,32,0,39,52,0,0,0,0,6,0,51,0,0,0,0,54,0,13,13,0,0,0,38,33,27,0,68,0,0,44,0,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,28,19,0,0,0,71,0,0,0,0,0,0,0,0,71,0,50,0,40,12,37,0,42,23,27,0,34,0,24,23,86,13,2,9,0,0,0,4,30,35,25,0,18,21,0,48,36,36,5,23,0,36,8,3,0,84,80,6,26,19,45,0,5,0,16,13,0,0,0,0,0,11,7,46,0,24,0,0,0,0,0,37,0,0,78,0,0,0,0,0,0,81,0,0,0,28,0,0,0,0,0,0,0,0,0,0,21,55,60
2013-01-13,2,7,37,7,8,20,14,8,12,7,24,0,0,1,26,3,0,0,0,13,10,20,0,0,36,16,0,15,45,29,60,0,0,0,0,0,0,0,0,30,24,51,0,30,47,0,0,0,36,0,0,0,0,53,7,27,20,0,60,0,15,0,0,0,0,0,0,50,0,0,0,0,9,0,0,84,0,32,0,0,0,0,0,0,0,0,11,0,0,0,76,36,68,0,0,0,0,13,44,50,0,37,43,0,0,0,10,14,0,0,7,25,0,0,0,0,0,45,0,0,19,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0,0,0,0,0,69,91,0,17,36,22,0,0,18,29,31,0,30,0,33,34,92,8,1,8,0,0,0,17,28,0,36,0,13,27,47,30,0,0,5,0,0,35,4,12,0,35,39,11,26,24,33,12,5,0,20,17,0,0,47,20,0,21,11,17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,79,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,39,0
2013-01-20,3,6,20,11,5,19,9,6,14,10,21,17,22,1,18,5,0,0,0,8,16,18,19,27,30,31,22,8,45,0,0,0,0,0,0,0,0,0,0,27,0,51,32,22,32,0,52,0,35,0,0,0,0,55,8,32,21,0,0,0,22,28,0,0,0,0,60,71,0,49,0,43,16,0,0,54,0,0,0,0,0,0,0,0,0,0,0,31,0,27,0,27,0,34,0,0,0,11,0,0,0,38,0,0,0,0,7,0,0,0,4,25,42,0,78,0,0,45,0,0,14,0,0,30,0,0,0,43,0,0,86,0,0,0,0,81,22,44,0,0,0,0,0,61,0,0,0,0,0,0,0,48,0,32,12,41,0,0,13,16,39,33,0,13,42,76,9,3,16,0,0,46,12,32,0,50,0,13,25,17,22,0,39,6,20,0,23,8,4,0,0,0,11,29,18,34,0,5,43,21,14,0,0,0,51,51,26,10,23,0,16,0,0,0,0,44,0,0,0,0,34,0,0,0,0,55,78,44,0,0,27,0,0,0,0,0,0,0,0,0,0,100,39,0
2013-01-27,3,4,20,15,7,35,16,13,23,13,9,25,19,1,21,5,0,0,0,10,17,30,19,46,24,22,21,17,71,0,0,0,0,0,0,0,61,0,0,35,14,0,35,17,27,0,0,17,70,44,0,0,0,26,23,32,10,0,0,0,35,0,0,0,0,0,0,25,0,0,0,0,6,0,0,31,0,0,0,0,0,0,0,0,0,0,14,0,0,27,0,25,0,0,0,0,0,7,75,36,44,45,100,0,0,0,8,14,0,0,5,37,0,26,77,0,0,0,0,32,25,0,0,20,0,32,0,0,52,0,0,0,0,0,0,46,20,38,0,0,0,0,21,0,0,52,0,0,0,0,0,0,16,39,19,32,0,18,45,26,52,18,40,22,30,99,9,1,9,0,46,0,10,21,30,28,0,38,28,0,49,35,0,7,0,43,38,13,6,0,0,0,12,13,31,0,11,8,43,14,14,0,0,0,15,25,19,11,0,0,16,0,0,29,0,0,40,0,0,100,34,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,27,34,0
2013-02-03,2,4,58,7,6,31,24,9,20,6,23,37,0,1,28,8,0,43,0,14,16,30,0,0,13,26,58,10,48,28,0,0,0,0,100,0,0,0,0,35,14,0,27,17,16,0,0,0,35,0,0,0,0,18,12,47,25,0,0,0,23,0,0,0,0,0,0,57,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0,0,0,25,0,0,0,42,85,13,38,100,0,0,0,0,0,0,16,13,0,0,12,28,0,0,77,0,0,51,0,0,14,0,0,15,0,43,0,0,0,0,0,0,0,0,0,31,23,38,31,0,0,0,0,0,0,52,0,0,0,0,0,0,0,37,12,31,0,18,29,14,52,29,0,22,33,72,8,3,17,0,0,46,9,19,0,49,0,25,0,0,43,46,34,7,0,33,39,11,3,46,31,0,6,10,41,0,0,7,0,7,15,0,0,0,0,29,20,9,17,0,16,47,0,34,0,0,93,0,0,0,0,0,0,48,0,0,0,44,0,0,27,0,51,0,0,0,0,0,0,0,45,20,50,43
2013-02-10,2,3,20,6,4,21,15,12,12,8,17,34,0,1,21,3,79,0,0,8,13,18,0,0,14,16,22,10,32,19,0,0,0,0,0,0,46,0,0,38,19,0,0,26,16,49,39,17,36,0,43,0,0,31,12,28,10,47,0,0,22,28,0,0,0,56,0,37,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,29,0,34,0,43,0,6,0,51,0,34,76,0,41,0,11,15,0,0,4,0,0,31,0,0,0,52,0,33,0,0,0,15,0,33,0,0,53,0,0,0,52,44,0,27,21,39,0,0,0,0,0,0,0,53,0,0,0,80,0,0,0,31,14,32,0,0,43,25,0,0,0,13,9,89,8,3,8,0,48,47,7,19,35,50,0,24,56,19,30,35,0,6,17,44,19,16,7,35,42,0,16,0,55,0,16,6,0,10,13,55,0,0,15,26,10,14,17,0,16,0,0,0,0,44,35,0,0,0,0,0,0,48,66,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,20,22,60
2013-02-17,1,5,36,4,6,26,20,9,10,6,27,24,100,0,21,7,0,0,0,7,21,35,0,31,12,31,29,29,34,19,44,0,0,0,0,0,0,0,0,39,0,0,24,30,30,62,38,19,0,0,0,0,0,26,17,20,29,0,0,0,16,28,77,0,0,0,0,25,0,49,0,0,16,0,0,45,31,0,0,0,0,0,0,42,0,0,12,47,0,31,0,42,0,0,0,0,0,8,100,0,58,33,37,0,0,0,9,0,0,0,11,25,31,0,0,0,0,0,32,0,0,0,0,38,0,0,0,56,0,0,0,0,0,32,0,27,15,39,31,0,69,0,0,0,0,0,0,0,54,0,0,0,16,31,10,31,35,18,20,48,39,24,30,15,22,42,8,1,12,0,0,0,7,29,0,50,41,33,37,25,43,45,0,9,22,0,32,16,6,0,31,39,6,19,27,33,11,8,0,10,23,0,0,0,15,25,17,13,33,0,16,31,0,25,0,0,0,0,0,75,0,0,0,48,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
2013-02-24,3,3,34,9,7,16,14,8,0,2,23,36,19,0,22,8,0,0,88,13,16,23,0,0,20,44,0,18,27,43,44,0,0,0,0,0,45,0,0,40,18,0,25,30,16,0,0,23,0,32,37,0,0,34,14,18,28,0,43,0,12,73,0,0,0,0,0,61,0,56,0,0,16,0,0,30,30,0,50,0,0,0,0,55,0,0,12,23,0,27,0,48,0,0,0,81,0,9,0,0,0,0,0,0,0,0,13,0,0,0,7,41,0,0,0,0,0,0,0,0,12,62,0,29,0,32,0,42,0,0,0,0,0,0,0,27,18,38,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,37,7,35,0,18,42,36,44,17,0,13,27,64,8,3,12,0,0,0,7,23,0,56,0,46,18,16,24,46,0,10,0,96,27,11,16,0,61,0,6,13,39,0,11,8,0,17,19,0,0,0,0,33,23,21,19,0,31,31,0,25,0,0,35,0,0,0,0,0,0,0,0,72,0,0,0,57,27,0,0,0,0,0,71,0,0,0,0,20,52,57
2013-03-03,2,4,58,11,7,36,12,15,9,6,13,54,0,1,32,5,0,0,0,14,19,17,0,0,41,23,28,9,27,21,0,0,0,0,0,0,51,0,0,40,14,57,34,29,26,47,0,0,0,0,0,0,44,30,7,18,17,60,50,0,25,31,0,0,0,47,0,80,0,0,0,0,17,0,0,31,40,23,0,0,0,0,44,0,0,0,21,0,0,27,0,37,0,0,0,0,0,12,0,0,0,33,37,0,0,49,10,13,0,0,8,28,0,0,100,0,0,0,42,0,27,0,64,0,0,0,0,84,39,0,0,0,0,0,42,27,18,100,30,0,69,0,0,0,97,39,0,0,0,0,67,0,27,38,17,31,0,27,56,32,0,16,0,32,11,85,0,2,7,0,0,45,4,19,0,55,0,11,18,0,61,0,0,7,0,32,17,11,11,44,0,50,12,17,0,33,11,6,55,19,6,0,0,0,15,25,29,13,28,0,15,0,38,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,0
2013-03-10,1,3,28,6,6,17,15,8,15,6,9,42,21,0,20,9,0,0,0,12,17,39,0,26,17,26,24,8,33,18,58,0,0,0,0,0,87,0,0,38,15,0,46,29,36,0,0,0,0,0,0,0,0,30,14,33,59,0,0,0,22,27,0,0,0,0,0,32,0,41,0,31,9,0,33,0,34,34,0,0,0,43,58,0,0,0,21,23,0,26,0,41,97,0,54,0,0,8,0,0,0,0,0,62,78,0,18,14,0,0,9,24,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0,41,37,0,0,0,0,0,0,53,21,37,30,46,0,0,0,0,0,0,0,0,40,0,0,0,0,34,12,0,0,34,32,27,0,45,0,38,32,77,8,2,14,0,0,45,4,19,26,41,0,22,20,16,31,38,0,8,17,0,28,13,7,0,0,0,22,25,17,0,22,8,0,19,6,0,0,0,14,0,20,10,28,0,0,0,37,28,0,43,0,0,0,0,0,0,0,46,47,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,19,27,42
