date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY,USDSGD,USDHKD,USDBRL,USDTWD,USDZAR,USDPLN,USDHUF,USDCZK,USDRUB,USDEUR,USDGBP,USDTRL,USDMAD,USDSOS,USDCHF,USDCAD,USDCOP,USDPEN
2013-01-06,2,2,48,9,9,20,26,9,15,5,31,35,19,0,31,4,80,0,0,5,13,36,0
2013-01-13,2,7,37,7,8,20,14,8,12,7,24,0,0,1,26,3,0,0,0,13,10,20,0
2013-01-20,3,6,20,11,5,19,9,6,14,10,21,17,22,1,18,5,0,0,0,8,16,18,19
2013-01-27,3,4,20,15,7,35,16,13,23,13,9,25,19,1,21,5,0,0,0,10,17,30,19
2013-02-03,2,4,58,7,6,31,24,9,20,6,23,37,0,1,28,8,0,43,0,14,16,30,0
2013-02-10,2,3,20,6,4,21,15,12,12,8,17,34,0,1,21,3,79,0,0,8,13,18,0
2013-02-17,1,5,36,4,6,26,20,9,10,6,27,24,100,0,21,7,0,0,0,7,21,35,0
2013-02-24,3,3,34,9,7,16,14,8,0,2,23,36,19,0,22,8,0,0,88,13,16,23,0
2013-03-03,2,4,58,11,7,36,12,15,9,6,13,54,0,1,32,5,0,0,0,14,19,17,0
2013-03-10,1,3,28,6,6,17,15,8,15,6,9,42,21,0,20,9,0,0,0,12,17,39,0
2013-03-17,1,5,29,12,5,31,26,9,12,6,20,66,18,1,30,7,0,0,0,10,11,26,0
2013-03-24,2,3,61,4,6,30,17,9,12,6,20,49,22,1,43,7,0,29,0,8,13,0,0
2013-03-31,3,4,34,7,6,19,10,11,10,6,16,42,50,1,20,5,0,0,88,9,16,34,0
2013-04-07,2,6,100,11,6,21,21,9,12,4,20,42,0,0,28,6,0,37,0,8,14,26,19
2013-04-14,2,6,53,7,7,28,17,10,13,4,23,30,55,1,21,5,0,0,0,10,16,20,0
2013-04-21,3,5,40,7,14,28,14,13,8,7,15,42,19,1,31,7,0,0,0,9,11,17,0
2013-04-28,3,3,66,6,7,31,16,8,8,6,13,34,19,0,15,5,0,0,0,7,13,17,0
2013-05-05,4,3,51,4,13,22,19,16,13,3,20,37,43,1,29,8,0,0,0,10,12,0,26
2013-05-12,4,6,43,4,7,32,12,13,25,7,26,42,18,1,29,6,0,0,0,12,13,17,0
2013-05-19,2,5,79,13,11,33,18,9,8,7,13,38,27,1,26,3,0,0,0,10,14,17,19
2013-05-26,4,4,79,7,12,35,17,11,19,8,18,57,27,1,19,4,0,0,0,12,22,23,22
2013-06-02,3,8,57,12,8,31,23,22,15,10,19,0,37,1,18,10,0,28,0,9,13,29,37
2013-06-09,2,8,56,4,11,33,19,19,19,12,15,30,27,0,34,7,0,0,0,16,16,17,49
2013-06-16,4,8,50,4,9,31,17,22,17,7,36,33,19,2,25,6,75,0,0,15,20,23,19
2013-06-23,4,8,79,4,13,49,12,13,11,12,36,66,19,1,27,5,0,0,0,12,27,19,19
2013-06-30,3,4,52,16,9,36,24,21,11,11,11,25,19,1,16,8,0,29,0,9,23,20,26
2013-07-07,3,8,35,4,9,43,9,23,8,7,9,29,0,1,28,7,0,29,0,10,22,20,0
2013-07-14,2,4,74,7,9,39,17,13,14,6,20,29,29,1,15,7,0,0,0,10,22,18,39
2013-07-21,3,5,29,0,5,30,6,9,8,7,18,38,51,1,17,5,0,0,0,12,18,26,19
2013-07-28,1,5,23,0,7,36,12,26,16,7,17,38,0,1,22,4,76,28,0,9,15,52,0
2013-08-04,2,8,35,7,6,26,14,17,14,5,30,17,26,2,25,7,0,0,0,11,16,20,19
2013-08-11,5,7,37,6,9,39,9,25,16,5,27,34,22,1,30,7,0,0,0,11,19,18,0
2013-08-18,5,12,21,4,8,38,15,52,14,9,45,44,18,1,22,5,0,28,0,12,20,31,19
2013-08-25,4,17,56,4,8,26,11,35,8,10,22,24,24,1,21,8,0,0,0,8,23,18,19
2013-09-01,3,11,49,0,5,34,8,11,16,8,16,22,0,1,22,5,0,0,0,10,16,36,18
2013-09-08,4,13,41,4,7,43,16,17,11,5,20,32,17,1,21,5,0,53,0,8,21,28,0
2013-09-15,4,15,88,0,7,35,13,14,10,11,15,47,20,2,29,6,0,31,0,10,14,16,18
2013-09-22,2,7,75,5,9,32,12,20,15,6,19,46,18,1,16,8,73,0,0,13,14,57,0
2013-09-29,3,6,40,3,3,41,14,22,12,7,21,35,0,2,35,7,71,0,0,18,13,21,0
2013-10-06,3,4,61,5,5,27,14,9,17,4,31,34,40,2,25,7,0,35,0,11,16,18,0
2013-10-13,3,6,41,5,12,35,9,9,22,6,31,68,24,0,25,5,0,0,0,17,13,0,18
2013-10-20,3,3,47,5,8,37,14,13,13,6,18,28,20,1,16,6,0,0,0,17,13,18,23
2013-10-27,2,5,27,4,7,32,8,12,11,4,15,90,30,1,33,6,0,26,0,15,15,48,0
2013-11-03,5,7,31,5,10,26,23,15,25,8,29,50,17,1,42,6,0,30,0,12,22,32,0
