date,USDMXN,USDTRY
2013-01-06,2,2
2013-01-13,2,7
2013-01-20,3,6
2013-01-27,3,4
2013-02-03,2,4
2013-02-10,2,3
2013-02-17,1,5
2013-02-24,3,3
2013-03-03,2,4
2013-03-10,1,3
2013-03-17,1,5
2013-03-24,2,3
2013-03-31,3,4
2013-04-07,2,6
2013-04-14,2,6
2013-04-21,3,5
2013-04-28,3,3
2013-05-05,4,3
2013-05-12,4,6
2013-05-19,2,5
2013-05-26,4,4
2013-06-02,3,8
2013-06-09,2,8
2013-06-16,4,8
2013-06-23,4,8
2013-06-30,3,4
2013-07-07,3,8
2013-07-14,2,4
2013-07-21,3,5
2013-07-28,1,5
2013-08-04,2,8
2013-08-11,5,7
2013-08-18,5,12
2013-08-25,4,17
2013-09-01,3,11
2013-09-08,4,13
2013-09-15,4,15
2013-09-22,2,7
2013-09-29,3,6
2013-10-06,3,4
2013-10-13,3,6
2013-10-20,3,3
2013-10-27,2,5
2013-11-03,5,7
2013-11-10,4,5
2013-11-17,3,6
2013-11-24,1,5
2013-12-01,2,3
2013-12-08,2,6
2013-12-15,2,9
2013-12-22,3,16
2013-12-29,2,12
2014-01-05,2,7
2014-01-12,3,11
2014-01-19,4,18
2014-01-26,4,47
2014-02-02,4,19
2014-02-09,3,10
2014-02-16,3,12
2014-02-23,2,14
2014-03-02,2,14
2014-03-09,1,8
2014-03-16,3,10
2014-03-23,1,12
2014-03-30,2,14
2014-04-06,2,8
2014-04-13,1,5
2014-04-20,2,10
2014-04-27,1,5
2014-05-04,4,7
2014-05-11,1,8
2014-05-18,1,6
2014-05-25,2,10
2014-06-01,3,6
2014-06-08,2,7
2014-06-15,2,11
2014-06-22,1,7
2014-06-29,3,6
2014-07-06,3,5
2014-07-13,1,7
2014-07-20,1,7
2014-07-27,2,12
2014-08-03,1,15
2014-08-10,3,11
2014-08-17,2,13
2014-08-24,2,9
2014-08-31,2,8
2014-09-07,2,13
2014-09-14,2,11
2014-09-21,3,11
2014-09-28,2,20
2014-10-05,3,22
2014-10-12,3,12
2014-10-19,3,19
2014-10-26,3,11
2014-11-02,3,8
2014-11-09,3,9
2014-11-16,2,8
2014-11-23,2,7
2014-11-30,4,6
2014-12-07,7,15
2014-12-14,5,28
2014-12-21,3,11
2014-12-28,2,9
2015-01-04,5,9
2015-01-11,5,10
2015-01-18,4,10
2015-01-25,5,17
2015-02-01,4,16
2015-02-08,5,19
2015-02-15,3,8
2015-02-22,4,14
2015-03-01,3,27
2015-03-08,6,21
2015-03-15,3,23
2015-03-22,3,16
2015-03-29,3,17
2015-04-05,4,19
2015-04-12,3,21
2015-04-19,5,16
2015-04-26,3,19
2015-05-03,3,20
2015-05-10,3,16
2015-05-17,2,17
2015-05-24,3,13
2015-05-31,4,19
2015-06-07,3,39
2015-06-14,4,19
2015-06-21,2,18
2015-06-28,5,16
2015-07-05,5,15
2015-07-12,4,18
2015-07-19,7,23
2015-07-26,5,22
2015-08-02,6,20
2015-08-09,5,24
2015-08-16,9,43
2015-08-23,10,25
2015-08-30,9,21
2015-09-06,4,26
2015-09-13,5,29
2015-09-20,7,17
2015-09-27,7,21
2015-10-04,4,29
2015-10-11,4,30
2015-10-18,4,16
2015-10-25,4,21
2015-11-01,5,44
2015-11-08,4,26
2015-11-15,5,21
2015-11-22,3,29
2015-11-29,3,27
2015-12-06,6,25
2015-12-13,8,28
2015-12-20,4,25
2015-12-27,4,16
2016-01-03,7,34
