date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY,USDSGD,USDHKD,USDBRL,USDTWD,USDZAR,USDPLN,USDHUF,USDCZK,USDRUB,USDEUR,USDGBP,USDTRL,USDMAD,USDSOS,USDCHF,USDCAD,USDCOP,USDPEN,USDARS,USDNOK,USDDKK,USDNZD,USDAUD,USDKRW,USDCLP,ARSUSD,ARSCNY,ARSBRL,ARSRUB,ARSEUR,ARSGBP,ARSCHF
2013-01-06,2,2,48,9,9,20,26,9,15,5,31,35,19,0,31,4,80,0,0,5,13,36,0,0,22,27,23,13,28,19,47,0,0,0,0,0,47
2013-01-13,2,7,37,7,8,20,14,8,12,7,24,0,0,1,26,3,0,0,0,13,10,20,0,0,36,16,0,15,45,29,60,0,0,0,0,0,0
2013-01-20,3,6,20,11,5,19,9,6,14,10,21,17,22,1,18,5,0,0,0,8,16,18,19,27,30,31,22,8,45,0,0,0,0,0,0,0,0
2013-01-27,3,4,20,15,7,35,16,13,23,13,9,25,19,1,21,5,0,0,0,10,17,30,19,46,24,22,21,17,71,0,0,0,0,0,0,0,61
2013-02-03,2,4,58,7,6,31,24,9,20,6,23,37,0,1,28,8,0,43,0,14,16,30,0,0,13,26,58,10,48,28,0,0,0,0,100,0,0
2013-02-10,2,3,20,6,4,21,15,12,12,8,17,34,0,1,21,3,79,0,0,8,13,18,0,0,14,16,22,10,32,19,0,0,0,0,0,0,46
2013-02-17,1,5,36,4,6,26,20,9,10,6,27,24,100,0,21,7,0,0,0,7,21,35,0,31,12,31,29,29,34,19,44,0,0,0,0,0,0
2013-02-24,3,3,34,9,7,16,14,8,0,2,23,36,19,0,22,8,0,0,88,13,16,23,0,0,20,44,0,18,27,43,44,0,0,0,0,0,45
2013-03-03,2,4,58,11,7,36,12,15,9,6,13,54,0,1,32,5,0,0,0,14,19,17,0,0,41,23,28,9,27,21,0,0,0,0,0,0,51
2013-03-10,1,3,28,6,6,17,15,8,15,6,9,42,21,0,20,9,0,0,0,12,17,39,0,26,17,26,24,8,33,18,58,0,0,0,0,0,87
2013-03-17,1,5,29,12,5,31,26,9,12,6,20,66,18,1,30,7,0,0,0,10,11,26,0,0,20,0,24,18,84,0,0,0,0,0,0,0,59
2013-03-24,2,3,61,4,6,30,17,9,12,6,20,49,22,1,43,7,0,29,0,8,13,0,0,27,12,15,0,21,28,0,0,0,0,0,0,0,0
2013-03-31,3,4,34,7,6,19,10,11,10,6,16,42,50,1,20,5,0,0,88,9,16,34,0,0,26,46,0,18,51,19,0,0,94,0,0,0,0
2013-04-07,2,6,100,11,6,21,21,9,12,4,20,42,0,0,28,6,0,37,0,8,14,26,19,30,17,15,21,12,100,0,0,0,0,0,0,0,44
2013-04-14,2,6,53,7,7,28,17,10,13,4,23,30,55,1,21,5,0,0,0,10,16,20,0,0,17,15,29,15,34,18,0,0,0,0,73,0,0
2013-04-21,3,5,40,7,14,28,14,13,8,7,15,42,19,1,31,7,0,0,0,9,11,17,0,0,27,15,21,14,41,19,0,0,0,0,0,0,44
2013-04-28,3,3,66,6,7,31,16,8,8,6,13,34,19,0,15,5,0,0,0,7,13,17,0,0,26,31,44,0,14,0,0,0,0,0,75,0,0
2013-05-05,4,3,51,4,13,22,19,16,13,3,20,37,43,1,29,8,0,0,0,10,12,0,26,36,29,0,25,24,31,0,59,0,0,0,0,0,45
2013-05-12,4,6,43,4,7,32,12,13,25,7,26,42,18,1,29,6,0,0,0,12,13,17,0,26,12,15,36,41,40,0,0,0,0,0,0,0,58
2013-05-19,2,5,79,13,11,33,18,9,8,7,13,38,27,1,26,3,0,0,0,10,14,17,19,26,11,26,21,41,37,31,0,0,0,0,0,0,0
2013-05-26,4,4,79,7,12,35,17,11,19,8,18,57,27,1,19,4,0,0,0,12,22,23,22,0,21,22,32,33,18,18,0,0,0,0,0,0,44
2013-06-02,3,8,57,12,8,31,23,22,15,10,19,0,37,1,18,10,0,28,0,9,13,29,37,0,12,37,24,47,20,21,0,0,0,0,0,0,0
2013-06-09,2,8,56,4,11,33,19,19,19,12,15,30,27,0,34,7,0,0,0,16,16,17,49,44,12,30,36,50,40,18,0,0,0,0,0,0,50
2013-06-16,4,8,50,4,9,31,17,22,17,7,36,33,19,2,25,6,75,0,0,15,20,23,19,0,23,33,21,24,60,19,0,0,0,0,0,0,59
