,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296
209,2017-01-01,21,41,46,51,31,51,14,19,22,23,42,53,15,2,32,10,0,30,0,11,43,41,66,23,27,39,37,10,46,42,0,0,0,0,0,0,35,0,100,47,11,0,21,30,29,37,0,13,31,0,39,0,0,38,18,25,44,0,34,0,38,43,0,0,0,0,40,28,0,48,0,25,29,0,0,97,0,42,0,43,0,35,35,0,66,48,25,49,0,28,0,22,39,0,0,44,60,7,0,0,0,26,0,0,31,39,12,0,0,0,2,36,0,35,80,0,0,0,0,18,35,65,46,46,0,100,0,33,0,0,50,0,0,0,25,24,25,30,0,0,0,0,0,0,0,30,0,0,0,53,0,0,37,44,31,32,40,24,37,20,0,46,40,37,17,24,6,3,11,0,42,35,4,30,0,77,0,26,25,42,38,36,31,11,19,25,18,12,11,27,32,30,17,22,25,26,15,9,0,28,11,0,0,36,13,40,27,27,30,36,18,19,40,40,0,0,27,0,0,0,26,0,50,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,21,33,0,0,0,40,0,27,0,0,12,62,0,0,0,0,38,0,29,0,47,42,0,35,38,0,25,0,34,0,0,0,0,0,49,22,30,0,40,23,16,42,36,0,30,0,16,35,76,0,0,37,0,0,0
210,2017-01-08,23,100,42,37,24,37,8,29,43,25,59,32,19,3,34,15,76,21,0,12,45,52,52,0,35,26,22,25,48,46,0,0,0,0,0,0,33,0,0,57,31,0,45,25,41,35,0,12,34,27,0,0,0,44,22,34,36,0,0,0,48,30,0,0,0,36,0,18,0,32,0,40,34,52,0,83,39,38,37,30,0,0,33,0,0,23,11,37,0,40,0,34,0,0,0,31,57,6,0,0,0,0,0,0,0,37,10,0,0,0,5,46,0,19,57,0,22,0,0,17,32,0,43,11,0,27,0,0,0,0,0,0,0,0,0,0,22,0,0,40,0,0,0,0,0,38,0,0,0,0,0,0,18,40,100,34,26,20,19,34,28,17,29,31,33,45,6,3,18,0,39,0,4,42,58,31,0,40,15,30,56,26,37,16,36,24,14,14,10,0,0,29,30,38,13,24,0,15,0,18,29,45,0,0,25,19,22,39,12,0,11,26,0,43,0,0,26,0,0,0,25,0,0,48,70,0,0,0,0,42,60,0,0,0,0,0,40,0,20,0,0,15,26,43,36,12,17,0,34,0,0,5,0,0,0,0,0,0,0,31,30,33,39,0,33,0,0,42,0,22,32,0,0,0,0,32,21,70,0,41,0,15,48,35,25,28,41,15,67,35,46,0,0,27,35,0
211,2017-01-15,21,56,38,14,21,45,17,29,25,22,34,22,19,2,30,22,0,0,0,12,50,48,88,29,25,16,48,18,55,25,0,0,0,0,0,59,33,0,70,51,0,49,34,22,40,0,0,13,87,32,30,0,0,29,16,27,33,34,0,0,54,27,0,0,0,0,32,21,0,62,0,40,24,0,38,56,52,17,37,30,0,0,0,0,0,22,11,41,0,30,55,48,37,0,41,31,0,10,28,0,0,0,27,0,0,37,6,0,0,0,3,40,0,19,0,0,24,0,0,29,23,0,0,25,21,0,31,31,0,0,46,0,0,24,47,22,23,0,0,0,0,0,15,0,0,29,0,0,0,66,0,0,35,46,57,39,0,33,38,23,0,44,22,21,26,22,14,3,29,0,0,0,4,29,22,52,0,37,31,35,69,26,67,29,23,41,34,16,24,25,26,28,37,28,24,27,12,28,31,36,30,0,79,0,24,40,24,53,13,25,12,17,0,25,0,0,26,0,0,0,0,0,0,35,35,0,0,0,35,42,17,57,50,0,0,0,0,0,0,0,0,26,44,0,62,16,37,0,33,0,0,12,58,0,0,13,0,0,0,16,0,22,0,0,0,0,100,43,0,19,27,0,0,71,27,23,45,0,68,46,16,31,56,30,34,0,41,15,0,0,0,0,27,0,0,0
212,2017-01-22,30,60,27,12,15,53,13,17,26,23,24,36,20,2,26,12,56,21,0,15,53,38,52,19,41,25,41,20,38,28,0,0,0,0,0,100,0,0,0,54,27,0,30,13,21,0,28,0,26,24,0,0,0,32,21,18,36,0,37,0,28,46,0,0,0,0,0,26,0,0,48,40,27,89,18,52,26,17,0,0,30,0,65,0,0,30,0,31,36,42,0,24,0,24,0,82,76,8,0,0,0,24,47,0,0,0,5,0,0,0,7,39,23,26,0,0,22,44,24,0,16,0,43,16,0,0,0,0,28,0,47,0,0,0,47,20,11,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,35,43,71,23,29,22,17,34,56,57,0,21,28,30,12,2,20,0,0,0,4,35,19,33,30,43,22,35,57,29,50,19,21,27,19,13,10,0,26,38,16,47,29,35,10,16,42,20,31,53,0,0,12,37,24,41,25,0,23,0,0,21,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,56,0,0,0,0,0,0,0,0,0,20,44,32,36,0,43,0,36,56,0,20,58,0,96,13,0,0,0,0,0,24,0,0,33,0,44,40,0,0,36,0,0,28,15,46,20,56,0,47,43,35,50,37,50,0,41,19,57,0,0,0,0,0,0,0
213,2017-01-29,18,58,58,8,12,41,18,18,21,28,43,26,24,2,36,17,74,24,0,14,45,25,87,38,12,24,16,33,42,20,0,0,0,0,0,0,0,0,0,45,0,37,17,31,22,0,28,0,25,0,80,0,0,35,14,19,38,0,0,0,30,36,0,0,0,0,0,20,0,0,0,0,25,44,0,26,22,31,36,39,30,0,0,30,0,34,11,25,0,34,54,30,0,24,0,92,0,7,31,0,0,32,27,0,29,48,13,0,60,35,5,18,23,34,0,80,21,0,0,34,15,0,0,19,0,23,0,31,0,0,0,0,0,0,34,19,17,28,22,0,0,65,15,87,0,32,0,72,0,0,0,0,17,47,45,0,100,19,27,29,0,24,22,37,24,27,7,3,17,0,0,0,5,35,38,30,29,43,19,17,37,25,37,16,49,47,19,3,12,25,33,0,28,16,38,27,11,15,31,24,21,0,0,0,19,21,21,30,21,25,0,23,73,18,0,42,29,0,0,0,24,0,23,0,46,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,14,36,0,41,0,25,0,35,0,0,9,0,0,0,13,0,0,0,23,0,22,52,0,33,70,37,44,0,18,25,0,0,33,29,31,70,28,0,48,37,27,68,24,100,28,46,23,0,0,0,0,26,0,0,0
214,2017-02-05,17,44,44,17,11,43,20,12,23,23,41,31,14,3,29,9,55,41,0,14,44,67,92,35,22,20,18,17,37,34,0,0,0,0,0,0,33,0,0,42,10,37,20,16,40,46,28,21,34,0,27,0,0,48,16,29,28,39,0,0,37,30,0,0,0,0,0,45,42,31,0,31,28,44,0,33,0,17,0,0,0,0,0,31,0,0,15,48,0,20,41,43,49,0,0,35,0,5,27,0,0,28,27,0,29,36,5,9,0,34,6,27,0,0,0,0,21,32,23,17,31,0,0,18,0,23,0,31,0,0,0,0,0,46,25,28,22,0,0,59,0,75,31,0,0,0,0,0,34,0,0,35,43,36,35,33,0,14,14,15,0,47,0,24,22,27,13,4,13,0,45,0,5,49,38,41,29,15,34,30,82,25,50,13,27,0,19,7,9,0,22,0,25,26,38,36,14,11,31,27,35,0,0,0,11,37,29,20,18,25,17,17,0,28,0,36,25,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,29,54,0,36,12,17,29,39,0,0,0,0,0,0,0,0,36,89,0,0,32,52,0,38,0,44,41,0,40,63,0,0,0,19,23,71,37,0,48,42,27,57,33,25,0,0,16,57,0,46,0,27,0,0,60
215,2017-02-12,14,32,47,12,8,34,28,27,26,43,52,31,15,3,26,11,0,20,0,11,39,33,45,0,18,38,18,24,27,29,0,0,0,0,0,0,0,0,0,56,0,36,0,37,33,0,0,0,25,0,0,0,0,37,7,43,40,33,0,0,34,29,0,0,0,0,0,32,42,30,0,26,28,50,0,65,22,25,36,29,40,34,0,30,0,29,15,22,0,58,0,32,48,32,0,30,0,6,27,0,0,24,0,0,0,36,9,9,0,0,2,18,0,18,55,53,42,0,0,0,13,60,0,23,0,0,0,30,0,0,45,0,36,0,26,19,21,31,29,91,0,0,0,0,0,28,0,0,29,49,0,0,34,37,34,22,25,13,13,36,27,28,0,53,24,40,12,3,12,0,44,0,4,59,49,50,39,33,26,42,60,0,24,12,13,0,25,11,12,0,22,0,36,27,22,35,11,13,30,11,19,51,39,0,10,20,21,18,12,24,22,34,47,27,0,31,25,0,0,0,0,0,0,34,0,77,0,31,0,0,23,0,0,0,0,0,0,46,0,0,31,28,48,0,35,0,31,0,18,0,0,9,56,0,0,0,0,0,0,21,0,0,0,0,0,0,0,40,0,21,23,0,0,24,37,23,51,41,100,100,22,26,41,31,25,27,0,18,32,0,61,0,0,0,0,0
216,2017-02-19,17,33,42,15,10,29,21,28,23,34,29,36,27,2,22,10,0,0,0,14,39,32,51,39,39,22,40,35,42,50,0,0,0,0,0,0,0,0,0,56,0,0,50,38,37,0,0,12,34,0,0,0,0,22,20,15,31,34,43,0,35,44,0,0,0,0,0,18,0,0,0,35,18,44,0,22,33,19,0,40,0,37,33,35,0,23,11,32,0,32,0,29,0,0,0,30,61,4,0,0,0,33,36,0,29,0,0,0,0,0,3,0,31,0,0,0,29,37,0,23,17,0,0,21,0,0,0,31,0,0,0,0,0,0,0,19,19,0,30,40,68,0,15,44,0,32,0,0,0,0,0,0,30,38,33,34,0,22,28,26,28,25,39,20,14,27,7,5,13,0,0,38,4,45,0,46,29,24,24,35,90,25,25,12,62,24,29,14,8,50,22,48,29,13,15,0,12,12,0,27,23,0,0,0,21,27,46,20,22,0,17,17,55,46,0,32,0,0,45,0,25,0,23,35,69,0,0,0,35,0,0,0,0,0,0,0,0,47,0,0,0,17,49,31,48,0,22,0,17,0,0,9,0,0,56,13,0,48,0,0,0,40,39,0,0,0,0,34,33,0,32,0,0,0,25,23,18,28,34,58,27,15,60,33,75,28,0,29,89,0,0,46,0,0,0,0
217,2017-02-26,14,41,73,12,11,38,19,18,30,28,20,35,13,2,26,12,0,0,0,14,68,33,65,22,21,32,35,26,51,23,0,0,0,0,0,0,0,0,0,46,13,36,48,30,29,0,27,12,33,23,0,0,0,37,7,24,52,33,54,35,52,20,0,0,0,0,0,44,0,30,0,23,15,0,18,44,32,33,48,32,0,63,32,0,60,22,9,28,0,44,0,37,0,0,0,54,0,6,0,26,0,0,0,0,0,40,5,0,0,0,7,18,25,0,55,0,30,0,0,0,19,0,0,19,20,25,30,0,0,0,0,0,0,26,25,51,20,27,0,0,0,0,15,0,0,0,0,0,32,0,0,0,21,39,45,22,25,25,30,26,0,24,0,53,21,38,16,3,17,0,0,0,6,63,24,45,0,33,26,51,56,0,32,13,21,39,18,10,8,24,22,36,29,20,37,0,12,12,0,24,13,39,0,0,24,20,29,27,24,0,11,51,27,27,0,0,25,0,0,0,24,0,60,34,0,0,0,0,0,0,19,0,0,0,0,0,0,92,0,0,0,28,35,0,35,0,62,0,23,0,0,10,57,0,0,13,0,0,0,15,59,21,0,0,0,34,0,25,33,31,23,0,0,32,29,46,69,55,33,54,29,19,49,22,56,0,40,15,32,0,45,58,0,27,0,0
218,2017-03-05,13,30,63,9,10,30,12,28,24,29,35,26,20,2,27,9,72,0,0,11,58,59,84,19,43,11,39,15,41,24,0,0,0,0,0,0,0,0,0,47,20,41,18,33,24,0,0,16,28,22,0,0,0,38,13,26,34,32,83,34,58,38,0,0,0,0,0,26,0,30,0,26,30,49,18,55,43,42,0,0,29,31,31,0,0,0,7,36,0,27,53,50,0,0,39,33,0,4,0,0,0,23,0,0,27,0,10,9,0,0,5,35,25,24,0,61,24,0,0,16,16,44,0,23,0,22,0,0,0,0,45,0,0,30,41,25,19,30,0,0,0,0,15,0,0,0,0,0,0,0,0,33,23,39,33,24,25,14,26,22,27,29,0,52,24,45,8,3,17,0,33,32,3,51,18,43,0,32,14,29,79,0,0,15,24,0,19,10,12,32,21,0,34,22,29,46,9,11,0,22,23,38,37,0,19,32,26,28,27,0,22,0,0,31,0,31,0,0,0,69,31,0,0,33,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,35,11,25,29,29,0,0,0,0,0,0,13,0,0,0,15,0,0,38,0,0,34,31,60,0,20,45,0,0,32,28,59,29,29,33,49,21,40,63,34,41,40,0,14,31,0,0,0,22,0,0,0
