model,description,metric,metric_code,value,link
SSE-AD-5216992,370Z - 2013 Nissan 370Z Z34 Auto,milage,milage,34000,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5216992/?Cr=271
SSE-AD-5216992,370Z - 2013 Nissan 370Z Z34 Auto,age,age,5,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5216992/?Cr=271
SSE-AD-4993652,350Z - 2008 Nissan 350Z Touring Z33 Manual,price,price,20000,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-4993652/?Cr=224
SSE-AD-4993652,350Z - 2008 Nissan 350Z Touring Z33 Manual,milage,milage,50500,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-4993652/?Cr=224
SSE-AD-4993652,350Z - 2008 Nissan 350Z Touring Z33 Manual,age,age,10,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-4993652/?Cr=224
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,price,price,31900,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,milage,milage,27231,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,age,age,4,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,price,price,31900,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,milage,milage,27231,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,age,age,4,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
OAG-AD-15462234,370Z - 2015 Nissan 370Z Z34 Manual,price,price,35999,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15462234/?Cr=114
OAG-AD-15462234,370Z - 2015 Nissan 370Z Z34 Manual,milage,milage,12811,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15462234/?Cr=114
OAG-AD-15462234,370Z - 2015 Nissan 370Z Z34 Manual,age,age,3,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15462234/?Cr=114
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36868,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?Cr=2
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,9500,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?Cr=2
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?Cr=2
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36868,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?gts=SSE-AD-4524858&gtssaleid=SSE-AD-4524858&rankingType=Spotlight
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,9500,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?gts=SSE-AD-4524858&gtssaleid=SSE-AD-4524858&rankingType=Spotlight
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?gts=SSE-AD-4524858&gtssaleid=SSE-AD-4524858&rankingType=Spotlight
SSE-AD-5086063,350Z - 2008 Nissan 350Z Touring Z33 Auto,price,price,23900,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5086063/?Cr=73
SSE-AD-5086063,350Z - 2008 Nissan 350Z Touring Z33 Auto,milage,milage,33000,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5086063/?Cr=73
SSE-AD-5086063,350Z - 2008 Nissan 350Z Touring Z33 Auto,age,age,10,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5086063/?Cr=73
SSE-AD-4786607,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36000,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4786607/?Cr=248
SSE-AD-4786607,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,15000,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4786607/?Cr=248
