model,description,metric,metric_code,value,rating,link
SSE-AD-5576118,Q5 - 2015 Audi Q5 TFSI Auto quattro,age,age,3,1.84,https://www.carsales.com.au/private/details/Audi-Q5-2015/SSE-AD-5576118/?Cr=83
OAG-AD-16311306,Q5 - 2013 Audi Q5 TFSI Auto quattro,price,price,32920,1.80,https://www.carsales.com.au/dealer/details/Audi-Q5-2013/OAG-AD-16311306/?Cr=152
OAG-AD-16311306,Q5 - 2013 Audi Q5 TFSI Auto quattro,milage,milage,44399,1.80,https://www.carsales.com.au/dealer/details/Audi-Q5-2013/OAG-AD-16311306/?Cr=152
OAG-AD-16311306,Q5 - 2013 Audi Q5 TFSI Auto quattro,age,age,5,1.80,https://www.carsales.com.au/dealer/details/Audi-Q5-2013/OAG-AD-16311306/?Cr=152
SSE-AD-3565163,Q5 - 2014 Audi Q5 TFSI Auto quattro,price,price,35497,1.78,https://www.carsales.com.au/private/details/Audi-Q5-2014/SSE-AD-3565163/?Cr=11
SSE-AD-3565163,Q5 - 2014 Audi Q5 TFSI Auto quattro,milage,milage,44500,1.78,https://www.carsales.com.au/private/details/Audi-Q5-2014/SSE-AD-3565163/?Cr=11
SSE-AD-3565163,Q5 - 2014 Audi Q5 TFSI Auto quattro,age,age,4,1.78,https://www.carsales.com.au/private/details/Audi-Q5-2014/SSE-AD-3565163/?Cr=11
OAG-AD-16373082,Q5 - 2012 Audi Q5 TDI Auto quattro,price,price,22999,1.78,https://www.carsales.com.au/dealer/details/Audi-Q5-2012/OAG-AD-16373082/?Cr=164
OAG-AD-16373082,Q5 - 2012 Audi Q5 TDI Auto quattro,milage,milage,69609,1.78,https://www.carsales.com.au/dealer/details/Audi-Q5-2012/OAG-AD-16373082/?Cr=164
OAG-AD-16373082,Q5 - 2012 Audi Q5 TDI Auto quattro,age,age,6,1.78,https://www.carsales.com.au/dealer/details/Audi-Q5-2012/OAG-AD-16373082/?Cr=164
OAG-AD-16203306,Q5 - 2011 Audi Q5 TFSI Auto quattro,price,price,22800,1.74,https://www.carsales.com.au/dealer/details/Audi-Q5-2011/OAG-AD-16203306/?Cr=126
OAG-AD-16203306,Q5 - 2011 Audi Q5 TFSI Auto quattro,milage,milage,63094,1.74,https://www.carsales.com.au/dealer/details/Audi-Q5-2011/OAG-AD-16203306/?Cr=126
OAG-AD-16203306,Q5 - 2011 Audi Q5 TFSI Auto quattro,age,age,7,1.74,https://www.carsales.com.au/dealer/details/Audi-Q5-2011/OAG-AD-16203306/?Cr=126
