"year"	"occ"	"inc1"	"inc2"	"inc3"	"inc4"	"inc5"	"inc6"	"inc7"	"inc8"	"inc9"	"inc10"	"inc11"	"inc12"	"inc13"	"inc14"	"inc15"	"inc16"	"inc17"	"inc18"	"inc19"	"inc20"	"inc21"	"inc22"	"inc23"	"inc24"	"inc25"	"inc26"	"inc27"	"inc28"	"inc29"	"inc30"	"inc31"	"inc32"	"inc33"	"inc34"	"inc35"	"inc36"	"inc37"	"inc38"	"inc39"	"inc40"	"inc41"	"inc42"
1960	1	457937	477094	594185	475162	379488	425677	529776	317186	533822	276008	444156	281397	231986	257506	231028	115549	38644	253691	0	128976	0	144044	84098	0	69909	87054	0	52297	0	42546	41943	0	26196	46719	0	26193	0	19223	20028	13839	0	0
1960	3	5784	7774	11357	11657	12746	20620	36571	34274	54087	40048	68931	42238	33578	32093	26698	16345	4186	18438	0	12355	0	10458	5978	0	4485	4381	0	2689	0	1792	1194	0	799	2192	0	896	0	795	200	300	0	0
1960	10	117939	103902	111169	93844	84370	135585	217965	188760	214987	143470	167039	99199	68527	54486	45719	21517	7274	25594	0	12248	0	10069	5576	0	3681	4583	0	2791	0	1691	798	0	798	795	0	596	0	795	598	597	0	0
1960	25	428731	506944	551657	537395	536133	646886	797096	557770	698381	385133	413957	213350	124223	112987	82888	32875	10857	38645	0	15631	0	14257	5780	0	6173	6573	0	2989	0	3287	2594	0	1196	1989	0	1592	0	1694	1196	996	0	0
1960	24	510362	602041	831333	1045482	1065745	1178837	1382729	1000454	1384151	844805	1004506	558395	348571	299041	217510	99106	28699	110887	0	50287	0	34071	19630	0	12350	11656	0	5576	0	4188	3787	0	2787	2590	0	1588	0	995	1391	895	0	0
1960	12	87960	93222	128492	120743	113738	135748	165251	93335	88448	44345	55186	31472	23821	27009	18427	10957	3385	27314	0	14046	0	21012	12950	0	9859	18839	0	11056	0	7177	9069	0	5772	14439	0	6278	0	6073	3785	4177	0	0
1960	13	90770	69244	80819	83700	68447	59271	46021	22423	9362	3985	3685	896	500	797	100	99	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	19	643821	568343	670036	620415	819429	1121417	1358579	812978	843680	470018	388581	179795	112070	84676	58476	30384	10958	37053	0	20538	0	11656	8263	0	6770	5879	0	3583	0	2789	2191	0	1392	1097	0	796	0	796	897	1095	0	0
1960	11	51014	58269	55098	43430	39668	41359	51825	43726	58867	43924	56492	37955	28168	25602	26399	12642	3983	18035	0	12750	0	8768	3885	0	4090	3089	0	2392	0	1594	2889	0	1095	1494	0	1294	0	1096	696	598	0	0
1960	18	680697	562699	507472	457364	387427	360069	401940	248060	361032	194183	288403	169435	137241	128103	119158	53290	20920	112183	0	54289	0	57660	28077	0	28283	33367	0	15832	0	13255	13843	0	10068	13847	0	6964	0	5676	5284	3488	0	0
1960	17	678442	667385	474605	251555	157019	128111	109767	49615	51629	27500	26592	12461	8962	8373	7178	1590	499	5975	0	2289	0	1596	1996	0	596	1197	0	597	0	198	200	0	99	299	0	300	0	0	199	200	0	0
1960	6	996	996	2793	1694	2686	3388	6478	5882	11952	9173	17229	10261	7177	5483	3389	2088	398	2688	0	1394	0	598	299	0	100	0	0	100	0	200	199	0	0	0	0	0	0	0	0	0	0	0
1960	21	67832	114177	150013	161774	163469	205415	291707	210594	332098	205874	290693	181628	112373	99316	62379	21814	8069	24817	0	9463	0	8464	4080	0	3089	2689	0	1792	0	1396	999	0	1196	1195	0	698	0	198	598	299	0	0
1960	7	19335	26089	30887	26497	28291	34857	53495	48517	73410	57961	90345	52402	44830	40342	33859	17845	5872	26607	0	14448	0	13351	8873	0	6577	5483	0	3190	0	2390	2493	0	1196	1895	0	796	0	1494	1392	500	0	0
1960	15	387078	409622	430991	285029	187484	149335	127301	58873	56087	24025	25306	10958	5376	5473	4083	2090	299	4288	0	497	0	1395	500	0	400	396	0	0	0	100	200	0	99	0	0	200	0	200	0	100	0	0
1960	14	8962	14848	18421	25606	31774	48019	75499	80676	107667	83088	94838	40055	22706	14244	9965	3091	1892	4483	0	2086	0	1298	398	0	798	100	0	199	0	100	0	0	100	0	0	199	0	0	99	100	0	0
