offset,correlation
-150,-0.457397109475
-149,-0.052804981353
-148,0.010161455794
-147,0.244228643452
-146,0.453572438586
-145,0.0637077410344
-144,0.199372714152
-143,-0.202885601932
-142,0.178156783889
-141,0.229879994291
-140,-0.0960754322508
-139,0.130627532335
-138,-0.0157376150434
-137,-0.28623339812
-136,-0.525419348075
-135,0.285465239997
-134,0.0848399309951
-133,0.269334165028
-132,-0.150459636314
-131,-0.1361632933
-130,0.109320378623
-129,0.497970554938
-128,0.314430506093
-127,0.134546649046
-126,0.782829413295
-125,0.178523532295
-124,0.555860143893
-123,-0.298226887707
-122,-0.195594770632
-121,-0.352666121366
-120,-0.84114207552
-119,0.164607739751
-118,-0.557518308189
-117,-0.24927534875
-116,-0.125744963798
-115,-0.790866185847
-114,-0.0336182739755
-113,-0.651404073388
-112,-0.378017321947
-111,-0.559381397323
-110,-0.540705626138
-109,-0.390670816197
-108,-0.345487076811
-107,-0.703854117126
-106,-0.327398210047
-105,0.260722105379
-104,0.253384653613
-103,-0.171628728379
-102,0.173000270719
-101,0.407270386777
-100,0.0417576922403
-99,0.162536678127
-98,0.246807982941
-97,0.479899146208
-96,0.178138465476
-95,0.741453436768
-94,0.103800903253
-93,0.369897983152
-92,0.327018644155
-91,0.754213472845
-90,0.098653571184
-89,0.108926556913
-88,0.4050657903
-87,0.128663232446
-86,0.501288188742
-85,0.714666211591
-84,0.431715803771
-83,0.435230388762
-82,-0.182546863711
-81,-0.110349813849
-80,0.116337720773
-79,-0.129542905464
-78,0.501390033161
-77,0.277043591804
-76,0.312778327593
-75,0.0498154220998
-74,0.0108654944983
-73,0.662461916047
-72,-0.167658451573
-71,-0.237666458984
-70,-0.73893115204
-69,0.229250869968
-68,0.447236027948
-67,0.268673841537
-66,0.365308104533
-65,0.319131284525
-64,-0.199516903183
-63,0.244427418859
-62,0.12190758175
-61,-0.0449772818827
-60,0.361489718481
-59,0.129231275928
-58,0.155909596156
-57,0.380273555093
-56,-0.175188545328
-55,-0.250735153615
-54,-0.118594858489
-53,0.142932724959
-52,0.365725349636
-51,0.152301331771
-50,0.117466023915
-49,-0.10499150249
-48,-0.317338488539
-47,-0.51314919408
-46,-0.0169270324651
-45,-0.308233317287
-44,-0.323829569361
-43,-0.0967313114201
-42,0.0218821691256
-41,0.825503535409
-40,0.150316717316
-39,0.38061724699
-38,0.296592657739
-37,0.407121981681
-36,-0.111470241229
-35,-0.51268517991
-34,0.611517820504
-33,-0.0339564730519
-32,0.0986883941008
-31,-0.10791871013
-30,0.674449966854
-29,0.150173999175
-28,0.48284405414
-27,0.216713920102
-26,0.709823498346
-25,0.366355729547
-24,0.504748287468
-23,0.46303986625
-22,0.335970512724
-21,0.736897126982
-20,0.558323311722
-19,0.445119000523
-18,0.632989693275
-17,0.475726347225
-16,0.3281123749
-15,0.73853070823
-14,0.390427520298
-13,0.499731359249
-12,0.0255852206942
-11,0.351405057041
-10,0.27610831346
-9,-0.290119905926
-8,-0.0630350564029
-7,0.0905249000079
-6,0.364699468126
-5,0.198303138457
-4,0.191157238216
-3,0.0937172854048
-2,0.471582305857
-1,-0.0916247423373
0,-0.0789014338191
1,0.0944816201131
2,0.361159275022
3,-0.0681472367692
4,0.307788356422
5,0.24021204101
6,-0.433789909365
7,-0.225181827144
8,0.151179450567
9,0.274943667599
10,0.611942672395
11,-0.0732682419637
12,0.166954521922
13,0.275124707775
14,0.078142600704
15,0.205531787192
16,0.501922596766
17,0.495768002476
18,0.206253347878
19,-0.152857433354
20,0.192369661403
21,0.158280278633
22,0.35571447395
23,0.029254514914
24,0.15843593134
25,0.135889791617
26,0.091374650172
27,-0.233928658766
28,-0.027514611731
29,0.399305328259
30,-0.367546907812
31,0.157368796244
32,-0.310255221786
33,0.0029842800612
34,-0.399151555397
35,0.0889348837973
36,-0.294402461449
37,-0.11593451929
38,0.328985808075
39,-0.127024347776
40,-0.471919807761
41,-0.0989232186122
42,-0.266238073568
43,-0.39730487811
44,-0.0690387467037
45,-0.334536455111
46,-0.206862646287
47,-0.403988827198
48,-0.0681393763745
49,-0.00569849876218
50,-0.0784605747088
51,-0.0768689460756
52,-0.0821465567584
53,-0.0842525948352
54,0.527015700868
55,0.264685158449
56,-0.449824845025
57,0.12344297716
58,0.140977968478
59,-0.4800065806
60,-0.0234806735307
61,-0.582825200817
62,0.176509621104
63,-0.57252413687
64,0.0312437229552
65,-0.851289232204
66,-0.397027230089
67,-0.694393683954
68,-0.568041448178
69,-0.0627586276688
70,-0.848252927889
71,-0.17682168399
72,-0.196170998394
73,-0.611775797907
74,-0.268169665424
75,-0.578086384709
76,-0.713535138028
77,-0.245846052168
78,-0.12146389367
79,0.107856039856
80,-0.385428799504
81,-0.250368752449
82,0.149791160385
83,0.161931503454
84,-0.296804581063
85,0.166085564453
86,0.0456046804128
87,-0.713570558563
88,-0.122177361664
89,-0.284367485558
90,-0.262680115986
91,-0.150054698123
92,-0.300131337133
93,-0.319244297888
94,-0.738566874727
95,-0.649920981228
96,-0.146177920033
97,-0.370048103147
98,-0.712776471317
99,-0.0460036930617
100,0.306166097185
101,-0.533442946387
102,0.49503276473
103,-0.308251421396
104,-0.541982625149
105,-0.352521343289
106,-0.53092394339
107,-0.459897473083
108,-0.324666794219
109,-0.19677616137
110,0.0245193781348
111,0.123977840763
112,-0.419643942629
113,-0.656696262481
114,-0.0239616464306
115,-0.197633463187
116,0.465523035048
117,-0.54982258097
118,-0.434468274577
119,-0.636410862071
120,-0.698882493188
121,0.259230696778
122,-0.286776901824
123,0.342888468966
124,-0.58396151292
125,-0.646966387765
126,-0.605255781403
127,-0.465398735594
128,-0.628810080334
129,-0.619484733757
130,-0.266872516779
131,-0.367920897578
132,-0.547949361993
133,-0.154700629806
134,-0.559156158837
135,-0.211479140654
136,-0.163633931396
137,-0.692091637635
138,-0.0755786856302
139,-0.537938253759
140,-0.535543144186
141,-0.350424483269
142,-0.53749950053
143,-0.261041344536
144,0.051911809496
145,-0.931687390282
146,0.0549694179134
147,-0.128983595568
148,-0.864244786776
149,0.396492899726
