This file was downloaded on March 13 2018 7:45:12 PM UTC-07:00
Keywords,mattress
Date Range,2015-03-12 - 2018-03-11
Buyer Country: ,AU
Category: ,Mattresses
Product Condition: ,New
Listing Format: ,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-07-16,133,83.00 USD,11038.71 USD
2015-07-17,117,57.06 USD,6676.45 USD
2015-07-18,133,78.67 USD,10463.17 USD
2015-07-19,159,68.14 USD,10834.01 USD
2015-07-20,158,70.99 USD,11216.72 USD
2015-07-21,161,77.17 USD,12423.76 USD
2015-07-22,135,80.19 USD,10825.76 USD
2015-07-23,157,70.51 USD,11069.36 USD
2015-07-24,132,62.08 USD,8194.68 USD
2015-07-25,136,65.72 USD,8937.88 USD
2015-07-26,183,56.40 USD,10321.24 USD
2015-07-27,175,56.31 USD,9854.27 USD
2015-07-28,134,77.34 USD,10364.16 USD
2015-07-29,150,57.50 USD,8625.61 USD
2015-07-30,120,67.27 USD,8072.94 USD
2015-07-31,116,51.48 USD,5971.36 USD
2015-08-01,126,49.60 USD,6249.08 USD
2015-08-02,139,61.04 USD,8485.13 USD
2015-08-03,161,46.17 USD,7434.11 USD
2015-08-04,154,64.77 USD,9973.99 USD
2015-08-05,123,56.82 USD,6988.54 USD
2015-08-06,123,76.82 USD,9449.42 USD
2015-08-07,101,71.12 USD,7182.94 USD
2015-08-08,129,51.05 USD,6585.98 USD
2015-08-09,146,47.30 USD,6905.27 USD
2015-08-10,137,74.41 USD,10193.93 USD
2015-08-11,164,58.02 USD,9514.97 USD
2015-08-12,173,62.71 USD,10849.16 USD
2015-08-13,110,56.05 USD,6165.47 USD
2015-08-14,96,59.14 USD,5677.59 USD
2015-08-15,137,49.50 USD,6781.86 USD
2015-08-16,148,70.06 USD,10369.12 USD
2015-08-17,143,50.73 USD,7254.70 USD
2015-08-18,119,65.81 USD,7831.45 USD
2015-08-19,119,55.28 USD,6578.20 USD
2015-08-20,107,57.10 USD,6109.47 USD
2015-08-21,121,87.28 USD,10560.73 USD
2015-08-22,158,72.10 USD,11392.39 USD
2015-08-23,174,67.63 USD,11767.82 USD
2015-08-24,138,65.59 USD,9050.78 USD
2015-08-25,142,72.13 USD,10243.08 USD
2015-08-26,120,86.80 USD,10416.46 USD
2015-08-27,125,75.11 USD,9388.86 USD
2015-08-28,111,64.12 USD,7116.92 USD
2015-08-29,122,54.81 USD,6686.74 USD
2015-08-30,150,54.98 USD,8247.30 USD
2015-08-31,159,67.44 USD,10722.21 USD
2015-09-01,150,71.23 USD,10684.94 USD
2015-09-02,163,58.05 USD,9461.80 USD
2015-09-03,108,62.66 USD,6766.89 USD
2015-09-04,120,50.13 USD,6015.82 USD
2015-09-05,98,60.52 USD,5931.39 USD
2015-09-06,144,54.04 USD,7782.24 USD
2015-09-07,110,56.70 USD,6237.45 USD
2015-09-08,138,46.73 USD,6449.42 USD
2015-09-09,135,63.29 USD,8544.44 USD
2015-09-10,88,61.15 USD,5380.99 USD
2015-09-11,87,68.35 USD,5946.36 USD
2015-09-12,108,59.39 USD,6414.56 USD
2015-09-13,122,48.77 USD,5949.64 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,99,56.37 USD,5580.76 USD
2015-10-10,113,74.21 USD,8385.60 USD
2015-10-11,150,53.10 USD,7965.38 USD
2015-10-12,157,63.34 USD,9944.12 USD
2015-10-13,141,64.63 USD,9112.71 USD
2015-10-14,138,59.31 USD,8185.21 USD
2015-10-15,124,63.72 USD,7901.87 USD
2015-10-16,113,63.89 USD,7219.74 USD
2015-10-17,146,48.30 USD,7052.22 USD
2015-10-18,124,64.77 USD,8032.06 USD
2015-10-19,132,51.99 USD,6862.99 USD
2015-10-20,123,52.47 USD,6453.55 USD
2015-10-21,112,52.86 USD,5919.78 USD
2015-10-22,136,54.43 USD,7402.92 USD
2015-10-23,119,51.48 USD,6125.94 USD
2015-10-24,131,57.98 USD,7594.90 USD
2015-10-25,140,71.28 USD,9979.64 USD
2015-10-26,113,60.23 USD,6805.94 USD
2015-10-27,126,68.20 USD,8592.72 USD
2015-10-28,121,64.87 USD,7849.43 USD
2015-10-29,84,86.96 USD,7305.05 USD
2015-10-30,97,55.14 USD,5348.69 USD
2015-10-31,113,40.87 USD,4618.84 USD
2015-11-01,152,60.33 USD,9170.13 USD
2015-11-02,111,69.69 USD,7735.92 USD
2015-11-03,138,67.44 USD,9306.71 USD
2015-11-04,139,59.47 USD,8267.00 USD
2015-11-05,130,65.65 USD,8533.97 USD
2015-11-06,112,85.89 USD,9619.46 USD
2015-11-07,125,68.50 USD,8562.07 USD
2015-11-08,160,56.33 USD,9012.56 USD
2015-11-09,142,63.29 USD,8987.13 USD
2015-11-10,136,74.01 USD,10065.07 USD
2015-11-11,125,55.38 USD,6923.09 USD
2015-11-12,131,56.55 USD,7407.99 USD
2015-11-13,109,64.77 USD,7060.00 USD
2015-11-14,431,92.50 USD,39866.63 USD
2015-11-15,145,61.06 USD,8854.32 USD
2015-11-16,109,63.28 USD,6897.57 USD
2015-11-17,153,58.80 USD,8996.47 USD
2015-11-18,142,73.53 USD,10441.38 USD
2015-11-19,146,62.68 USD,9151.41 USD
2015-11-20,108,46.42 USD,5013.54 USD
2015-11-21,134,53.58 USD,7179.97 USD
2015-11-22,153,59.98 USD,9177.44 USD
2015-11-23,140,52.36 USD,7330.08 USD
2015-11-24,161,56.67 USD,9123.23 USD
2015-11-25,110,59.40 USD,6534.54 USD
2015-11-26,110,51.15 USD,5626.63 USD
2015-11-27,109,67.24 USD,7329.60 USD
2015-11-28,116,58.52 USD,6788.43 USD
2015-11-29,149,62.27 USD,9277.56 USD
2015-11-30,140,58.71 USD,8219.56 USD
2015-12-01,132,63.36 USD,8363.92 USD
2015-12-02,182,75.33 USD,13710.54 USD
2015-12-03,121,61.24 USD,7410.46 USD
2015-12-04,93,62.87 USD,5846.89 USD
2015-12-05,139,67.52 USD,9385.50 USD
2015-12-06,156,71.48 USD,11151.59 USD
2015-12-07,178,73.08 USD,13009.06 USD
2015-12-08,149,71.11 USD,10595.81 USD
2015-12-09,161,67.69 USD,10897.31 USD
2015-12-10,122,70.05 USD,8545.85 USD
2015-12-11,121,76.52 USD,9259.32 USD
2015-12-12,139,91.09 USD,12661.42 USD
2015-12-13,216,77.94 USD,16834.95 USD
2015-12-14,145,71.44 USD,10359.21 USD
2015-12-15,140,79.54 USD,11135.88 USD
2015-12-16,138,68.80 USD,9493.78 USD
2015-12-17,129,84.11 USD,10850.77 USD
2015-12-18,79,68.11 USD,5380.98 USD
2015-12-19,96,54.89 USD,5269.61 USD
2015-12-20,125,56.22 USD,7028.11 USD
2015-12-21,79,62.92 USD,4970.69 USD
2015-12-22,60,64.06 USD,3843.63 USD
2015-12-23,63,56.03 USD,3529.98 USD
2015-12-24,38,38.40 USD,1459.30 USD
2015-12-25,86,59.27 USD,5097.52 USD
