This file was downloaded on March 13 2018 9:08:57 PM UTC-07:00
Keywords,bed
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,Auction
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-07-17,12,202.86 USD,2434.33 USD
2015-07-18,9,139.04 USD,1251.34 USD
2015-07-19,18,125.14 USD,2252.56 USD
2015-07-20,14,119.04 USD,1666.56 USD
2015-07-21,8,199.70 USD,1597.56 USD
2015-07-22,18,133.75 USD,2407.51 USD
2015-07-23,15,224.94 USD,3374.17 USD
2015-07-24,10,184.35 USD,1843.47 USD
2015-07-25,8,127.04 USD,1016.30 USD
2015-07-26,31,152.07 USD,4714.32 USD
2015-07-27,10,181.78 USD,1817.81 USD
2015-07-28,6,121.50 USD,728.97 USD
2015-07-29,18,150.59 USD,2710.54 USD
2015-07-30,31,166.81 USD,5171.08 USD
2015-07-31,4,219.71 USD,878.82 USD
2015-08-01,9,124.45 USD,1120.04 USD
2015-08-02,16,162.26 USD,2596.17 USD
2015-08-03,16,130.70 USD,2091.12 USD
2015-08-04,7,166.66 USD,1166.62 USD
2015-08-05,15,162.99 USD,2444.82 USD
2015-08-06,20,185.25 USD,3704.91 USD
2015-08-07,5,168.17 USD,840.87 USD
2015-08-08,9,90.93 USD,818.40 USD
2015-08-09,15,113.06 USD,1695.89 USD
2015-08-10,17,193.35 USD,3286.88 USD
2015-08-11,12,156.84 USD,1882.04 USD
2015-08-12,19,193.94 USD,3684.82 USD
2015-08-13,13,144.51 USD,1878.60 USD
2015-08-14,7,164.24 USD,1149.71 USD
2015-08-15,7,198.34 USD,1388.35 USD
2015-08-16,17,127.86 USD,2173.66 USD
2015-08-17,12,188.18 USD,2258.12 USD
2015-08-18,5,212.82 USD,1064.11 USD
2015-08-19,13,147.44 USD,1916.75 USD
2015-08-20,16,182.56 USD,2920.88 USD
2015-08-21,2,199.06 USD,398.12 USD
2015-08-22,6,101.32 USD,607.91 USD
2015-08-23,18,244.90 USD,4408.25 USD
2015-08-24,15,171.64 USD,2574.57 USD
2015-08-25,8,196.40 USD,1571.17 USD
2015-08-26,13,150.28 USD,1953.66 USD
2015-08-27,18,124.17 USD,2235.01 USD
2015-08-28,6,122.94 USD,737.61 USD
2015-08-29,4,617.93 USD,2471.72 USD
2015-08-30,13,131.10 USD,1704.34 USD
2015-08-31,13,125.44 USD,1630.71 USD
2015-09-01,9,100.20 USD,901.77 USD
2015-09-02,10,178.90 USD,1788.97 USD
2015-09-03,13,139.10 USD,1808.36 USD
2015-09-04,6,112.29 USD,673.75 USD
2015-09-05,9,120.72 USD,1086.50 USD
2015-09-06,8,84.06 USD,672.46 USD
2015-09-07,10,112.90 USD,1129.02 USD
2015-09-08,7,145.42 USD,1017.91 USD
2015-09-09,14,225.00 USD,3149.98 USD
2015-09-10,12,144.76 USD,1737.17 USD
2015-09-11,4,215.09 USD,860.35 USD
2015-09-12,7,133.87 USD,937.09 USD
2015-09-13,12,147.03 USD,1764.39 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,8,168.83 USD,1350.67 USD
2015-10-10,8,218.68 USD,1749.45 USD
2015-10-11,18,179.83 USD,3236.99 USD
2015-10-12,20,137.31 USD,2746.22 USD
2015-10-13,9,163.62 USD,1472.62 USD
2015-10-14,10,138.85 USD,1388.48 USD
2015-10-15,12,130.19 USD,1562.25 USD
2015-10-16,8,177.75 USD,1421.96 USD
2015-10-17,9,129.38 USD,1164.42 USD
2015-10-18,22,168.87 USD,3715.18 USD
2015-10-19,19,137.34 USD,2609.54 USD
2015-10-20,8,149.50 USD,1195.96 USD
2015-10-21,17,111.86 USD,1901.59 USD
2015-10-22,17,183.51 USD,3119.70 USD
2015-10-23,4,219.25 USD,877.00 USD
2015-10-24,14,151.83 USD,2125.57 USD
2015-10-25,22,153.27 USD,3371.85 USD
2015-10-26,16,192.57 USD,3081.04 USD
2015-10-27,4,157.72 USD,630.87 USD
2015-10-28,13,129.74 USD,1686.61 USD
2015-10-29,15,129.17 USD,1937.51 USD
2015-10-30,10,141.93 USD,1419.30 USD
2015-10-31,5,109.22 USD,546.10 USD
2015-11-01,19,114.13 USD,2168.48 USD
2015-11-02,15,198.90 USD,2983.48 USD
2015-11-03,9,195.15 USD,1756.36 USD
2015-11-04,18,129.86 USD,2337.46 USD
2015-11-05,15,122.05 USD,1830.71 USD
2015-11-06,6,169.74 USD,1018.41 USD
2015-11-07,3,149.42 USD,448.25 USD
2015-11-08,16,154.50 USD,2472.02 USD
2015-11-09,10,133.77 USD,1337.73 USD
2015-11-10,5,150.67 USD,753.36 USD
2015-11-11,18,211.54 USD,3807.74 USD
2015-11-12,14,137.50 USD,1925.05 USD
2015-11-13,4,129.54 USD,518.17 USD
2015-11-14,8,101.87 USD,814.99 USD
2015-11-15,11,109.18 USD,1201.03 USD
2015-11-16,17,161.68 USD,2748.59 USD
2015-11-17,6,175.75 USD,1054.52 USD
2015-11-18,14,146.94 USD,2057.13 USD
2015-11-19,15,118.62 USD,1779.34 USD
2015-11-20,7,73.39 USD,513.76 USD
2015-11-21,9,130.30 USD,1172.69 USD
2015-11-22,9,139.51 USD,1255.58 USD
2015-11-23,15,171.12 USD,2566.78 USD
2015-11-24,8,110.50 USD,884.00 USD
2015-11-25,11,172.18 USD,1894.03 USD
2015-11-26,16,129.37 USD,2069.84 USD
2015-11-27,5,189.71 USD,948.57 USD
2015-11-28,5,221.10 USD,1105.51 USD
2015-11-29,17,101.59 USD,1727.05 USD
2015-11-30,18,143.46 USD,2582.21 USD
2015-12-01,4,130.24 USD,520.95 USD
