This file was downloaded on March 13 2018 7:46:41 PM UTC-07:00
Keywords,New_wardrobe
Date Range,2015-03-12 - 2018-03-11
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-07-17,20,60.85 USD,1216.91 USD
2015-07-18,18,35.56 USD,640.12 USD
2015-07-19,23,70.62 USD,1624.26 USD
2015-07-20,35,58.67 USD,2053.45 USD
2015-07-21,35,43.92 USD,1537.25 USD
2015-07-22,19,68.85 USD,1308.09 USD
2015-07-23,25,96.98 USD,2424.40 USD
2015-07-24,16,85.00 USD,1359.93 USD
2015-07-25,37,72.95 USD,2699.24 USD
2015-07-26,25,85.37 USD,2134.33 USD
2015-07-27,15,60.90 USD,913.47 USD
2015-07-28,48,53.19 USD,2553.16 USD
2015-07-29,36,57.69 USD,2076.66 USD
2015-07-30,32,39.76 USD,1272.20 USD
2015-07-31,11,32.38 USD,356.21 USD
2015-08-01,22,37.80 USD,831.52 USD
2015-08-02,24,48.90 USD,1173.60 USD
2015-08-03,24,69.86 USD,1676.57 USD
2015-08-04,42,54.92 USD,2306.63 USD
2015-08-05,15,59.70 USD,895.47 USD
2015-08-06,12,62.85 USD,754.21 USD
2015-08-07,20,65.80 USD,1316.07 USD
2015-08-08,19,58.26 USD,1107.01 USD
2015-08-09,27,44.46 USD,1200.33 USD
2015-08-10,33,49.74 USD,1641.32 USD
2015-08-11,29,56.72 USD,1644.87 USD
2015-08-12,19,94.43 USD,1794.23 USD
2015-08-13,26,55.25 USD,1436.59 USD
2015-08-14,22,94.73 USD,2084.02 USD
2015-08-15,24,48.52 USD,1164.55 USD
2015-08-16,24,40.70 USD,976.81 USD
2015-08-17,23,53.84 USD,1238.35 USD
2015-08-18,19,63.31 USD,1202.90 USD
2015-08-19,28,43.80 USD,1226.34 USD
2015-08-20,19,69.89 USD,1327.92 USD
2015-08-21,15,44.34 USD,665.12 USD
2015-08-22,18,37.51 USD,675.24 USD
2015-08-23,22,108.92 USD,2396.17 USD
2015-08-24,20,53.00 USD,1059.90 USD
2015-08-25,18,74.08 USD,1333.50 USD
2015-08-26,19,38.13 USD,724.47 USD
2015-08-27,13,67.93 USD,883.10 USD
2015-08-28,11,80.51 USD,885.60 USD
2015-08-29,13,31.68 USD,411.85 USD
2015-08-30,18,27.52 USD,495.39 USD
2015-08-31,22,39.12 USD,860.53 USD
2015-09-01,15,43.03 USD,645.44 USD
2015-09-02,41,25.55 USD,1047.35 USD
2015-09-03,18,36.70 USD,660.52 USD
2015-09-04,18,67.31 USD,1211.60 USD
2015-09-05,15,60.52 USD,907.79 USD
2015-09-06,18,36.97 USD,665.37 USD
2015-09-07,27,44.65 USD,1205.64 USD
2015-09-08,27,61.07 USD,1648.87 USD
2015-09-09,14,30.15 USD,422.11 USD
2015-09-10,10,34.77 USD,347.74 USD
2015-09-11,10,41.27 USD,412.71 USD
2015-09-12,10,59.14 USD,591.42 USD
2015-09-13,12,43.75 USD,525.05 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,18,76.26 USD,1372.67 USD
2015-10-10,15,64.80 USD,972.07 USD
2015-10-11,35,63.19 USD,2211.62 USD
2015-10-12,21,52.38 USD,1099.97 USD
2015-10-13,22,43.82 USD,964.11 USD
2015-10-14,20,31.50 USD,630.09 USD
2015-10-15,7,48.52 USD,339.67 USD
2015-10-16,14,56.61 USD,792.60 USD
2015-10-17,18,46.42 USD,835.58 USD
2015-10-18,22,58.36 USD,1283.88 USD
2015-10-19,12,87.57 USD,1050.85 USD
2015-10-20,31,49.27 USD,1527.39 USD
2015-10-21,26,41.64 USD,1082.68 USD
2015-10-22,15,76.33 USD,1145.00 USD
2015-10-23,9,32.51 USD,292.63 USD
2015-10-24,13,83.87 USD,1090.34 USD
2015-10-25,21,34.11 USD,716.33 USD
2015-10-26,31,46.17 USD,1431.23 USD
2015-10-27,19,63.65 USD,1209.42 USD
2015-10-28,24,46.01 USD,1104.21 USD
2015-10-29,12,35.48 USD,425.70 USD
2015-10-30,16,50.10 USD,801.56 USD
2015-10-31,14,38.34 USD,536.75 USD
2015-11-01,14,26.13 USD,365.87 USD
2015-11-02,28,37.68 USD,1055.17 USD
2015-11-03,19,38.45 USD,730.60 USD
2015-11-04,17,92.90 USD,1579.26 USD
2015-11-05,13,70.12 USD,911.59 USD
2015-11-06,10,57.10 USD,570.95 USD
2015-11-07,21,45.55 USD,956.58 USD
2015-11-08,18,32.46 USD,584.31 USD
2015-11-09,16,65.51 USD,1048.14 USD
2015-11-10,17,36.02 USD,612.31 USD
2015-11-11,16,55.67 USD,890.76 USD
2015-11-12,20,40.58 USD,811.64 USD
2015-11-13,9,43.02 USD,387.20 USD
2015-11-14,21,50.43 USD,1059.02 USD
2015-11-15,20,49.82 USD,996.49 USD
2015-11-16,19,51.59 USD,980.20 USD
2015-11-17,12,72.79 USD,873.50 USD
2015-11-18,17,42.90 USD,729.23 USD
2015-11-19,18,64.00 USD,1152.00 USD
2015-11-20,16,32.66 USD,522.52 USD
2015-11-21,10,24.69 USD,246.92 USD
2015-11-22,8,52.58 USD,420.60 USD
2015-11-23,21,58.76 USD,1233.99 USD
2015-11-24,9,55.67 USD,501.03 USD
2015-11-25,10,34.86 USD,348.60 USD
2015-11-26,7,61.21 USD,428.47 USD
2015-11-27,15,112.86 USD,1692.89 USD
2015-11-28,18,54.56 USD,982.02 USD
2015-11-29,13,75.03 USD,975.37 USD
2015-11-30,27,47.13 USD,1272.52 USD
2015-12-01,10,81.92 USD,819.24 USD
2015-12-02,13,56.60 USD,735.78 USD
2015-12-03,15,56.47 USD,847.12 USD
2015-12-04,12,60.50 USD,725.99 USD
2015-12-05,18,47.66 USD,857.87 USD
2015-12-06,10,46.02 USD,460.16 USD
2015-12-07,21,73.65 USD,1546.58 USD
2015-12-08,25,66.72 USD,1667.95 USD
2015-12-09,8,49.58 USD,396.64 USD
2015-12-10,11,70.85 USD,779.33 USD
2015-12-11,19,45.53 USD,865.02 USD
2015-12-12,34,45.15 USD,1535.05 USD
2015-12-13,18,58.82 USD,1058.72 USD
2015-12-14,11,37.35 USD,410.85 USD
2015-12-15,31,52.80 USD,1636.81 USD
2015-12-16,27,78.15 USD,2109.92 USD
2015-12-17,15,42.83 USD,642.49 USD
2015-12-18,10,127.08 USD,1270.84 USD
2015-12-19,11,94.88 USD,1043.72 USD
2015-12-20,10,64.01 USD,640.11 USD
2015-12-21,18,78.14 USD,1406.60 USD
2015-12-22,13,25.91 USD,336.89 USD
2015-12-23,9,101.55 USD,913.92 USD
2015-12-24,6,36.68 USD,220.07 USD
2015-12-25,13,164.87 USD,2143.34 USD
2015-12-26,12,155.97 USD,1871.64 USD
2015-12-27,18,69.10 USD,1243.87 USD
