This file was downloaded on March 13 2018 9:07:14 PM UTC-07:00
Keywords,mattress 
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Mattresses
Product Condition: ,New
Listing Format: ,Auction
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-07-21,11,124.88 USD,1373.70 USD
2015-07-22,4,90.38 USD,361.53 USD
2015-07-23,8,133.18 USD,1065.44 USD
2015-07-24,10,87.71 USD,877.07 USD
2015-07-25,5,82.22 USD,411.10 USD
2015-07-26,6,124.46 USD,746.77 USD
2015-07-27,9,95.10 USD,855.90 USD
2015-07-28,3,125.48 USD,376.45 USD
2015-07-29,3,185.59 USD,556.76 USD
2015-07-30,18,78.30 USD,1409.32 USD
2015-07-31,9,113.24 USD,1019.17 USD
2015-08-01,3,66.04 USD,198.13 USD
2015-08-02,8,123.81 USD,990.49 USD
2015-08-03,5,87.51 USD,437.53 USD
2015-08-04,4,75.17 USD,300.69 USD
2015-08-05,2,52.64 USD,105.27 USD
2015-08-06,4,103.36 USD,413.42 USD
2015-08-07,3,193.35 USD,580.06 USD
2015-08-08,9,56.62 USD,509.58 USD
2015-08-09,7,169.74 USD,1188.15 USD
2015-08-10,5,88.14 USD,440.72 USD
2015-08-11,9,87.40 USD,786.59 USD
2015-08-12,1,72.89 USD,72.89 USD
2015-08-13,5,164.66 USD,823.28 USD
2015-08-14,9,78.53 USD,706.76 USD
2015-08-15,5,55.95 USD,279.75 USD
2015-08-16,6,98.07 USD,588.41 USD
2015-08-17,8,92.06 USD,736.47 USD
2015-08-18,8,129.94 USD,1039.55 USD
2015-08-19,3,140.03 USD,420.10 USD
2015-08-20,7,108.48 USD,759.34 USD
2015-08-21,1,143.10 USD,143.10 USD
2015-08-22,2,68.18 USD,136.35 USD
2015-08-23,4,50.61 USD,202.43 USD
2015-08-24,4,146.55 USD,586.20 USD
2015-08-25,6,129.55 USD,777.31 USD
2015-08-26,8,95.06 USD,760.48 USD
2015-08-27,0,0.00 USD,0.00 USD
2015-08-28,1,43.58 USD,43.58 USD
2015-08-29,6,108.98 USD,653.90 USD
2015-08-30,6,97.86 USD,587.17 USD
2015-08-31,2,138.22 USD,276.43 USD
2015-09-01,4,205.58 USD,822.31 USD
2015-09-02,1,36.58 USD,36.58 USD
2015-09-03,4,104.73 USD,418.93 USD
2015-09-04,1,115.93 USD,115.93 USD
2015-09-05,2,40.54 USD,81.08 USD
2015-09-06,4,131.70 USD,526.79 USD
2015-09-07,6,90.43 USD,542.60 USD
2015-09-08,7,57.19 USD,400.30 USD
2015-09-09,2,54.26 USD,108.52 USD
2015-09-10,3,36.77 USD,110.31 USD
2015-09-11,2,84.02 USD,168.03 USD
2015-09-12,3,41.84 USD,125.52 USD
2015-09-13,5,52.51 USD,262.54 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
