index,row_count,id,title,link,make,model,series,transmission,price,milage,age,age_rating,milage_rating,price_rating,sum_rating,market_price,price_difference,date_added,prid
,180,SSE-AD-5933925,2015 Audi A3 Ambition Auto MY16,https://www.carsales.com.au/cars/details/2015-audi-a3-ambition-auto-my16/SSE-AD-5933925/?Cr=217,Audi,A3,Ambition  MY16,MY16,30990.0,46000.0,4,-0.1838235321691609,-0.2051634709471825,0.2013179734187808,0.009803446192816478,31280,290,2019-10-17 05:44:03,33383
,38,OAG-AD-17085146,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17085146/?Cr=128,Mercedes-Benz,C200,,Auto,53888.0,12765.0,1,1.2277285447368183,1.1740672029027044,-1.1892502608177624,0.008112168088939775,53206,-682,2019-06-06 12:08:16,28968
,43,SSE-AD-5905702,2007 Kia Rio LX Manual,https://www.carsales.com.au/cars/details/Kia-Rio-2007/SSE-AD-5905702/?Cr=181,Kia,Rio,LX,Manual,3650.0,139400.0,12,-1.698921184642455,-1.512224497049619,1.5769533811337357,0.00748996465951457,3650,0,2019-06-06 12:45:00,29370
,17,SSE-AD-6047451,2013 BMW 320d High-line E93 Auto,https://www.carsales.com.au/cars/details/BMW-320d-2013/SSE-AD-6047451/?Cr=67,BMW,320d,High-line E93,Auto,29500.0,78700.0,6,-0.08899631435752725,0.09210488410973548,-0.029490347927910023,0.006742410078213648,28547,-953,2019-06-06 12:21:35,29019
,60,SSE-AD-6157339,1999 Honda Accord V6 Auto,https://www.carsales.com.au/cars/details/Honda-Accord-1999/SSE-AD-6157339/?Cr=7,Honda,Accord,V6,Auto,3500.0,158700.0,20,-1.4804646124493166,-0.48436268738383687,0.8185285972201141,0.00639580444335186,4055,555,2019-07-06 07:13:30,30974
,43,SSE-AD-6104086,2010 Toyota Corolla Ascent Auto,https://www.carsales.com.au/cars/details/Toyota-Corolla-2010/SSE-AD-6104086/?gts=SSE-AD-6104086&gtssaleid=SSE-AD-6104086&rankingType=Spotlight,Toyota,Corolla,Ascent,Auto,9750.0,141000.0,9,-0.4613248413538892,-0.8565599707342354,0.7267112395626927,0.005688935865717948,10566,816,2019-06-06 11:59:46,28696
,167,SSE-AD-6133783,2010 Honda Civic VTi-L Manual,https://www.carsales.com.au/cars/details/Honda-Civic-2010/SSE-AD-6133783/?Cr=184,Honda,Civic,VTi-L,Manual,6700.0,169000.0,9,-0.18449602442439764,-1.1310177472661551,0.8173984250258194,0.005663756120750207,11229,4529,2019-07-06 07:20:34,31181
,62,SSE-AD-5709488,2004 Honda Accord V6 Luxury Auto,https://www.carsales.com.au/cars/details/Honda-Accord-2004/SSE-AD-5709488/?Cr=11,Honda,Accord,V6 Luxury,Auto,4100.0,182500.0,15,-0.732755212222389,-0.7945769520050721,0.7749866767673801,0.0030509140696071135,5656,1556,2019-07-06 07:13:30,30976
,78,SHRM-AD-5898807,2018 Volkswagen Polo 85TSI Comfortline AW Auto,https://www.carsales.com.au/cars/details/Volkswagen-Polo-2018/SHRM-AD-5898807/?Cr=419,Volkswagen,Polo,85TSI Comfortline AW,Auto,24490.0,0.0,1,0.5506906266167889,0.6958653112553358,-0.6470115356139181,0.0013866422857060634,24490,0,2019-06-06 12:46:34,29627
,79,SHRM-AD-5898818,2018 Volkswagen Polo 85TSI Comfortline AW Auto,https://www.carsales.com.au/cars/details/Volkswagen-Polo-2018/SHRM-AD-5898818/?Cr=481,Volkswagen,Polo,85TSI Comfortline AW,Auto,24490.0,0.0,1,0.5506906266167889,0.6958653112553358,-0.6470115356139181,0.0013866422857060634,24490,0,2019-06-06 12:46:34,29628
,80,SHRM-AD-5898805,2018 Volkswagen Polo 85TSI Comfortline AW Auto,https://www.carsales.com.au/cars/details/Volkswagen-Polo-2018/SHRM-AD-5898805/?Cr=414,Volkswagen,Polo,85TSI Comfortline AW,Auto,24490.0,0.0,1,0.5506906266167889,0.6958653112553358,-0.6470115356139181,0.0013866422857060634,24490,0,2019-06-06 12:46:34,29629
,92,OAG-AD-17251288,2010 Toyota Camry Hybrid Luxury Auto,https://www.carsales.com.au/cars/details/Toyota-Camry-2010/OAG-AD-17251288/?Cr=63,Toyota,Camry,Hybrid Luxury,Auto,13990.0,110885.0,9,-0.279768066268399,-0.2700069799967454,0.27357420325552095,0.0009405835046730759,14203,213,2019-06-06 12:04:05,28817
,293,OAG-AD-17413881,2019 Honda CR-V VTi-S Auto 4WD MY19,https://www.carsales.com.au/cars/details/2019-honda-cr-v-vti-s-auto-4wd-my19/OAG-AD-17413881/?Cr=42,Honda,CR-V,VTi-S  4WD MY19,MY19,37185.0,3789.0,0,0.6814305009262961,0.6065024927824201,-0.6314272896884904,0.0001536174256653311,36950,-235,2019-10-17 04:22:13,32980
,39,SSE-AD-5912552,2016 Mercedes-Benz C200 d Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5912552/?Cr=179,Mercedes-Benz,C200,d,Auto,43000.0,46000.0,3,0.8027455869433042,0.5357836973686688,-0.624989378814066,-0.0006551547615560871,43490,490,2019-06-06 12:08:16,28969
,44,SSE-AD-6092919,2006 Kia Rio Sports Manual,https://www.carsales.com.au/cars/details/Kia-Rio-2006/SSE-AD-6092919/?Cr=237,Kia,Rio,Sports,Manual,4000.0,128294.0,13,-1.9246081316798291,-1.314274303355358,1.5173186320283945,-0.0012008423053622153,4000,0,2019-06-06 12:45:00,29371
,45,OAG-AD-17230997,2019 Kia Rio Sport Auto,https://www.carsales.com.au/cars/details/Kia-Rio-2019/OAG-AD-17230997/?Cr=179,Kia,Rio,Sport,Auto,18688.0,0.0,0,1.0093221798060341,0.9724015610252942,-0.985296210426622,-0.0017633294232433094,18688,0,2019-06-06 12:45:00,29372
,294,SSE-AD-6214708,2013 Honda CR-V VTi Auto MY14,https://www.carsales.com.au/cars/details/2013-honda-cr-v-vti-auto-my14/SSE-AD-6214708/?Cr=140,Honda,CR-V,VTi  MY14,MY14,12900.0,171500.0,6,-0.5004792082433469,-1.6060677172095965,1.2368879399211583,-0.0019508228990647858,18883,5983,2019-10-17 04:22:13,32981
