This file was downloaded on February 16 2018 11:41:26 PM UTC-08:00
Keywords,cadbury
Date Range,2016-02-16 - 2018-02-14
Buyer Country: ,AU
Category: ,Chocolate, Sweets
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2016-06-26,13,19.37 USD,251.75 USD
2016-06-27,4,20.50 USD,81.99 USD
2016-06-28,27,22.14 USD,597.77 USD
2016-06-29,13,37.50 USD,487.47 USD
2016-06-30,13,27.07 USD,351.95 USD
2016-07-01,10,27.40 USD,273.98 USD
2016-07-02,10,24.04 USD,240.41 USD
2016-07-03,11,21.81 USD,239.96 USD
2016-07-04,21,26.02 USD,546.43 USD
2016-07-05,14,27.62 USD,386.70 USD
2016-07-06,21,29.07 USD,610.55 USD
2016-07-07,10,19.58 USD,195.75 USD
2016-07-08,4,28.20 USD,112.79 USD
2016-07-09,8,29.88 USD,239.07 USD
2016-07-10,8,30.12 USD,240.94 USD
2016-07-11,10,38.62 USD,386.17 USD
2016-07-12,5,40.41 USD,202.07 USD
2016-07-13,9,28.45 USD,256.01 USD
2016-07-14,17,38.65 USD,656.97 USD
2016-07-15,4,38.37 USD,153.46 USD
2016-07-16,11,33.00 USD,363.00 USD
2016-07-17,26,17.47 USD,454.12 USD
2016-07-18,15,32.17 USD,482.54 USD
2016-07-19,11,27.74 USD,305.15 USD
2016-07-20,14,34.47 USD,482.58 USD
2016-07-21,29,34.15 USD,990.30 USD
2016-07-22,4,27.07 USD,108.28 USD
2016-07-23,7,26.74 USD,187.21 USD
2016-07-24,13,34.83 USD,452.77 USD
2016-07-25,23,33.47 USD,769.71 USD
2016-07-26,8,33.47 USD,267.73 USD
2016-07-27,9,33.19 USD,298.70 USD
2016-07-28,12,31.55 USD,378.60 USD
2016-07-29,6,26.89 USD,161.32 USD
2016-07-30,7,40.87 USD,286.10 USD
2016-07-31,11,36.87 USD,405.52 USD
2016-08-01,20,32.24 USD,644.82 USD
2016-08-02,10,35.89 USD,358.87 USD
2016-08-03,11,42.92 USD,472.16 USD
2016-08-04,11,31.20 USD,343.23 USD
2016-08-05,12,31.68 USD,380.15 USD
2016-08-06,9,37.81 USD,340.28 USD
2016-08-07,23,24.30 USD,558.92 USD
2016-08-08,20,34.26 USD,685.23 USD
2016-08-09,10,35.42 USD,354.20 USD
2016-08-10,18,36.48 USD,656.68 USD
2016-08-11,20,38.34 USD,766.77 USD
2016-08-12,10,39.52 USD,395.22 USD
2016-08-13,13,29.58 USD,384.56 USD
2016-08-14,11,31.53 USD,346.78 USD
2016-08-15,16,32.80 USD,524.84 USD
2016-08-16,28,32.27 USD,903.63 USD
2016-08-17,6,36.89 USD,221.36 USD
2016-08-18,23,26.18 USD,602.22 USD
2016-08-19,8,41.50 USD,332.00 USD
2016-08-20,15,26.06 USD,390.95 USD
2016-08-21,19,35.91 USD,682.20 USD
2016-08-22,11,32.64 USD,359.05 USD
2016-08-23,39,13.12 USD,511.80 USD
2016-08-24,9,39.32 USD,353.84 USD
2016-08-25,12,35.18 USD,422.13 USD
2016-08-26,6,26.46 USD,158.73 USD
2016-08-27,8,36.35 USD,290.79 USD
2016-08-28,18,27.38 USD,492.86 USD
2016-08-29,10,34.82 USD,348.16 USD
2016-08-30,10,43.09 USD,430.85 USD
2016-08-31,16,23.33 USD,373.22 USD
2016-09-01,12,20.97 USD,251.60 USD
2016-09-02,10,41.99 USD,419.86 USD
2016-09-03,13,31.47 USD,409.10 USD
2016-09-04,21,13.91 USD,292.19 USD
2016-09-05,21,34.29 USD,720.08 USD
2016-09-06,22,22.19 USD,488.11 USD
2016-09-07,12,37.81 USD,453.74 USD
2016-09-08,27,15.85 USD,428.05 USD
2016-09-09,8,37.37 USD,298.93 USD
2016-09-10,6,25.88 USD,155.26 USD
2016-09-11,12,33.38 USD,400.51 USD
2016-09-12,19,30.86 USD,586.29 USD
2016-09-13,9,31.44 USD,282.95 USD
2016-09-14,10,12.20 USD,121.96 USD
2016-09-15,15,22.38 USD,335.70 USD
2016-09-16,8,24.68 USD,197.46 USD
2016-09-17,11,32.58 USD,358.40 USD
2016-09-18,31,31.86 USD,987.73 USD
2016-09-19,20,14.48 USD,289.66 USD
2016-09-20,17,32.14 USD,546.37 USD
2016-09-21,11,33.68 USD,370.45 USD
2016-09-22,7,25.09 USD,175.61 USD
2016-09-23,10,29.74 USD,297.40 USD
2016-09-24,21,12.14 USD,254.96 USD
2016-09-25,10,37.41 USD,374.05 USD
2016-09-26,11,24.77 USD,272.52 USD
2016-09-27,22,32.98 USD,725.50 USD
2016-09-28,14,39.94 USD,559.17 USD
2016-09-29,10,40.62 USD,406.17 USD
2016-09-30,7,14.15 USD,99.05 USD
2016-10-01,7,17.70 USD,123.92 USD
2016-10-02,11,35.84 USD,394.26 USD
2016-10-03,21,29.29 USD,615.07 USD
2016-10-04,18,33.89 USD,610.03 USD
2016-10-05,15,32.66 USD,489.91 USD
2016-10-06,12,21.77 USD,261.19 USD
2016-10-07,6,33.27 USD,199.63 USD
2016-10-08,9,31.33 USD,281.97 USD
2016-10-09,5,29.88 USD,149.40 USD
2016-10-10,8,39.06 USD,312.44 USD
2016-10-11,11,31.47 USD,346.21 USD
2016-10-12,12,31.88 USD,382.57 USD
2016-10-13,16,19.25 USD,308.02 USD
2016-10-14,5,41.87 USD,209.33 USD
2016-10-15,7,35.06 USD,245.42 USD
2016-10-16,17,31.45 USD,534.68 USD
2016-10-17,15,19.73 USD,295.92 USD
2016-10-18,11,27.17 USD,298.88 USD
2016-10-19,10,38.71 USD,387.10 USD
2016-10-20,15,21.59 USD,323.86 USD
2016-10-21,19,34.37 USD,653.10 USD
2016-10-22,12,39.76 USD,477.06 USD
2016-10-23,9,25.85 USD,232.63 USD
2016-10-24,17,29.97 USD,509.54 USD
2016-10-25,14,22.04 USD,308.59 USD
2016-10-26,14,29.05 USD,406.64 USD
2016-10-27,6,25.69 USD,154.14 USD
2016-10-28,11,21.43 USD,235.75 USD
2016-10-29,10,31.00 USD,310.01 USD
2016-10-30,7,30.99 USD,216.93 USD
2016-10-31,11,29.28 USD,322.12 USD
2016-11-01,8,32.99 USD,263.94 USD
2016-11-02,6,41.61 USD,249.65 USD
2016-11-03,32,12.26 USD,392.34 USD
2016-11-04,5,40.08 USD,200.42 USD
2016-11-05,18,28.10 USD,505.87 USD
2016-11-06,20,30.70 USD,613.91 USD
2016-11-07,20,26.83 USD,536.60 USD
2016-11-08,5,23.94 USD,119.68 USD
2016-11-09,14,26.55 USD,371.67 USD
2016-11-10,5,23.22 USD,116.11 USD
2016-11-11,8,36.34 USD,290.71 USD
2016-11-12,10,25.40 USD,253.96 USD
2016-11-13,15,38.19 USD,572.89 USD
2016-11-14,9,23.64 USD,212.79 USD
2016-11-15,16,32.62 USD,521.96 USD
2016-11-16,13,29.59 USD,384.71 USD
2016-11-17,6,31.99 USD,191.93 USD
2016-11-18,11,26.33 USD,289.61 USD
2016-11-19,9,32.57 USD,293.17 USD
2016-11-20,6,28.60 USD,171.59 USD
2016-11-21,2,32.67 USD,65.34 USD
2016-11-22,23,22.56 USD,518.79 USD
2016-11-23,7,27.14 USD,189.98 USD
2016-11-24,19,16.07 USD,305.41 USD
2016-11-25,10,27.16 USD,271.63 USD
2016-11-26,11,23.66 USD,260.22 USD
2016-11-27,15,30.91 USD,463.63 USD
2016-11-28,27,22.91 USD,618.61 USD
2016-11-29,24,22.13 USD,531.05 USD
2016-11-30,21,16.75 USD,351.82 USD
2016-12-01,8,25.16 USD,201.26 USD
2016-12-02,22,24.68 USD,542.97 USD
