This file was downloaded on February 26 2018 5:43:21 PM UTC-08:00
Keywords,tea
Date Range,2015-02-23 - 2018-02-22
Buyer Country: ,AU
Category: ,Tea
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-08-21,67,13.40 USD,897.89 USD
2015-08-22,50,11.64 USD,581.98 USD
2015-08-23,57,11.68 USD,665.58 USD
2015-08-24,36,16.30 USD,586.79 USD
2015-08-25,50,12.47 USD,623.46 USD
2015-08-26,72,18.33 USD,1319.83 USD
2015-08-27,67,11.06 USD,740.71 USD
2015-08-28,29,11.09 USD,321.51 USD
2015-08-29,22,11.86 USD,260.95 USD
2015-08-30,58,13.85 USD,803.35 USD
2015-08-31,53,9.54 USD,505.60 USD
2015-09-01,50,15.18 USD,758.87 USD
2015-09-02,55,11.15 USD,613.51 USD
2015-09-03,57,11.52 USD,656.90 USD
2015-09-04,38,10.72 USD,407.25 USD
2015-09-05,42,9.63 USD,404.32 USD
2015-09-06,39,12.70 USD,495.22 USD
2015-09-07,47,11.74 USD,551.76 USD
2015-09-08,27,13.89 USD,374.92 USD
2015-09-09,67,10.51 USD,703.94 USD
2015-09-10,30,10.13 USD,303.88 USD
2015-09-11,24,15.60 USD,374.44 USD
2015-09-12,40,14.76 USD,590.20 USD
2015-09-13,60,12.43 USD,745.50 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
