date,AUDUSD,isPartial
2013-01-06,29,False
2013-01-13,36,False
2013-01-20,26,False
2013-01-27,32,False
2013-02-03,37,False
2013-02-10,37,False
2013-02-17,41,False
2013-02-24,36,False
2013-03-03,47,False
2013-03-10,36,False
2013-03-17,32,False
2013-03-24,39,False
2013-03-31,31,False
2013-04-07,31,False
2013-04-14,37,False
2013-04-21,35,False
2013-04-28,44,False
2013-05-05,79,False
2013-05-12,90,False
2013-05-19,92,False
2013-05-26,75,False
2013-06-02,89,False
2013-06-09,83,False
2013-06-16,72,False
2013-06-23,79,False
2013-06-30,82,False
2013-07-07,89,False
2013-07-14,76,False
2013-07-21,62,False
2013-07-28,73,False
2013-08-04,90,False
2013-08-11,70,False
2013-08-18,65,False
2013-08-25,64,False
2013-09-01,60,False
2013-09-08,64,False
2013-09-15,56,False
2013-09-22,49,False
2013-09-29,44,False
2013-10-06,54,False
2013-10-13,54,False
2013-10-20,46,False
2013-10-27,41,False
2013-11-03,43,False
2013-11-10,35,False
2013-11-17,46,False
2013-11-24,61,False
2013-12-01,52,False
2013-12-08,52,False
2013-12-15,57,False
2013-12-22,29,False
2013-12-29,47,False
2014-01-05,45,False
2014-01-12,55,False
2014-01-19,60,False
2014-01-26,43,False
2014-02-02,59,False
2014-02-09,47,False
2014-02-16,39,False
2014-02-23,39,False
2014-03-02,57,False
2014-03-09,54,False
2014-03-16,49,False
2014-03-23,63,False
2014-03-30,55,False
2014-04-06,55,False
2014-04-13,37,False
2014-04-20,33,False
2014-04-27,38,False
2014-05-04,36,False
2014-05-11,31,False
2014-05-18,42,False
2014-05-25,31,False
2014-06-01,39,False
2014-06-08,46,False
2014-06-15,40,False
2014-06-22,35,False
2014-06-29,43,False
2014-07-06,41,False
2014-07-13,32,False
2014-07-20,34,False
2014-07-27,28,False
2014-08-03,35,False
2014-08-10,33,False
2014-08-17,28,False
2014-08-24,38,False
2014-08-31,32,False
2014-09-07,53,False
2014-09-14,71,False
2014-09-21,58,False
2014-09-28,58,False
2014-10-05,57,False
2014-10-12,50,False
2014-10-19,37,False
2014-10-26,38,False
2014-11-02,41,False
2014-11-09,34,False
2014-11-16,41,False
2014-11-23,43,False
2014-11-30,65,False
2014-12-07,50,False
2014-12-14,57,False
2014-12-21,42,False
2014-12-28,28,False
2015-01-04,49,False
2015-01-11,49,False
2015-01-18,54,False
2015-01-25,66,False
2015-02-01,78,False
2015-02-08,55,False
2015-02-15,39,False
2015-02-22,55,False
2015-03-01,53,False
2015-03-08,51,False
2015-03-15,46,False
2015-03-22,48,False
2015-03-29,45,False
2015-04-05,55,False
2015-04-12,57,False
2015-04-19,42,False
2015-04-26,50,False
2015-05-03,66,False
2015-05-10,42,False
2015-05-17,48,False
2015-05-24,47,False
2015-05-31,46,False
2015-06-07,34,False
2015-06-14,39,False
2015-06-21,40,False
2015-06-28,58,False
2015-07-05,65,False
2015-07-12,56,False
2015-07-19,64,False
2015-07-26,63,False
2015-08-02,63,False
2015-08-09,70,False
2015-08-16,54,False
2015-08-23,92,False
2015-08-30,75,False
2015-09-06,68,False
2015-09-13,75,False
2015-09-20,60,False
2015-09-27,70,False
2015-10-04,69,False
