date,DKKUSD,isPartial
2013-01-06,0,False
2013-01-13,40,False
2013-01-20,0,False
2013-01-27,52,False
2013-02-03,52,False
2013-02-10,53,False
2013-02-17,0,False
2013-02-24,39,False
2013-03-03,39,False
2013-03-10,0,False
2013-03-17,38,False
2013-03-24,39,False
2013-03-31,0,False
2013-04-07,38,False
2013-04-14,0,False
2013-04-21,39,False
2013-04-28,39,False
2013-05-05,52,False
2013-05-12,43,False
2013-05-19,0,False
2013-05-26,38,False
2013-06-02,0,False
2013-06-09,0,False
2013-06-16,38,False
2013-06-23,0,False
2013-06-30,0,False
2013-07-07,39,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,0,False
2013-08-04,0,False
2013-08-11,40,False
2013-08-18,44,False
2013-08-25,100,False
2013-09-01,0,False
2013-09-08,62,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,48,False
2013-10-06,48,False
2013-10-13,0,False
2013-10-20,35,False
2013-10-27,0,False
2013-11-03,36,False
2013-11-10,0,False
2013-11-17,35,False
2013-11-24,0,False
2013-12-01,0,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,76,False
2014-01-05,34,False
2014-01-12,0,False
2014-01-19,33,False
2014-01-26,34,False
2014-02-02,0,False
2014-02-09,0,False
2014-02-16,0,False
2014-02-23,0,False
2014-03-02,44,False
2014-03-09,88,False
2014-03-16,0,False
2014-03-23,0,False
2014-03-30,0,False
2014-04-06,0,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,33,False
2014-05-11,33,False
2014-05-18,35,False
2014-05-25,37,False
2014-06-01,50,False
2014-06-08,0,False
2014-06-15,43,False
2014-06-22,37,False
2014-06-29,0,False
2014-07-06,38,False
2014-07-13,38,False
2014-07-20,51,False
2014-07-27,39,False
2014-08-03,0,False
2014-08-10,38,False
2014-08-17,49,False
2014-08-24,54,False
2014-08-31,36,False
2014-09-07,35,False
2014-09-14,35,False
2014-09-21,0,False
2014-09-28,0,False
2014-10-05,71,False
2014-10-12,35,False
2014-10-19,35,False
2014-10-26,35,False
2014-11-02,34,False
2014-11-09,38,False
2014-11-16,0,False
2014-11-23,34,False
2014-11-30,0,False
2014-12-07,34,False
2014-12-14,35,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,0,False
2015-01-11,32,False
2015-01-18,32,False
2015-01-25,63,False
2015-02-01,32,False
2015-02-08,36,False
2015-02-15,0,False
2015-02-22,32,False
2015-03-01,42,False
