date,GBPCNY,isPartial
2013-01-06,38,False
2013-01-13,37,False
2013-01-20,24,False
2013-01-27,52,False
2013-02-03,41,False
2013-02-10,21,False
2013-02-17,39,False
2013-02-24,26,False
2013-03-03,18,False
2013-03-10,30,False
2013-03-17,23,False
2013-03-24,18,False
2013-03-31,18,False
2013-04-07,20,False
2013-04-14,36,False
2013-04-21,19,False
2013-04-28,18,False
2013-05-05,31,False
2013-05-12,18,False
2013-05-19,50,False
2013-05-26,20,False
2013-06-02,30,False
2013-06-09,17,False
2013-06-16,0,False
2013-06-23,18,False
2013-06-30,33,False
2013-07-07,37,False
2013-07-14,46,False
2013-07-21,48,False
2013-07-28,47,False
2013-08-04,27,False
2013-08-11,18,False
2013-08-18,18,False
2013-08-25,34,False
2013-09-01,17,False
2013-09-08,19,False
2013-09-15,25,False
2013-09-22,17,False
2013-09-29,17,False
2013-10-06,31,False
2013-10-13,51,False
2013-10-20,37,False
2013-10-27,19,False
2013-11-03,16,False
2013-11-10,25,False
2013-11-17,16,False
2013-11-24,19,False
2013-12-01,32,False
2013-12-08,37,False
2013-12-15,22,False
2013-12-22,21,False
2013-12-29,45,False
2014-01-05,32,False
2014-01-12,16,False
2014-01-19,0,False
2014-01-26,23,False
2014-02-02,16,False
2014-02-09,15,False
2014-02-16,16,False
2014-02-23,26,False
2014-03-02,23,False
2014-03-09,31,False
2014-03-16,23,False
2014-03-23,35,False
2014-03-30,28,False
2014-04-06,23,False
2014-04-13,24,False
2014-04-20,27,False
2014-04-27,17,False
2014-05-04,62,False
2014-05-11,22,False
2014-05-18,24,False
2014-05-25,17,False
2014-06-01,20,False
2014-06-08,0,False
2014-06-15,23,False
2014-06-22,17,False
2014-06-29,18,False
2014-07-06,20,False
2014-07-13,18,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,48,False
2014-08-10,19,False
2014-08-17,17,False
2014-08-24,34,False
2014-08-31,17,False
2014-09-07,24,False
2014-09-14,33,False
2014-09-21,24,False
2014-09-28,19,False
2014-10-05,25,False
2014-10-12,32,False
2014-10-19,37,False
2014-10-26,18,False
2014-11-02,16,False
2014-11-09,16,False
2014-11-16,18,False
2014-11-23,16,False
2014-11-30,22,False
2014-12-07,27,False
2014-12-14,27,False
2014-12-21,18,False
2014-12-28,26,False
2015-01-04,31,False
2015-01-11,17,False
2015-01-18,21,False
2015-01-25,29,False
2015-02-01,15,False
2015-02-08,21,False
2015-02-15,15,False
2015-02-22,25,False
2015-03-01,15,False
2015-03-08,15,False
2015-03-15,21,False
2015-03-22,16,False
2015-03-29,15,False
2015-04-05,15,False
2015-04-12,0,False
2015-04-19,27,False
2015-04-26,20,False
2015-05-03,34,False
2015-05-10,32,False
2015-05-17,42,False
2015-05-24,19,False
2015-05-31,15,False
2015-06-07,30,False
2015-06-14,33,False
2015-06-21,22,False
2015-06-28,22,False
2015-07-05,32,False
2015-07-12,30,False
2015-07-19,15,False
2015-07-26,17,False
2015-08-02,16,False
2015-08-09,64,False
2015-08-16,25,False
2015-08-23,42,False
