date,GBPUSD,isPartial
2013-01-06,5,False
2013-01-13,5,False
2013-01-20,7,False
2013-01-27,7,False
2013-02-03,6,False
2013-02-10,6,False
2013-02-17,10,False
2013-02-24,11,False
2013-03-03,8,False
2013-03-10,8,False
2013-03-17,8,False
2013-03-24,6,False
2013-03-31,8,False
2013-04-07,7,False
2013-04-14,5,False
2013-04-21,7,False
2013-04-28,7,False
2013-05-05,6,False
2013-05-12,6,False
2013-05-19,6,False
2013-05-26,6,False
2013-06-02,6,False
2013-06-09,5,False
2013-06-16,6,False
2013-06-23,6,False
2013-06-30,9,False
2013-07-07,8,False
2013-07-14,8,False
2013-07-21,7,False
2013-07-28,8,False
2013-08-04,8,False
2013-08-11,7,False
2013-08-18,7,False
2013-08-25,6,False
2013-09-01,5,False
2013-09-08,8,False
2013-09-15,8,False
2013-09-22,7,False
2013-09-29,8,False
2013-10-06,8,False
2013-10-13,8,False
2013-10-20,7,False
2013-10-27,6,False
2013-11-03,7,False
2013-11-10,6,False
2013-11-17,5,False
2013-11-24,8,False
2013-12-01,6,False
2013-12-08,6,False
2013-12-15,7,False
2013-12-22,5,False
2013-12-29,6,False
2014-01-05,8,False
2014-01-12,7,False
2014-01-19,7,False
2014-01-26,6,False
2014-02-02,6,False
2014-02-09,8,False
2014-02-16,10,False
2014-02-23,7,False
2014-03-02,7,False
2014-03-09,6,False
2014-03-16,7,False
2014-03-23,7,False
2014-03-30,6,False
2014-04-06,7,False
2014-04-13,7,False
2014-04-20,6,False
2014-04-27,8,False
2014-05-04,8,False
2014-05-11,7,False
2014-05-18,6,False
2014-05-25,6,False
2014-06-01,7,False
2014-06-08,7,False
2014-06-15,8,False
2014-06-22,7,False
2014-06-29,9,False
2014-07-06,7,False
2014-07-13,6,False
2014-07-20,6,False
2014-07-27,7,False
2014-08-03,7,False
2014-08-10,7,False
2014-08-17,8,False
2014-08-24,7,False
2014-08-31,9,False
2014-09-07,14,False
2014-09-14,17,False
2014-09-21,8,False
2014-09-28,8,False
2014-10-05,7,False
2014-10-12,8,False
2014-10-19,7,False
2014-10-26,7,False
2014-11-02,6,False
2014-11-09,8,False
2014-11-16,6,False
2014-11-23,7,False
2014-11-30,6,False
2014-12-07,6,False
2014-12-14,6,False
2014-12-21,6,False
2014-12-28,6,False
2015-01-04,8,False
2015-01-11,8,False
2015-01-18,8,False
2015-01-25,9,False
2015-02-01,7,False
2015-02-08,8,False
2015-02-15,8,False
2015-02-22,8,False
2015-03-01,8,False
2015-03-08,11,False
2015-03-15,11,False
2015-03-22,7,False
2015-03-29,7,False
2015-04-05,8,False
2015-04-12,8,False
2015-04-19,9,False
2015-04-26,10,False
2015-05-03,12,False
2015-05-10,11,False
2015-05-17,10,False
2015-05-24,7,False
2015-05-31,8,False
2015-06-07,8,False
2015-06-14,9,False
2015-06-21,9,False
2015-06-28,8,False
2015-07-05,9,False
2015-07-12,10,False
2015-07-19,9,False
2015-07-26,8,False
2015-08-02,8,False
2015-08-09,7,False
2015-08-16,7,False
2015-08-23,10,False
2015-08-30,8,False
2015-09-06,9,False
2015-09-13,7,False
2015-09-20,8,False
2015-09-27,10,False
2015-10-04,8,False
2015-10-11,7,False
2015-10-18,7,False
2015-10-25,7,False
2015-11-01,8,False
2015-11-08,8,False
2015-11-15,7,False
2015-11-22,6,False
2015-11-29,8,False
2015-12-06,7,False
2015-12-13,8,False
2015-12-20,7,False
2015-12-27,7,False
2016-01-03,11,False
2016-01-10,11,False
2016-01-17,12,False
2016-01-24,10,False
2016-01-31,11,False
2016-02-07,9,False
2016-02-14,9,False
2016-02-21,19,False
2016-02-28,13,False
2016-03-06,11,False
2016-03-13,10,False
2016-03-20,10,False
2016-03-27,11,False
2016-04-03,9,False
2016-04-10,9,False
2016-04-17,10,False
2016-04-24,11,False
2016-05-01,10,False
2016-05-08,10,False
2016-05-15,10,False
2016-05-22,10,False
2016-05-29,12,False
2016-06-05,13,False
2016-06-12,16,False
2016-06-19,100,False
2016-06-26,73,False
2016-07-03,44,False
2016-07-10,35,False
2016-07-17,20,False
2016-07-24,13,False
2016-07-31,20,False
2016-08-07,15,False
2016-08-14,15,False
2016-08-21,13,False
2016-08-28,14,False
2016-09-04,13,False
2016-09-11,13,False
2016-09-18,13,False
2016-09-25,12,False
2016-10-02,43,False
2016-10-09,30,False
2016-10-16,19,False
2016-10-23,18,False
2016-10-30,22,False
2016-11-06,32,False
2016-11-13,16,False
2016-11-20,13,False
2016-11-27,13,False
2016-12-04,14,False
2016-12-11,12,False
2016-12-18,11,False
2016-12-25,9,False
2017-01-01,11,False
2017-01-08,17,False
2017-01-15,30,False
2017-01-22,19,False
2017-01-29,17,False
2017-02-05,13,False
2017-02-12,12,False
2017-02-19,13,False
2017-02-26,14,False
