date,EURUSD,isPartial
2013-01-06,38,False
2013-01-13,38,False
2013-01-20,31,False
2013-01-27,42,False
2013-02-03,38,False
2013-02-10,31,False
2013-02-17,31,False
2013-02-24,38,False
2013-03-03,39,False
2013-03-10,36,False
2013-03-17,41,False
2013-03-24,46,False
2013-03-31,36,False
2013-04-07,35,False
2013-04-14,36,False
2013-04-21,28,False
2013-04-28,35,False
2013-05-05,32,False
2013-05-12,33,False
2013-05-19,30,False
2013-05-26,28,False
2013-06-02,31,False
2013-06-09,33,False
2013-06-16,38,False
2013-06-23,33,False
2013-06-30,39,False
2013-07-07,41,False
2013-07-14,27,False
2013-07-21,25,False
2013-07-28,34,False
2013-08-04,29,False
2013-08-11,29,False
2013-08-18,32,False
2013-08-25,27,False
2013-09-01,30,False
2013-09-08,27,False
2013-09-15,36,False
2013-09-22,33,False
2013-09-29,35,False
2013-10-06,28,False
2013-10-13,32,False
2013-10-20,36,False
2013-10-27,33,False
2013-11-03,37,False
2013-11-10,33,False
2013-11-17,33,False
2013-11-24,31,False
2013-12-01,31,False
2013-12-08,29,False
2013-12-15,30,False
2013-12-22,27,False
2013-12-29,27,False
2014-01-05,29,False
2014-01-12,30,False
2014-01-19,34,False
2014-01-26,30,False
2014-02-02,32,False
2014-02-09,31,False
2014-02-16,31,False
2014-02-23,28,False
2014-03-02,38,False
2014-03-09,35,False
2014-03-16,37,False
2014-03-23,32,False
2014-03-30,30,False
2014-04-06,33,False
2014-04-13,27,False
2014-04-20,25,False
2014-04-27,27,False
2014-05-04,39,False
2014-05-11,34,False
2014-05-18,29,False
2014-05-25,27,False
2014-06-01,38,False
2014-06-08,34,False
2014-06-15,28,False
2014-06-22,29,False
2014-06-29,28,False
2014-07-06,27,False
2014-07-13,30,False
2014-07-20,29,False
2014-07-27,30,False
2014-08-03,28,False
2014-08-10,30,False
2014-08-17,33,False
2014-08-24,34,False
2014-08-31,42,False
2014-09-07,35,False
2014-09-14,33,False
2014-09-21,33,False
2014-09-28,44,False
2014-10-05,39,False
2014-10-12,41,False
2014-10-19,32,False
2014-10-26,38,False
2014-11-02,41,False
2014-11-09,40,False
2014-11-16,32,False
2014-11-23,31,False
2014-11-30,42,False
2014-12-07,40,False
2014-12-14,40,False
2014-12-21,27,False
2014-12-28,42,False
2015-01-04,56,False
2015-01-11,64,False
2015-01-18,85,False
2015-01-25,80,False
2015-02-01,57,False
2015-02-08,50,False
2015-02-15,55,False
2015-02-22,46,False
2015-03-01,62,False
2015-03-08,89,False
2015-03-15,79,False
2015-03-22,69,False
2015-03-29,57,False
2015-04-05,56,False
2015-04-12,52,False
2015-04-19,50,False
2015-04-26,52,False
2015-05-03,58,False
2015-05-10,59,False
2015-05-17,61,False
2015-05-24,54,False
2015-05-31,56,False
2015-06-07,53,False
2015-06-14,56,False
2015-06-21,61,False
2015-06-28,100,False
2015-07-05,92,False
2015-07-12,71,False
2015-07-19,54,False
2015-07-26,48,False
2015-08-02,46,False
2015-08-09,50,False
2015-08-16,49,False
2015-08-23,74,False
2015-08-30,51,False
2015-09-06,37,False
2015-09-13,51,False
2015-09-20,42,False
2015-09-27,37,False
2015-10-04,43,False
2015-10-11,45,False
2015-10-18,45,False
2015-10-25,50,False
2015-11-01,50,False
2015-11-08,47,False
2015-11-15,57,False
2015-11-22,46,False
2015-11-29,66,False
2015-12-06,52,False
2015-12-13,64,False
2015-12-20,46,False
2015-12-27,28,False
2016-01-03,49,False
2016-01-10,40,False
2016-01-17,42,False
2016-01-24,43,False
2016-01-31,48,False
2016-02-07,46,False
2016-02-14,40,False
2016-02-21,41,False
2016-02-28,45,False
2016-03-06,56,False
2016-03-13,45,False
2016-03-20,38,False
2016-03-27,40,False
2016-04-03,44,False
2016-04-10,39,False
2016-04-17,42,False
2016-04-24,41,False
2016-05-01,50,False
2016-05-08,36,False
2016-05-15,38,False
2016-05-22,41,False
2016-05-29,44,False
2016-06-05,41,False
2016-06-12,38,False
2016-06-19,75,False
2016-06-26,55,False
2016-07-03,40,False
2016-07-10,34,False
2016-07-17,37,False
2016-07-24,33,False
2016-07-31,35,False
2016-08-07,30,False
2016-08-14,31,False
2016-08-21,31,False
2016-08-28,33,False
2016-09-04,32,False
2016-09-11,28,False
2016-09-18,31,False
2016-09-25,30,False
2016-10-02,31,False
2016-10-09,40,False
2016-10-16,35,False
2016-10-23,30,False
2016-10-30,37,False
2016-11-06,69,False
2016-11-13,55,False
2016-11-20,49,False
2016-11-27,40,False
2016-12-04,61,False
2016-12-11,56,False
2016-12-18,43,False
2016-12-25,37,False
2017-01-01,44,False
2017-01-08,42,False
2017-01-15,48,False
2017-01-22,45,False
2017-01-29,44,False
2017-02-05,38,False
2017-02-12,37,False
2017-02-19,40,False
2017-02-26,40,False
2017-03-05,42,False
2017-03-12,45,False
2017-03-19,43,False
2017-03-26,43,False
2017-04-02,41,False
2017-04-09,39,False
2017-04-16,38,False
2017-04-23,61,False
2017-04-30,45,False
2017-05-07,54,False
2017-05-14,56,False
2017-05-21,47,False
2017-05-28,44,False
2017-06-04,46,False
2017-06-11,45,False
2017-06-18,33,False
2017-06-25,49,False
2017-07-02,42,False
2017-07-09,40,False
2017-07-16,52,False
2017-07-23,48,False
2017-07-30,56,False
2017-08-06,51,False
2017-08-13,43,False
2017-08-20,40,False
2017-08-27,55,False
2017-09-03,47,False
2017-09-10,49,False
2017-09-17,42,False
2017-09-24,51,False
2017-10-01,46,False
2017-10-08,41,False
2017-10-15,39,False
2017-10-22,48,False
2017-10-29,42,False
2017-11-05,44,False
2017-11-12,46,False
2017-11-19,42,False
2017-11-26,51,False
2017-12-03,52,False
2017-12-10,48,False
2017-12-17,42,False
2017-12-24,44,False
2017-12-31,36,True
