date,MADEUR,isPartial
2013-01-06,52,False
2013-01-13,0,False
2013-01-20,50,False
2013-01-27,49,False
2013-02-03,49,False
2013-02-10,50,False
2013-02-17,49,False
2013-02-24,0,False
2013-03-03,0,False
2013-03-10,0,False
2013-03-17,96,False
2013-03-24,54,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,64,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,48,False
2013-05-19,0,False
2013-05-26,64,False
2013-06-02,0,False
2013-06-09,48,False
2013-06-16,0,False
2013-06-23,48,False
2013-06-30,0,False
2013-07-07,50,False
2013-07-14,0,False
2013-07-21,50,False
2013-07-28,0,False
2013-08-04,0,False
2013-08-11,50,False
2013-08-18,64,False
2013-08-25,47,False
2013-09-01,47,False
2013-09-08,69,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,46,False
2013-10-06,47,False
2013-10-13,53,False
2013-10-20,45,False
2013-10-27,0,False
2013-11-03,45,False
2013-11-10,45,False
2013-11-17,48,False
2013-11-24,0,False
2013-12-01,0,False
2013-12-08,45,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,48,False
2014-01-05,43,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,44,False
2014-02-09,0,False
2014-02-16,42,False
2014-02-23,0,False
2014-03-02,43,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,83,False
2014-03-30,0,False
2014-04-06,0,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,42,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,46,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,47,False
2014-06-22,63,False
2014-06-29,65,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,100,False
2014-08-10,47,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,60,False
2014-09-07,0,False
2014-09-14,44,False
2014-09-21,44,False
2014-09-28,45,False
2014-10-05,44,False
2014-10-12,0,False
2014-10-19,44,False
2014-10-26,43,False
2014-11-02,74,False
2014-11-09,0,False
2014-11-16,43,False
2014-11-23,43,False
2014-11-30,48,False
2014-12-07,49,False
2014-12-14,0,False
2014-12-21,0,False
2014-12-28,54,False
2015-01-04,83,False
2015-01-11,0,False
2015-01-18,0,False
2015-01-25,40,False
2015-02-01,40,False
2015-02-08,54,False
2015-02-15,0,False
2015-02-22,40,False
2015-03-01,0,False
2015-03-08,60,False
2015-03-15,0,False
2015-03-22,43,False
2015-03-29,45,False
2015-04-05,41,False
2015-04-12,0,False
2015-04-19,44,False
2015-04-26,40,False
2015-05-03,69,False
2015-05-10,80,False
2015-05-17,0,False
2015-05-24,40,False
2015-05-31,40,False
2015-06-07,0,False
2015-06-14,46,False
2015-06-21,53,False
2015-06-28,41,False
2015-07-05,0,False
2015-07-12,0,False
2015-07-19,55,False
2015-07-26,46,False
2015-08-02,40,False
2015-08-09,40,False
2015-08-16,80,False
2015-08-23,39,False
2015-08-30,0,False
2015-09-06,0,False
2015-09-13,75,False
2015-09-20,38,False
2015-09-27,0,False
2015-10-04,49,False
2015-10-11,0,False
2015-10-18,56,False
2015-10-25,42,False
2015-11-01,37,False
2015-11-08,0,False
2015-11-15,49,False
2015-11-22,0,False
2015-11-29,0,False
2015-12-06,0,False
2015-12-13,37,False
2015-12-20,56,False
2015-12-27,0,False
2016-01-03,0,False
2016-01-10,39,False
2016-01-17,0,False
2016-01-24,39,False
2016-01-31,39,False
2016-02-07,44,False
2016-02-14,0,False
2016-02-21,43,False
2016-02-28,75,False
2016-03-06,50,False
2016-03-13,0,False
2016-03-20,0,False
2016-03-27,39,False
2016-04-03,44,False
2016-04-10,38,False
2016-04-17,44,False
2016-04-24,0,False
2016-05-01,45,False
2016-05-08,39,False
2016-05-15,39,False
2016-05-22,39,False
2016-05-29,0,False
2016-06-05,0,False
2016-06-12,65,False
2016-06-19,45,False
2016-06-26,80,False
2016-07-03,0,False
2016-07-10,41,False
2016-07-17,72,False
2016-07-24,41,False
2016-07-31,0,False
2016-08-07,80,False
2016-08-14,44,False
2016-08-21,42,False
2016-08-28,61,False
2016-09-04,40,False
2016-09-11,53,False
2016-09-18,53,False
2016-09-25,67,False
2016-10-02,45,False
2016-10-09,80,False
2016-10-16,67,False
2016-10-23,45,False
2016-10-30,39,False
2016-11-06,50,False
2016-11-13,39,False
2016-11-20,0,False
2016-11-27,43,False
2016-12-04,0,False
2016-12-11,37,False
2016-12-18,40,False
2016-12-25,46,False
2017-01-01,0,False
2017-01-08,36,False
2017-01-15,62,False
2017-01-22,36,False
2017-01-29,41,False
2017-02-05,36,False
2017-02-12,35,False
2017-02-19,48,False
2017-02-26,35,False
2017-03-05,35,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,36,False
2017-04-02,41,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,36,False
2017-04-30,36,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,70,False
2017-05-28,78,False
2017-06-04,0,False
2017-06-11,38,False
2017-06-18,0,False
2017-06-25,39,False
2017-07-02,45,False
2017-07-09,66,False
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,37,False
2017-08-06,85,False
2017-08-13,41,False
2017-08-20,0,False
2017-08-27,64,False
2017-09-03,0,False
2017-09-10,48,False
2017-09-17,41,False
2017-09-24,54,False
2017-10-01,36,False
2017-10-08,71,False
2017-10-15,55,False
2017-10-22,0,False
2017-10-29,47,False
2017-11-05,35,False
2017-11-12,35,False
2017-11-19,35,False
2017-11-26,0,False
2017-12-03,47,False
2017-12-10,60,False
2017-12-17,37,False
2017-12-24,0,False
2017-12-31,0,True
