date,USDBRL,isPartial
2013-01-06,10,False
2013-01-13,7,False
2013-01-20,6,False
2013-01-27,13,False
2013-02-03,9,False
2013-02-10,10,False
2013-02-17,9,False
2013-02-24,6,False
2013-03-03,16,False
2013-03-10,8,False
2013-03-17,11,False
2013-03-24,9,False
2013-03-31,11,False
2013-04-07,9,False
2013-04-14,10,False
2013-04-21,13,False
2013-04-28,8,False
2013-05-05,16,False
2013-05-12,11,False
2013-05-19,11,False
2013-05-26,11,False
2013-06-02,21,False
2013-06-09,18,False
2013-06-16,20,False
2013-06-23,14,False
2013-06-30,21,False
2013-07-07,22,False
2013-07-14,15,False
2013-07-21,8,False
2013-07-28,23,False
2013-08-04,15,False
2013-08-11,22,False
2013-08-18,51,False
2013-08-25,38,False
2013-09-01,13,False
2013-09-08,19,False
2013-09-15,17,False
2013-09-22,20,False
2013-09-29,23,False
2013-10-06,9,False
2013-10-13,9,False
2013-10-20,12,False
2013-10-27,13,False
2013-11-03,16,False
2013-11-10,18,False
2013-11-17,12,False
2013-11-24,14,False
2013-12-01,13,False
2013-12-08,12,False
2013-12-15,21,False
2013-12-22,11,False
2013-12-29,6,False
2014-01-05,16,False
2014-01-12,20,False
2014-01-19,17,False
2014-01-26,27,False
2014-02-02,22,False
2014-02-09,16,False
2014-02-16,22,False
2014-02-23,16,False
2014-03-02,16,False
2014-03-09,8,False
2014-03-16,15,False
2014-03-23,18,False
2014-03-30,25,False
2014-04-06,16,False
2014-04-13,8,False
2014-04-20,13,False
2014-04-27,12,False
2014-05-04,11,False
2014-05-11,15,False
2014-05-18,12,False
2014-05-25,17,False
2014-06-01,16,False
2014-06-08,10,False
2014-06-15,27,False
2014-06-22,13,False
2014-06-29,12,False
2014-07-06,14,False
2014-07-13,7,False
2014-07-20,13,False
2014-07-27,18,False
2014-08-03,11,False
2014-08-10,7,False
2014-08-17,12,False
2014-08-24,8,False
2014-08-31,14,False
2014-09-07,13,False
2014-09-14,16,False
2014-09-21,19,False
2014-09-28,24,False
2014-10-05,17,False
2014-10-12,15,False
2014-10-19,19,False
2014-10-26,42,False
2014-11-02,15,False
2014-11-09,26,False
2014-11-16,16,False
2014-11-23,19,False
2014-11-30,15,False
2014-12-07,15,False
2014-12-14,32,False
2014-12-21,12,False
2014-12-28,12,False
2015-01-04,19,False
2015-01-11,17,False
2015-01-18,20,False
2015-01-25,22,False
2015-02-01,13,False
2015-02-08,28,False
2015-02-15,13,False
2015-02-22,24,False
2015-03-01,38,False
2015-03-08,52,False
2015-03-15,42,False
2015-03-22,47,False
2015-03-29,33,False
2015-04-05,32,False
2015-04-12,29,False
2015-04-19,25,False
2015-04-26,30,False
2015-05-03,29,False
2015-05-10,22,False
2015-05-17,27,False
2015-05-24,23,False
2015-05-31,23,False
2015-06-07,23,False
2015-06-14,23,False
2015-06-21,20,False
2015-06-28,12,False
2015-07-05,22,False
2015-07-12,15,False
2015-07-19,33,False
2015-07-26,40,False
2015-08-02,45,False
2015-08-09,33,False
2015-08-16,49,False
2015-08-23,52,False
2015-08-30,48,False
2015-09-06,54,False
2015-09-13,48,False
2015-09-20,100,False
2015-09-27,61,False
2015-10-04,67,False
2015-10-11,49,False
2015-10-18,37,False
2015-10-25,32,False
2015-11-01,35,False
2015-11-08,35,False
2015-11-15,27,False
2015-11-22,32,False
2015-11-29,30,False
2015-12-06,32,False
2015-12-13,42,False
2015-12-20,46,False
2015-12-27,22,False
2016-01-03,51,False
2016-01-10,24,False
2016-01-17,48,False
2016-01-24,39,False
2016-01-31,29,False
2016-02-07,30,False
2016-02-14,22,False
2016-02-21,20,False
2016-02-28,43,False
2016-03-06,52,False
2016-03-13,70,False
2016-03-20,36,False
2016-03-27,50,False
2016-04-03,36,False
2016-04-10,43,False
2016-04-17,50,False
2016-04-24,31,False
2016-05-01,31,False
2016-05-08,62,False
2016-05-15,22,False
2016-05-22,20,False
2016-05-29,32,False
2016-06-05,40,False
2016-06-12,28,False
2016-06-19,32,False
2016-06-26,41,False
2016-07-03,23,False
2016-07-10,27,False
2016-07-17,24,False
2016-07-24,27,False
2016-07-31,36,False
2016-08-07,27,False
2016-08-14,22,False
2016-08-21,28,False
2016-08-28,30,False
2016-09-04,21,False
2016-09-11,20,False
2016-09-18,9,False
2016-09-25,13,False
2016-10-02,23,False
2016-10-09,19,False
2016-10-16,33,False
2016-10-23,32,False
2016-10-30,33,False
2016-11-06,65,False
2016-11-13,36,False
2016-11-20,23,False
2016-11-27,31,False
2016-12-04,35,False
2016-12-11,31,False
2016-12-18,19,False
2016-12-25,15,False
2017-01-01,25,False
2017-01-08,36,False
2017-01-15,31,False
2017-01-22,20,False
2017-01-29,19,False
2017-02-05,14,False
2017-02-12,24,False
2017-02-19,30,False
2017-02-26,19,False
2017-03-05,29,False
2017-03-12,27,False
2017-03-19,27,False
2017-03-26,24,False
2017-04-02,27,False
2017-04-09,22,False
2017-04-16,21,False
2017-04-23,25,False
2017-04-30,22,False
2017-05-07,18,False
2017-05-14,88,False
2017-05-21,40,False
2017-05-28,27,False
2017-06-04,36,False
2017-06-11,27,False
2017-06-18,24,False
2017-06-25,34,False
2017-07-02,26,False
2017-07-09,35,False
2017-07-16,23,False
2017-07-23,31,False
2017-07-30,30,False
2017-08-06,25,False
2017-08-13,26,False
2017-08-20,31,False
2017-08-27,23,False
2017-09-03,14,False
2017-09-10,25,False
2017-09-17,20,False
2017-09-24,32,False
2017-10-01,16,False
2017-10-08,13,False
2017-10-15,18,False
2017-10-22,30,False
2017-10-29,21,False
2017-11-05,18,False
2017-11-12,16,False
2017-11-19,9,False
2017-11-26,39,False
2017-12-03,42,False
2017-12-10,35,False
2017-12-17,23,False
2017-12-24,25,False
2017-12-31,14,True
