date,EURBRL,isPartial
2013-01-06,16,False
2013-01-13,27,False
2013-01-20,23,False
2013-01-27,18,False
2013-02-03,28,False
2013-02-10,0,False
2013-02-17,23,False
2013-02-24,17,False
2013-03-03,15,False
2013-03-10,42,False
2013-03-17,15,False
2013-03-24,44,False
2013-03-31,26,False
2013-04-07,15,False
2013-04-14,0,False
2013-04-21,30,False
2013-04-28,23,False
2013-05-05,41,False
2013-05-12,15,False
2013-05-19,17,False
2013-05-26,31,False
2013-06-02,34,False
2013-06-09,59,False
2013-06-16,52,False
2013-06-23,33,False
2013-06-30,51,False
2013-07-07,34,False
2013-07-14,24,False
2013-07-21,28,False
2013-07-28,53,False
2013-08-04,24,False
2013-08-11,31,False
2013-08-18,30,False
2013-08-25,50,False
2013-09-01,32,False
2013-09-08,86,False
2013-09-15,29,False
2013-09-22,14,False
2013-09-29,56,False
2013-10-06,15,False
2013-10-13,26,False
2013-10-20,14,False
2013-10-27,16,False
2013-11-03,14,False
2013-11-10,20,False
2013-11-17,14,False
2013-11-24,41,False
2013-12-01,40,False
2013-12-08,24,False
2013-12-15,29,False
2013-12-22,27,False
2013-12-29,20,False
2014-01-05,13,False
2014-01-12,29,False
2014-01-19,33,False
2014-01-26,26,False
2014-02-02,25,False
2014-02-09,22,False
2014-02-16,43,False
2014-02-23,19,False
2014-03-02,30,False
2014-03-09,53,False
2014-03-16,24,False
2014-03-23,33,False
2014-03-30,27,False
2014-04-06,47,False
2014-04-13,20,False
2014-04-20,15,False
2014-04-27,44,False
2014-05-04,24,False
2014-05-11,37,False
2014-05-18,20,False
2014-05-25,37,False
2014-06-01,42,False
2014-06-08,30,False
2014-06-15,27,False
2014-06-22,30,False
2014-06-29,33,False
2014-07-06,15,False
2014-07-13,60,False
2014-07-20,22,False
2014-07-27,33,False
2014-08-03,18,False
2014-08-10,15,False
2014-08-17,17,False
2014-08-24,29,False
2014-08-31,24,False
2014-09-07,16,False
2014-09-14,21,False
2014-09-21,20,False
2014-09-28,20,False
2014-10-05,32,False
2014-10-12,20,False
2014-10-19,21,False
2014-10-26,54,False
