date,CADCNY,isPartial
2013-01-06,43,False
2013-01-13,84,False
2013-01-20,54,False
2013-01-27,31,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,45,False
2013-02-24,30,False
2013-03-03,31,False
2013-03-10,0,False
2013-03-17,30,False
2013-03-24,42,False
2013-03-31,0,False
2013-04-07,35,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,35,False
2013-05-12,0,False
2013-05-19,30,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,30,False
2013-06-16,0,False
2013-06-23,30,False
2013-06-30,36,False
2013-07-07,31,False
2013-07-14,31,False
2013-07-21,0,False
2013-07-28,31,False
2013-08-04,0,False
2013-08-11,42,False
2013-08-18,30,False
2013-08-25,0,False
2013-09-01,58,False
2013-09-08,0,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,31,False
2013-10-13,28,False
2013-10-20,28,False
2013-10-27,57,False
2013-11-03,32,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,32,False
2013-12-01,0,False
2013-12-08,37,False
2013-12-15,57,False
2013-12-22,0,False
2013-12-29,60,False
2014-01-05,54,False
2014-01-12,58,False
2014-01-19,57,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,26,False
2014-02-16,72,False
2014-02-23,60,False
2014-03-02,26,False
2014-03-09,26,False
2014-03-16,0,False
2014-03-23,52,False
2014-03-30,26,False
2014-04-06,30,False
2014-04-13,28,False
2014-04-20,0,False
2014-04-27,26,False
2014-05-04,30,False
2014-05-11,0,False
2014-05-18,28,False
2014-05-25,0,False
2014-06-01,59,False
2014-06-08,44,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,30,False
2014-07-06,0,False
2014-07-13,30,False
2014-07-20,30,False
2014-07-27,60,False
2014-08-03,57,False
2014-08-10,30,False
2014-08-17,54,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,28,False
2014-09-21,0,False
2014-09-28,0,False
2014-10-05,28,False
2014-10-12,54,False
2014-10-19,0,False
2014-10-26,0,False
2014-11-02,46,False
2014-11-09,27,False
2014-11-16,29,False
2014-11-23,40,False
2014-11-30,0,False
2014-12-07,49,False
2014-12-14,0,False
2014-12-21,30,False
2014-12-28,30,False
2015-01-04,77,False
2015-01-11,28,False
2015-01-18,55,False
2015-01-25,91,False
2015-02-01,73,False
2015-02-08,72,False
2015-02-15,30,False
2015-02-22,37,False
2015-03-01,43,False
2015-03-08,37,False
2015-03-15,45,False
2015-03-22,54,False
2015-03-29,0,False
2015-04-05,30,False
2015-04-12,37,False
2015-04-19,50,False
2015-04-26,29,False
2015-05-03,28,False
2015-05-10,25,False
2015-05-17,43,False
2015-05-24,43,False
2015-05-31,55,False
2015-06-07,29,False
2015-06-14,34,False
2015-06-21,0,False
2015-06-28,51,False
2015-07-05,46,False
2015-07-12,58,False
2015-07-19,59,False
2015-07-26,37,False
2015-08-02,29,False
2015-08-09,92,False
2015-08-16,36,False
2015-08-23,42,False
2015-08-30,42,False
2015-09-06,44,False
2015-09-13,35,False
2015-09-20,26,False
2015-09-27,47,False
2015-10-04,47,False
2015-10-11,68,False
2015-10-18,23,False
2015-10-25,80,False
2015-11-01,69,False
2015-11-08,58,False
2015-11-15,58,False
2015-11-22,46,False
2015-11-29,46,False
2015-12-06,27,False
2015-12-13,68,False
2015-12-20,57,False
2015-12-27,26,False
2016-01-03,63,False
2016-01-10,53,False
2016-01-17,44,False
2016-01-24,44,False
2016-01-31,35,False
2016-02-07,44,False
2016-02-14,24,False
2016-02-21,52,False
2016-02-28,41,False
2016-03-06,79,False
2016-03-13,70,False
2016-03-20,25,False
2016-03-27,44,False
2016-04-03,0,False
2016-04-10,53,False
2016-04-17,48,False
2016-04-24,61,False
2016-05-01,45,False
2016-05-08,48,False
2016-05-15,61,False
2016-05-22,27,False
2016-05-29,74,False
2016-06-05,24,False
2016-06-12,0,False
2016-06-19,25,False
2016-06-26,34,False
2016-07-03,78,False
2016-07-10,26,False
2016-07-17,26,False
2016-07-24,0,False
2016-07-31,45,False
2016-08-07,62,False
2016-08-14,63,False
2016-08-21,26,False
2016-08-28,55,False
2016-09-04,29,False
2016-09-11,63,False
2016-09-18,36,False
2016-09-25,43,False
2016-10-02,0,False
2016-10-09,36,False
2016-10-16,53,False
2016-10-23,73,False
2016-10-30,25,False
2016-11-06,24,False
2016-11-13,42,False
2016-11-20,82,False
2016-11-27,0,False
2016-12-04,100,False
2016-12-11,94,False
2016-12-18,63,False
2016-12-25,46,False
2017-01-01,97,False
2017-01-08,83,False
2017-01-15,56,False
2017-01-22,52,False
2017-01-29,26,False
2017-02-05,33,False
2017-02-12,65,False
2017-02-19,22,False
2017-02-26,44,False
2017-03-05,55,False
2017-03-12,50,False
2017-03-19,44,False
2017-03-26,52,False
2017-04-02,39,False
2017-04-09,47,False
2017-04-16,41,False
2017-04-23,44,False
2017-04-30,34,False
2017-05-07,33,False
2017-05-14,26,False
2017-05-21,35,False
2017-05-28,32,False
2017-06-04,60,False
2017-06-11,55,False
2017-06-18,40,False
2017-06-25,27,False
2017-07-02,37,False
2017-07-09,24,False
2017-07-16,37,False
2017-07-23,82,False
2017-07-30,23,False
2017-08-06,40,False
2017-08-13,0,False
2017-08-20,35,False
2017-08-27,58,False
2017-09-03,53,False
2017-09-10,26,False
2017-09-17,23,False
2017-09-24,26,False
2017-10-01,68,False
2017-10-08,61,False
2017-10-15,30,False
2017-10-22,30,False
2017-10-29,38,False
2017-11-05,22,False
2017-11-12,22,False
2017-11-19,38,False
2017-11-26,32,False
2017-12-03,64,False
2017-12-10,75,False
2017-12-17,25,False
2017-12-24,44,False
2017-12-31,0,True
