date,AUDCHF,isPartial
2013-01-06,22,False
2013-01-13,27,False
2013-01-20,32,False
2013-01-27,32,False
2013-02-03,47,False
2013-02-10,28,False
2013-02-17,20,False
2013-02-24,18,False
2013-03-03,18,False
2013-03-10,33,False
2013-03-17,26,False
2013-03-24,32,False
2013-03-31,0,False
2013-04-07,26,False
2013-04-14,53,False
2013-04-21,33,False
2013-04-28,27,False
2013-05-05,28,False
2013-05-12,33,False
2013-05-19,33,False
2013-05-26,26,False
2013-06-02,39,False
2013-06-09,52,False
2013-06-16,53,False
2013-06-23,46,False
2013-06-30,68,False
2013-07-07,32,False
2013-07-14,75,False
2013-07-21,37,False
2013-07-28,28,False
2013-08-04,37,False
2013-08-11,21,False
2013-08-18,27,False
2013-08-25,41,False
2013-09-01,18,False
2013-09-08,30,False
2013-09-15,19,False
2013-09-22,20,False
2013-09-29,68,False
2013-10-06,35,False
2013-10-13,49,False
2013-10-20,39,False
2013-10-27,29,False
2013-11-03,25,False
2013-11-10,37,False
2013-11-17,38,False
2013-11-24,49,False
2013-12-01,28,False
2013-12-08,25,False
2013-12-15,25,False
2013-12-22,0,False
2013-12-29,39,False
2014-01-05,36,False
2014-01-12,56,False
2014-01-19,54,False
2014-01-26,27,False
2014-02-02,33,False
2014-02-09,83,False
2014-02-16,16,False
2014-02-23,23,False
2014-03-02,45,False
2014-03-09,36,False
2014-03-16,42,False
2014-03-23,36,False
2014-03-30,34,False
2014-04-06,0,False
2014-04-13,38,False
2014-04-20,16,False
2014-04-27,23,False
2014-05-04,16,False
2014-05-11,36,False
2014-05-18,33,False
2014-05-25,18,False
2014-06-01,18,False
2014-06-08,30,False
2014-06-15,20,False
2014-06-22,31,False
2014-06-29,21,False
2014-07-06,20,False
2014-07-13,0,False
2014-07-20,18,False
2014-07-27,31,False
2014-08-03,37,False
2014-08-10,0,False
2014-08-17,53,False
2014-08-24,29,False
2014-08-31,17,False
2014-09-07,19,False
2014-09-14,38,False
2014-09-21,17,False
2014-09-28,29,False
2014-10-05,17,False
2014-10-12,44,False
2014-10-19,16,False
2014-10-26,0,False
2014-11-02,24,False
2014-11-09,0,False
2014-11-16,23,False
2014-11-23,35,False
2014-11-30,24,False
2014-12-07,18,False
2014-12-14,33,False
2014-12-21,36,False
2014-12-28,54,False
2015-01-04,46,False
2015-01-11,100,False
2015-01-18,44,False
2015-01-25,30,False
2015-02-01,38,False
2015-02-08,27,False
2015-02-15,47,False
2015-02-22,15,False
