date,AUDCHF,isPartial
2015-03-01,26,False
2015-03-08,33,False
2015-03-15,22,False
2015-03-22,29,False
2015-03-29,45,False
2015-04-05,23,False
2015-04-12,30,False
2015-04-19,22,False
2015-04-26,22,False
2015-05-03,17,False
2015-05-10,15,False
2015-05-17,26,False
2015-05-24,30,False
2015-05-31,39,False
2015-06-07,26,False
2015-06-14,30,False
2015-06-21,46,False
2015-06-28,46,False
2015-07-05,45,False
2015-07-12,15,False
2015-07-19,53,False
2015-07-26,30,False
2015-08-02,39,False
2015-08-09,49,False
2015-08-16,17,False
2015-08-23,32,False
2015-08-30,25,False
2015-09-06,29,False
2015-09-13,36,False
2015-09-20,14,False
2015-09-27,14,False
2015-10-04,36,False
2015-10-11,32,False
2015-10-18,28,False
2015-10-25,56,False
2015-11-01,14,False
2015-11-08,30,False
2015-11-15,40,False
2015-11-22,18,False
2015-11-29,25,False
2015-12-06,49,False
2015-12-13,41,False
2015-12-20,46,False
2015-12-27,40,False
2016-01-03,38,False
2016-01-10,32,False
2016-01-17,33,False
2016-01-24,26,False
2016-01-31,44,False
2016-02-07,27,False
2016-02-14,21,False
2016-02-21,41,False
2016-02-28,24,False
2016-03-06,42,False
2016-03-13,31,False
2016-03-20,26,False
2016-03-27,25,False
2016-04-03,41,False
2016-04-10,22,False
2016-04-17,44,False
2016-04-24,31,False
2016-05-01,29,False
2016-05-08,42,False
2016-05-15,53,False
2016-05-22,32,False
2016-05-29,51,False
2016-06-05,21,False
2016-06-12,44,False
2016-06-19,26,False
2016-06-26,30,False
2016-07-03,21,False
2016-07-10,35,False
2016-07-17,16,False
2016-07-24,46,False
2016-07-31,51,False
2016-08-07,47,False
2016-08-14,54,False
2016-08-21,52,False
2016-08-28,43,False
2016-09-04,0,False
2016-09-11,38,False
2016-09-18,33,False
2016-09-25,59,False
2016-10-02,43,False
2016-10-09,22,False
2016-10-16,33,False
2016-10-23,17,False
2016-10-30,27,False
2016-11-06,26,False
2016-11-13,22,False
2016-11-20,42,False
2016-11-27,25,False
2016-12-04,45,False
2016-12-11,26,False
2016-12-18,51,False
2016-12-25,17,False
2017-01-01,25,False
2017-01-08,34,False
2017-01-15,27,False
2017-01-22,18,False
2017-01-29,19,False
2017-02-05,29,False
2017-02-12,43,False
2017-02-19,15,False
2017-02-26,24,False
2017-03-05,26,False
2017-03-12,29,False
2017-03-19,15,False
2017-03-26,34,False
2017-04-02,20,False
2017-04-09,25,False
2017-04-16,29,False
2017-04-23,48,False
2017-04-30,40,False
2017-05-07,54,False
2017-05-14,41,False
2017-05-21,58,False
2017-05-28,68,False
2017-06-04,41,False
2017-06-11,41,False
2017-06-18,24,False
2017-06-25,48,False
2017-07-02,21,False
2017-07-09,22,False
2017-07-16,43,False
2017-07-23,21,False
2017-07-30,31,False
2017-08-06,41,False
2017-08-13,41,False
2017-08-20,46,False
2017-08-27,24,False
2017-09-03,45,False
2017-09-10,35,False
2017-09-17,47,False
2017-09-24,69,False
2017-10-01,30,False
2017-10-08,30,False
2017-10-15,34,False
2017-10-22,19,False
2017-10-29,38,False
2017-11-05,24,False
2017-11-12,14,False
2017-11-19,45,False
2017-11-26,33,False
2017-12-03,48,False
2017-12-10,24,False
2017-12-17,35,False
2017-12-24,36,False
2017-12-31,0,True
