date,CADAUD,isPartial
2017-07-16,66,False
2017-07-23,32,False
2017-07-30,32,False
2017-08-06,0,False
2017-08-13,32,False
2017-08-20,31,False
2017-08-27,0,False
2017-09-03,36,False
2017-09-10,45,False
2017-09-17,0,False
2017-09-24,31,False
2017-10-01,82,False
2017-10-08,0,False
2017-10-15,52,False
2017-10-22,52,False
2017-10-29,33,False
2017-11-05,78,False
2017-11-12,43,False
2017-11-19,79,False
2017-11-26,44,False
2017-12-03,40,False
2017-12-10,0,False
2017-12-17,82,False
2017-12-24,44,False
2017-12-31,0,True
