date,AUDNZD,isPartial
2013-01-06,9,False
2013-01-13,15,False
2013-01-20,22,False
2013-01-27,35,False
2013-02-03,23,False
2013-02-10,22,False
2013-02-17,16,False
2013-02-24,12,False
2013-03-03,25,False
2013-03-10,22,False
2013-03-17,9,False
2013-03-24,18,False
2013-03-31,19,False
2013-04-07,16,False
2013-04-14,16,False
2013-04-21,41,False
2013-04-28,26,False
2013-05-05,32,False
2013-05-12,41,False
2013-05-19,34,False
2013-05-26,37,False
2013-06-02,25,False
2013-06-09,22,False
2013-06-16,44,False
2013-06-23,30,False
2013-06-30,36,False
2013-07-07,32,False
2013-07-14,26,False
2013-07-21,45,False
2013-07-28,54,False
2013-08-04,55,False
2013-08-11,29,False
2013-08-18,44,False
2013-08-25,22,False
2013-09-01,49,False
2013-09-08,24,False
2013-09-15,18,False
2013-09-22,21,False
2013-09-29,41,False
2013-10-06,28,False
2013-10-13,27,False
2013-10-20,23,False
2013-10-27,38,False
2013-11-03,32,False
2013-11-10,37,False
2013-11-17,49,False
2013-11-24,61,False
2013-12-01,40,False
2013-12-08,63,False
2013-12-15,74,False
2013-12-22,33,False
2013-12-29,22,False
2014-01-05,48,False
2014-01-12,69,False
2014-01-19,41,False
2014-01-26,41,False
2014-02-02,74,False
2014-02-09,27,False
2014-02-16,14,False
2014-02-23,27,False
2014-03-02,30,False
2014-03-09,22,False
2014-03-16,52,False
2014-03-23,27,False
2014-03-30,44,False
2014-04-06,33,False
2014-04-13,29,False
2014-04-20,39,False
2014-04-27,30,False
2014-05-04,41,False
2014-05-11,34,False
2014-05-18,35,False
2014-05-25,43,False
2014-06-01,55,False
2014-06-08,31,False
2014-06-15,56,False
2014-06-22,49,False
2014-06-29,22,False
2014-07-06,22,False
2014-07-13,56,False
2014-07-20,56,False
2014-07-27,47,False
2014-08-03,42,False
2014-08-10,37,False
2014-08-17,40,False
2014-08-24,36,False
2014-08-31,29,False
2014-09-07,17,False
2014-09-14,32,False
2014-09-21,26,False
2014-09-28,44,False
2014-10-05,32,False
2014-10-12,40,False
2014-10-19,37,False
2014-10-26,17,False
2014-11-02,42,False
2014-11-09,19,False
2014-11-16,50,False
2014-11-23,41,False
2014-11-30,41,False
2014-12-07,39,False
2014-12-14,46,False
2014-12-21,50,False
2014-12-28,49,False
2015-01-04,72,False
2015-01-11,56,False
2015-01-18,34,False
2015-01-25,29,False
2015-02-01,34,False
2015-02-08,37,False
2015-02-15,40,False
2015-02-22,26,False
2015-03-01,36,False
2015-03-08,34,False
2015-03-15,54,False
2015-03-22,50,False
2015-03-29,49,False
2015-04-05,40,False
2015-04-12,55,False
2015-04-19,44,False
2015-04-26,42,False
2015-05-03,39,False
2015-05-10,44,False
2015-05-17,29,False
2015-05-24,18,False
2015-05-31,21,False
2015-06-07,26,False
2015-06-14,21,False
2015-06-21,37,False
2015-06-28,45,False
2015-07-05,47,False
2015-07-12,80,False
2015-07-19,27,False
2015-07-26,34,False
2015-08-02,40,False
2015-08-09,23,False
2015-08-16,39,False
2015-08-23,46,False
2015-08-30,20,False
2015-09-06,43,False
2015-09-13,47,False
2015-09-20,32,False
2015-09-27,47,False
2015-10-04,34,False
2015-10-11,53,False
2015-10-18,34,False
2015-10-25,53,False
2015-11-01,46,False
2015-11-08,36,False
2015-11-15,41,False
2015-11-22,29,False
2015-11-29,40,False
2015-12-06,50,False
2015-12-13,52,False
2015-12-20,16,False
2015-12-27,22,False
2016-01-03,44,False
2016-01-10,38,False
2016-01-17,58,False
2016-01-24,25,False
2016-01-31,18,False
2016-02-07,18,False
2016-02-14,35,False
2016-02-21,22,False
2016-02-28,34,False
2016-03-06,74,False
2016-03-13,35,False
2016-03-20,26,False
2016-03-27,28,False
2016-04-03,18,False
2016-04-10,48,False
2016-04-17,38,False
2016-04-24,35,False
2016-05-01,58,False
2016-05-08,53,False
2016-05-15,50,False
2016-05-22,48,False
2016-05-29,39,False
2016-06-05,66,False
2016-06-12,48,False
2016-06-19,57,False
2016-06-26,55,False
2016-07-03,60,False
2016-07-10,32,False
2016-07-17,49,False
2016-07-24,19,False
2016-07-31,60,False
2016-08-07,67,False
2016-08-14,32,False
2016-08-21,50,False
2016-08-28,66,False
2016-09-04,100,False
2016-09-11,81,False
2016-09-18,67,False
2016-09-25,77,False
2016-10-02,28,False
2016-10-09,47,False
2016-10-16,38,False
2016-10-23,31,False
2016-10-30,49,False
2016-11-06,40,False
2016-11-13,46,False
2016-11-20,35,False
2016-11-27,36,False
2016-12-04,38,False
2016-12-11,19,False
2016-12-18,23,False
2016-12-25,19,False
2017-01-01,38,False
2017-01-08,48,False
2017-01-15,54,False
2017-01-22,28,False
2017-01-29,30,False
2017-02-05,37,False
2017-02-12,34,False
2017-02-19,35,False
2017-02-26,52,False
2017-03-05,58,False
2017-03-12,27,False
2017-03-19,35,False
2017-03-26,33,False
2017-04-02,35,False
2017-04-09,34,False
2017-04-16,40,False
2017-04-23,37,False
2017-04-30,36,False
2017-05-07,35,False
2017-05-14,27,False
2017-05-21,40,False
2017-05-28,55,False
2017-06-04,85,False
2017-06-11,52,False
2017-06-18,58,False
2017-06-25,53,False
2017-07-02,46,False
2017-07-09,55,False
2017-07-16,35,False
2017-07-23,27,False
2017-07-30,49,False
2017-08-06,34,False
2017-08-13,25,False
2017-08-20,51,False
2017-08-27,39,False
2017-09-03,55,False
2017-09-10,43,False
2017-09-17,47,False
2017-09-24,40,False
2017-10-01,28,False
2017-10-08,59,False
2017-10-15,49,False
2017-10-22,53,False
2017-10-29,30,False
2017-11-05,23,False
2017-11-12,29,False
2017-11-19,39,False
2017-11-26,36,False
2017-12-03,39,False
2017-12-10,32,False
2017-12-17,54,False
2017-12-24,13,False
2017-12-31,78,True
