date,PENSOS,isPartial
2013-01-06,29,False
2013-01-13,27,False
2013-01-20,21,False
2013-01-27,21,False
2013-02-03,27,False
2013-02-10,21,False
2013-02-17,27,False
2013-02-24,18,False
2013-03-03,24,False
2013-03-10,33,False
2013-03-17,28,False
2013-03-24,21,False
2013-03-31,25,False
2013-04-07,45,False
2013-04-14,18,False
2013-04-21,18,False
2013-04-28,18,False
2013-05-05,22,False
2013-05-12,29,False
2013-05-19,21,False
2013-05-26,25,False
2013-06-02,21,False
2013-06-09,22,False
2013-06-16,21,False
2013-06-23,23,False
2013-06-30,25,False
2013-07-07,31,False
2013-07-14,26,False
2013-07-21,25,False
2013-07-28,27,False
2013-08-04,11,False
2013-08-11,24,False
2013-08-18,25,False
2013-08-25,23,False
2013-09-01,40,False
2013-09-08,18,False
2013-09-15,19,False
2013-09-22,18,False
2013-09-29,19,False
2013-10-06,20,False
2013-10-13,26,False
2013-10-20,33,False
2013-10-27,21,False
2013-11-03,30,False
2013-11-10,24,False
2013-11-17,29,False
2013-11-24,30,False
2013-12-01,28,False
2013-12-08,9,False
2013-12-15,23,False
2013-12-22,15,False
2013-12-29,16,False
2014-01-05,27,False
2014-01-12,28,False
2014-01-19,25,False
2014-01-26,29,False
2014-02-02,24,False
2014-02-09,22,False
2014-02-16,22,False
2014-02-23,26,False
2014-03-02,23,False
2014-03-09,23,False
2014-03-16,28,False
2014-03-23,31,False
2014-03-30,30,False
2014-04-06,23,False
2014-04-13,18,False
2014-04-20,32,False
2014-04-27,32,False
2014-05-04,27,False
2014-05-11,29,False
2014-05-18,24,False
2014-05-25,25,False
2014-06-01,20,False
2014-06-08,14,False
2014-06-15,19,False
2014-06-22,24,False
2014-06-29,21,False
2014-07-06,27,False
2014-07-13,24,False
2014-07-20,25,False
2014-07-27,27,False
2014-08-03,20,False
2014-08-10,19,False
2014-08-17,35,False
2014-08-24,24,False
2014-08-31,28,False
2014-09-07,25,False
2014-09-14,21,False
2014-09-21,22,False
2014-09-28,23,False
2014-10-05,30,False
2014-10-12,27,False
2014-10-19,26,False
2014-10-26,30,False
