date,PENSOS,isPartial
2014-11-02,28,False
2014-11-09,27,False
2014-11-16,33,False
2014-11-23,39,False
2014-11-30,30,False
2014-12-07,18,False
2014-12-14,19,False
2014-12-21,16,False
2014-12-28,24,False
2015-01-04,28,False
2015-01-11,17,False
2015-01-18,33,False
2015-01-25,25,False
2015-02-01,28,False
2015-02-08,23,False
2015-02-15,24,False
2015-02-22,26,False
2015-03-01,28,False
2015-03-08,27,False
2015-03-15,19,False
2015-03-22,25,False
2015-03-29,24,False
2015-04-05,37,False
2015-04-12,26,False
2015-04-19,23,False
2015-04-26,28,False
2015-05-03,40,False
2015-05-10,31,False
2015-05-17,32,False
2015-05-24,26,False
2015-05-31,34,False
2015-06-07,34,False
2015-06-14,28,False
2015-06-21,33,False
2015-06-28,27,False
2015-07-05,34,False
2015-07-12,33,False
2015-07-19,28,False
2015-07-26,22,False
2015-08-02,30,False
2015-08-09,45,False
2015-08-16,33,False
2015-08-23,27,False
2015-08-30,37,False
2015-09-06,24,False
2015-09-13,32,False
2015-09-20,27,False
2015-09-27,28,False
2015-10-04,27,False
2015-10-11,24,False
2015-10-18,27,False
2015-10-25,25,False
2015-11-01,30,False
2015-11-08,28,False
2015-11-15,31,False
2015-11-22,31,False
2015-11-29,31,False
2015-12-06,22,False
2015-12-13,27,False
2015-12-20,24,False
2015-12-27,25,False
2016-01-03,39,False
2016-01-10,25,False
2016-01-17,23,False
2016-01-24,40,False
2016-01-31,31,False
2016-02-07,21,False
2016-02-14,24,False
2016-02-21,100,False
2016-02-28,38,False
2016-03-06,28,False
2016-03-13,39,False
2016-03-20,25,False
2016-03-27,19,False
2016-04-03,30,False
2016-04-10,36,False
2016-04-17,46,False
2016-04-24,24,False
2016-05-01,18,False
2016-05-08,24,False
2016-05-15,26,False
2016-05-22,31,False
2016-05-29,23,False
2016-06-05,24,False
2016-06-12,36,False
2016-06-19,25,False
2016-06-26,34,False
2016-07-03,17,False
2016-07-10,33,False
2016-07-17,50,False
2016-07-24,41,False
2016-07-31,25,False
2016-08-07,27,False
2016-08-14,17,False
2016-08-21,31,False
2016-08-28,40,False
2016-09-04,28,False
2016-09-11,36,False
2016-09-18,26,False
2016-09-25,31,False
2016-10-02,19,False
2016-10-09,31,False
2016-10-16,36,False
2016-10-23,37,False
2016-10-30,40,False
2016-11-06,26,False
2016-11-13,30,False
2016-11-20,30,False
2016-11-27,25,False
2016-12-04,16,False
2016-12-11,23,False
2016-12-18,15,False
2016-12-25,31,False
2017-01-01,36,False
2017-01-08,35,False
2017-01-15,30,False
2017-01-22,37,False
2017-01-29,24,False
2017-02-05,33,False
2017-02-12,31,False
2017-02-19,33,False
2017-02-26,22,False
2017-03-05,34,False
2017-03-12,32,False
2017-03-19,27,False
2017-03-26,35,False
2017-04-02,29,False
2017-04-09,27,False
2017-04-16,27,False
2017-04-23,31,False
2017-04-30,33,False
2017-05-07,37,False
2017-05-14,30,False
2017-05-21,42,False
2017-05-28,22,False
2017-06-04,31,False
2017-06-11,33,False
2017-06-18,33,False
2017-06-25,29,False
2017-07-02,34,False
2017-07-09,26,False
2017-07-16,26,False
2017-07-23,29,False
2017-07-30,35,False
2017-08-06,26,False
2017-08-13,24,False
2017-08-20,32,False
2017-08-27,36,False
2017-09-03,32,False
2017-09-10,31,False
2017-09-17,27,False
2017-09-24,42,False
2017-10-01,35,False
2017-10-08,42,False
2017-10-15,25,False
2017-10-22,29,False
2017-10-29,18,False
2017-11-05,40,False
2017-11-12,27,False
2017-11-19,38,False
2017-11-26,29,False
2017-12-03,27,False
2017-12-10,29,False
2017-12-17,23,False
2017-12-24,37,False
2017-12-31,31,True
