date,EURNZD,isPartial
2013-01-06,0,False
2013-01-13,47,False
2013-01-20,17,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,19,False
2013-02-17,25,False
2013-02-24,16,False
2013-03-03,0,False
2013-03-10,16,False
2013-03-17,32,False
2013-03-24,17,False
2013-03-31,16,False
2013-04-07,0,False
2013-04-14,24,False
2013-04-21,35,False
2013-04-28,42,False
2013-05-05,22,False
2013-05-12,21,False
2013-05-19,0,False
2013-05-26,24,False
2013-06-02,27,False
2013-06-09,23,False
2013-06-16,21,False
2013-06-23,32,False
2013-06-30,28,False
2013-07-07,41,False
2013-07-14,24,False
2013-07-21,33,False
2013-07-28,21,False
2013-08-04,19,False
2013-08-11,24,False
2013-08-18,52,False
2013-08-25,45,False
2013-09-01,31,False
2013-09-08,30,False
2013-09-15,17,False
2013-09-22,18,False
2013-09-29,45,False
2013-10-06,20,False
2013-10-13,17,False
2013-10-20,59,False
2013-10-27,15,False
2013-11-03,22,False
2013-11-10,17,False
2013-11-17,15,False
2013-11-24,15,False
2013-12-01,29,False
2013-12-08,21,False
2013-12-15,43,False
2013-12-22,17,False
2013-12-29,27,False
2014-01-05,42,False
2014-01-12,21,False
2014-01-19,16,False
2014-01-26,14,False
2014-02-02,29,False
2014-02-09,40,False
2014-02-16,19,False
2014-02-23,39,False
2014-03-02,40,False
2014-03-09,21,False
2014-03-16,19,False
2014-03-23,25,False
2014-03-30,21,False
2014-04-06,31,False
2014-04-13,44,False
2014-04-20,33,False
2014-04-27,26,False
2014-05-04,15,False
2014-05-11,15,False
2014-05-18,22,False
2014-05-25,23,False
2014-06-01,31,False
2014-06-08,53,False
2014-06-15,18,False
2014-06-22,23,False
2014-06-29,29,False
2014-07-06,24,False
2014-07-13,23,False
2014-07-20,23,False
2014-07-27,58,False
2014-08-03,33,False
2014-08-10,40,False
2014-08-17,28,False
2014-08-24,46,False
2014-08-31,25,False
2014-09-07,32,False
2014-09-14,37,False
2014-09-21,32,False
2014-09-28,38,False
2014-10-05,44,False
2014-10-12,16,False
2014-10-19,31,False
2014-10-26,16,False
2014-11-02,32,False
2014-11-09,41,False
2014-11-16,57,False
2014-11-23,28,False
2014-11-30,14,False
2014-12-07,21,False
2014-12-14,26,False
2014-12-21,23,False
2014-12-28,44,False
2015-01-04,55,False
2015-01-11,29,False
2015-01-18,29,False
2015-01-25,38,False
2015-02-01,19,False
2015-02-08,33,False
2015-02-15,35,False
2015-02-22,24,False
2015-03-01,34,False
2015-03-08,43,False
2015-03-15,19,False
2015-03-22,41,False
2015-03-29,34,False
2015-04-05,0,False
2015-04-12,27,False
2015-04-19,24,False
2015-04-26,34,False
2015-05-03,48,False
2015-05-10,14,False
2015-05-17,29,False
2015-05-24,23,False
2015-05-31,33,False
2015-06-07,38,False
2015-06-14,39,False
2015-06-21,24,False
2015-06-28,34,False
2015-07-05,24,False
2015-07-12,25,False
2015-07-19,40,False
2015-07-26,30,False
2015-08-02,53,False
2015-08-09,27,False
2015-08-16,43,False
2015-08-23,75,False
2015-08-30,51,False
2015-09-06,42,False
2015-09-13,46,False
2015-09-20,38,False
2015-09-27,23,False
2015-10-04,31,False
2015-10-11,23,False
2015-10-18,27,False
2015-10-25,35,False
2015-11-01,25,False
2015-11-08,27,False
2015-11-15,40,False
2015-11-22,12,False
2015-11-29,35,False
2015-12-06,31,False
2015-12-13,32,False
2015-12-20,16,False
2015-12-27,20,False
2016-01-03,38,False
2016-01-10,37,False
2016-01-17,33,False
2016-01-24,19,False
2016-01-31,51,False
2016-02-07,42,False
2016-02-14,32,False
2016-02-21,50,False
2016-02-28,41,False
2016-03-06,41,False
2016-03-13,38,False
2016-03-20,23,False
2016-03-27,23,False
2016-04-03,51,False
2016-04-10,33,False
2016-04-17,42,False
2016-04-24,27,False
2016-05-01,19,False
2016-05-08,37,False
2016-05-15,38,False
2016-05-22,33,False
2016-05-29,30,False
2016-06-05,38,False
2016-06-12,56,False
2016-06-19,38,False
2016-06-26,43,False
2016-07-03,63,False
2016-07-10,44,False
2016-07-17,42,False
2016-07-24,45,False
2016-07-31,30,False
2016-08-07,0,False
2016-08-14,21,False
2016-08-21,48,False
2016-08-28,67,False
2016-09-04,39,False
2016-09-11,13,False
2016-09-18,33,False
2016-09-25,52,False
2016-10-02,38,False
2016-10-09,38,False
2016-10-16,33,False
2016-10-23,47,False
2016-10-30,19,False
2016-11-06,36,False
2016-11-13,19,False
2016-11-20,13,False
2016-11-27,31,False
2016-12-04,44,False
2016-12-11,27,False
2016-12-18,33,False
2016-12-25,15,False
2017-01-01,42,False
2017-01-08,30,False
2017-01-15,35,False
2017-01-22,35,False
2017-01-29,17,False
2017-02-05,30,False
2017-02-12,42,False
2017-02-19,35,False
2017-02-26,51,False
2017-03-05,29,False
2017-03-12,59,False
2017-03-19,21,False
2017-03-26,60,False
2017-04-02,27,False
2017-04-09,21,False
2017-04-16,26,False
2017-04-23,40,False
2017-04-30,39,False
2017-05-07,56,False
2017-05-14,32,False
2017-05-21,32,False
2017-05-28,64,False
2017-06-04,27,False
2017-06-11,50,False
2017-06-18,54,False
2017-06-25,42,False
2017-07-02,42,False
2017-07-09,56,False
2017-07-16,23,False
2017-07-23,28,False
2017-07-30,37,False
2017-08-06,28,False
2017-08-13,59,False
2017-08-20,54,False
2017-08-27,36,False
2017-09-03,40,False
2017-09-10,43,False
2017-09-17,44,False
2017-09-24,48,False
2017-10-01,65,False
2017-10-08,100,False
2017-10-15,69,False
2017-10-22,64,False
2017-10-29,60,False
2017-11-05,46,False
2017-11-12,96,False
2017-11-19,69,False
2017-11-26,68,False
2017-12-03,63,False
2017-12-10,53,False
2017-12-17,26,False
2017-12-24,22,False
2017-12-31,61,True
