date,GBPDKK,isPartial
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,51,False
2013-01-27,25,False
2013-02-03,29,False
2013-02-10,26,False
2013-02-17,25,False
2013-02-24,33,False
2013-03-03,25,False
2013-03-10,0,False
2013-03-17,0,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,25,False
2013-04-14,0,False
2013-04-21,25,False
2013-04-28,0,False
2013-05-05,25,False
2013-05-12,24,False
2013-05-19,27,False
2013-05-26,25,False
2013-06-02,32,False
2013-06-09,24,False
2013-06-16,100,False
2013-06-23,25,False
2013-06-30,37,False
2013-07-07,25,False
2013-07-14,25,False
2013-07-21,34,False
2013-07-28,0,False
2013-08-04,37,False
2013-08-11,33,False
2013-08-18,0,False
2013-08-25,41,False
2013-09-01,24,False
2013-09-08,27,False
2013-09-15,27,False
2013-09-22,27,False
2013-09-29,42,False
2013-10-06,0,False
2013-10-13,40,False
2013-10-20,23,False
2013-10-27,23,False
2013-11-03,50,False
2013-11-10,26,False
2013-11-17,39,False
2013-11-24,23,False
2013-12-01,22,False
2013-12-08,39,False
2013-12-15,0,False
2013-12-22,30,False
2013-12-29,24,False
2014-01-05,22,False
2014-01-12,22,False
2014-01-19,25,False
2014-01-26,22,False
2014-02-02,23,False
2014-02-09,21,False
2014-02-16,0,False
2014-02-23,0,False
2014-03-02,25,False
2014-03-09,22,False
2014-03-16,22,False
2014-03-23,0,False
2014-03-30,43,False
2014-04-06,22,False
2014-04-13,66,False
2014-04-20,0,False
2014-04-27,22,False
2014-05-04,22,False
2014-05-11,21,False
2014-05-18,23,False
2014-05-25,0,False
2014-06-01,24,False
2014-06-08,0,False
2014-06-15,0,False
2014-06-22,25,False
2014-06-29,25,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,24,False
2014-07-27,24,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,47,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,39,False
2014-09-21,22,False
2014-09-28,23,False
2014-10-05,26,False
2014-10-12,25,False
2014-10-19,0,False
2014-10-26,22,False
2014-11-02,0,False
2014-11-09,37,False
2014-11-16,22,False
2014-11-23,0,False
2014-11-30,21,False
2014-12-07,0,False
2014-12-14,22,False
2014-12-21,25,False
2014-12-28,0,False
2015-01-04,0,False
2015-01-11,0,False
2015-01-18,24,False
2015-01-25,30,False
2015-02-01,27,False
2015-02-08,21,False
2015-02-15,28,False
2015-02-22,30,False
2015-03-01,20,False
2015-03-08,20,False
2015-03-15,41,False
2015-03-22,0,False
2015-03-29,36,False
2015-04-05,24,False
2015-04-12,21,False
2015-04-19,20,False
2015-04-26,31,False
2015-05-03,37,False
2015-05-10,35,False
2015-05-17,20,False
2015-05-24,23,False
2015-05-31,21,False
2015-06-07,23,False
2015-06-14,23,False
2015-06-21,0,False
2015-06-28,28,False
2015-07-05,41,False
2015-07-12,42,False
2015-07-19,28,False
2015-07-26,0,False
2015-08-02,0,False
2015-08-09,37,False
2015-08-16,47,False
2015-08-23,34,False
2015-08-30,36,False
2015-09-06,20,False
2015-09-13,22,False
2015-09-20,28,False
2015-09-27,21,False
2015-10-04,21,False
2015-10-11,25,False
2015-10-18,22,False
2015-10-25,21,False
2015-11-01,0,False
2015-11-08,19,False
2015-11-15,21,False
2015-11-22,0,False
2015-11-29,21,False
2015-12-06,0,False
2015-12-13,19,False
2015-12-20,29,False
2015-12-27,0,False
2016-01-03,0,False
2016-01-10,39,False
2016-01-17,0,False
2016-01-24,20,False
2016-01-31,20,False
2016-02-07,60,False
2016-02-14,39,False
2016-02-21,35,False
2016-02-28,39,False
2016-03-06,22,False
2016-03-13,22,False
2016-03-20,20,False
2016-03-27,0,False
2016-04-03,29,False
2016-04-10,59,False
2016-04-17,20,False
2016-04-24,39,False
2016-05-01,26,False
2016-05-08,20,False
2016-05-15,26,False
2016-05-22,23,False
2016-05-29,31,False
2016-06-05,20,False
2016-06-12,45,False
2016-06-19,81,False
2016-06-26,96,False
2016-07-03,93,False
2016-07-10,53,False
2016-07-17,37,False
2016-07-24,24,False
2016-07-31,24,False
2016-08-07,29,False
2016-08-14,30,False
2016-08-21,22,False
2016-08-28,52,False
2016-09-04,36,False
2016-09-11,47,False
2016-09-18,54,False
2016-09-25,20,False
2016-10-02,44,False
2016-10-09,52,False
2016-10-16,30,False
2016-10-23,57,False
2016-10-30,44,False
2016-11-06,50,False
2016-11-13,50,False
2016-11-20,45,False
2016-11-27,21,False
2016-12-04,54,False
2016-12-11,29,False
2016-12-18,35,False
2016-12-25,31,False
2017-01-01,40,False
2017-01-08,19,False
2017-01-15,40,False
2017-01-22,37,False
2017-01-29,21,False
2017-02-05,37,False
2017-02-12,20,False
2017-02-19,27,False
2017-02-26,20,False
2017-03-05,32,False
2017-03-12,32,False
2017-03-19,0,False
2017-03-26,26,False
2017-04-02,28,False
2017-04-09,38,False
2017-04-16,37,False
2017-04-23,26,False
2017-04-30,19,False
2017-05-07,33,False
2017-05-14,19,False
2017-05-21,34,False
2017-05-28,0,False
2017-06-04,35,False
2017-06-11,58,False
2017-06-18,41,False
2017-06-25,40,False
2017-07-02,22,False
2017-07-09,40,False
