date,EURCZK,isPartial
2015-09-27,9,False
2015-10-04,8,False
2015-10-11,5,False
2015-10-18,12,False
2015-10-25,8,False
2015-11-01,8,False
2015-11-08,7,False
2015-11-15,18,False
2015-11-22,9,False
2015-11-29,12,False
2015-12-06,7,False
2015-12-13,10,False
2015-12-20,6,False
2015-12-27,0,False
2016-01-03,11,False
2016-01-10,6,False
2016-01-17,23,False
2016-01-24,6,False
2016-01-31,11,False
2016-02-07,8,False
2016-02-14,14,False
2016-02-21,15,False
2016-02-28,11,False
2016-03-06,6,False
2016-03-13,8,False
2016-03-20,8,False
2016-03-27,8,False
2016-04-03,8,False
2016-04-10,10,False
2016-04-17,8,False
2016-04-24,6,False
2016-05-01,12,False
2016-05-08,11,False
2016-05-15,9,False
2016-05-22,6,False
2016-05-29,10,False
2016-06-05,13,False
2016-06-12,6,False
2016-06-19,17,False
2016-06-26,11,False
2016-07-03,9,False
2016-07-10,8,False
2016-07-17,9,False
2016-07-24,7,False
2016-07-31,9,False
2016-08-07,7,False
2016-08-14,10,False
2016-08-21,6,False
2016-08-28,12,False
2016-09-04,6,False
2016-09-11,13,False
2016-09-18,6,False
2016-09-25,11,False
2016-10-02,12,False
2016-10-09,7,False
2016-10-16,13,False
2016-10-23,7,False
2016-10-30,6,False
2016-11-06,6,False
2016-11-13,11,False
2016-11-20,11,False
2016-11-27,6,False
2016-12-04,10,False
2016-12-11,12,False
2016-12-18,12,False
2016-12-25,16,False
2017-01-01,6,False
2017-01-08,7,False
2017-01-15,12,False
2017-01-22,11,False
2017-01-29,6,False
2017-02-05,10,False
2017-02-12,8,False
2017-02-19,6,False
2017-02-26,15,False
2017-03-05,9,False
2017-03-12,11,False
2017-03-19,23,False
2017-03-26,41,False
2017-04-02,100,False
2017-04-09,54,False
2017-04-16,38,False
2017-04-23,22,False
2017-04-30,24,False
2017-05-07,20,False
2017-05-14,21,False
2017-05-21,12,False
2017-05-28,6,False
2017-06-04,26,False
2017-06-11,18,False
2017-06-18,9,False
2017-06-25,19,False
2017-07-02,10,False
2017-07-09,17,False
2017-07-16,23,False
2017-07-23,19,False
2017-07-30,18,False
2017-08-06,16,False
2017-08-13,11,False
2017-08-20,7,False
2017-08-27,21,False
2017-09-03,12,False
2017-09-10,14,False
2017-09-17,15,False
2017-09-24,7,False
2017-10-01,11,False
2017-10-08,9,False
2017-10-15,11,False
2017-10-22,17,False
2017-10-29,22,False
2017-11-05,7,False
2017-11-12,9,False
2017-11-19,8,False
2017-11-26,11,False
2017-12-03,23,False
2017-12-10,18,False
2017-12-17,11,False
2017-12-24,21,False
2017-12-31,22,True
