date,EURCZK,isPartial
2013-01-06,13,False
2013-01-13,7,False
2013-01-20,8,False
2013-01-27,8,False
2013-02-03,7,False
2013-02-10,7,False
2013-02-17,7,False
2013-02-24,7,False
2013-03-03,22,False
2013-03-10,7,False
2013-03-17,9,False
2013-03-24,7,False
2013-03-31,7,False
2013-04-07,7,False
2013-04-14,11,False
2013-04-21,12,False
2013-04-28,0,False
2013-05-05,12,False
2013-05-12,14,False
2013-05-19,16,False
2013-05-26,11,False
2013-06-02,7,False
2013-06-09,15,False
2013-06-16,7,False
2013-06-23,7,False
2013-06-30,0,False
2013-07-07,7,False
2013-07-14,11,False
2013-07-21,7,False
2013-07-28,12,False
2013-08-04,16,False
2013-08-11,16,False
2013-08-18,14,False
2013-08-25,10,False
2013-09-01,7,False
2013-09-08,14,False
2013-09-15,15,False
2013-09-22,14,False
2013-09-29,12,False
2013-10-06,11,False
2013-10-13,11,False
2013-10-20,15,False
2013-10-27,9,False
2013-11-03,13,False
2013-11-10,19,False
2013-11-17,24,False
2013-11-24,14,False
2013-12-01,9,False
2013-12-08,16,False
2013-12-15,11,False
2013-12-22,0,False
2013-12-29,17,False
2014-01-05,13,False
2014-01-12,10,False
2014-01-19,16,False
2014-01-26,6,False
2014-02-02,16,False
2014-02-09,22,False
2014-02-16,8,False
2014-02-23,9,False
2014-03-02,12,False
2014-03-09,15,False
2014-03-16,13,False
2014-03-23,7,False
2014-03-30,7,False
2014-04-06,10,False
2014-04-13,26,False
2014-04-20,14,False
2014-04-27,11,False
2014-05-04,7,False
2014-05-11,7,False
2014-05-18,12,False
2014-05-25,7,False
2014-06-01,9,False
2014-06-08,10,False
2014-06-15,10,False
2014-06-22,9,False
2014-06-29,7,False
2014-07-06,14,False
2014-07-13,7,False
2014-07-20,7,False
2014-07-27,10,False
2014-08-03,22,False
2014-08-10,7,False
2014-08-17,16,False
2014-08-24,13,False
2014-08-31,11,False
2014-09-07,0,False
2014-09-14,10,False
2014-09-21,9,False
2014-09-28,12,False
2014-10-05,7,False
2014-10-12,11,False
2014-10-19,11,False
2014-10-26,14,False
2014-11-02,10,False
2014-11-09,11,False
2014-11-16,13,False
2014-11-23,9,False
2014-11-30,11,False
2014-12-07,7,False
2014-12-14,6,False
2014-12-21,8,False
2014-12-28,9,False
2015-01-04,14,False
2015-01-11,27,False
2015-01-18,14,False
2015-01-25,11,False
2015-02-01,11,False
2015-02-08,12,False
2015-02-15,21,False
2015-02-22,12,False
2015-03-01,12,False
2015-03-08,17,False
2015-03-15,12,False
2015-03-22,23,False
2015-03-29,15,False
2015-04-05,11,False
2015-04-12,9,False
2015-04-19,10,False
2015-04-26,9,False
2015-05-03,6,False
2015-05-10,10,False
2015-05-17,16,False
2015-05-24,11,False
2015-05-31,14,False
2015-06-07,6,False
2015-06-14,10,False
2015-06-21,16,False
2015-06-28,22,False
2015-07-05,16,False
2015-07-12,22,False
2015-07-19,16,False
2015-07-26,13,False
2015-08-02,16,False
2015-08-09,12,False
2015-08-16,14,False
2015-08-23,17,False
2015-08-30,10,False
2015-09-06,15,False
2015-09-13,9,False
2015-09-20,6,False
