date,GBPNZD,isPartial
2013-01-06,11,False
2013-01-13,21,False
2013-01-20,26,False
2013-01-27,19,False
2013-02-03,20,False
2013-02-10,10,False
2013-02-17,17,False
2013-02-24,23,False
2013-03-03,29,False
2013-03-10,20,False
2013-03-17,10,False
2013-03-24,0,False
2013-03-31,10,False
2013-04-07,20,False
2013-04-14,28,False
2013-04-21,13,False
2013-04-28,10,False
2013-05-05,29,False
2013-05-12,11,False
2013-05-19,52,False
2013-05-26,17,False
2013-06-02,18,False
2013-06-09,25,False
2013-06-16,28,False
2013-06-23,17,False
2013-06-30,15,False
2013-07-07,13,False
2013-07-14,21,False
2013-07-21,30,False
2013-07-28,29,False
2013-08-04,37,False
2013-08-11,19,False
2013-08-18,40,False
2013-08-25,22,False
2013-09-01,21,False
2013-09-08,21,False
2013-09-15,9,False
2013-09-22,21,False
2013-09-29,14,False
2013-10-06,11,False
2013-10-13,55,False
2013-10-20,32,False
2013-10-27,14,False
2013-11-03,26,False
2013-11-10,21,False
2013-11-17,48,False
2013-11-24,23,False
2013-12-01,16,False
2013-12-08,21,False
2013-12-15,24,False
2013-12-22,15,False
2013-12-29,22,False
2014-01-05,9,False
2014-01-12,25,False
2014-01-19,22,False
2014-01-26,31,False
2014-02-02,26,False
2014-02-09,17,False
2014-02-16,19,False
2014-02-23,31,False
2014-03-02,17,False
2014-03-09,19,False
2014-03-16,46,False
2014-03-23,16,False
2014-03-30,17,False
2014-04-06,13,False
2014-04-13,45,False
2014-04-20,22,False
2014-04-27,32,False
2014-05-04,13,False
2014-05-11,39,False
2014-05-18,18,False
2014-05-25,14,False
2014-06-01,33,False
2014-06-08,18,False
2014-06-15,24,False
2014-06-22,28,False
2014-06-29,18,False
2014-07-06,28,False
2014-07-13,14,False
2014-07-20,22,False
2014-07-27,36,False
2014-08-03,26,False
2014-08-10,18,False
2014-08-17,25,False
2014-08-24,38,False
2014-08-31,28,False
2014-09-07,50,False
2014-09-14,50,False
2014-09-21,46,False
2014-09-28,40,False
2014-10-05,27,False
2014-10-12,23,False
2014-10-19,29,False
2014-10-26,23,False
2014-11-02,40,False
2014-11-09,41,False
2014-11-16,32,False
