date,GBPNZD,isPartial
2013-01-06,12,False
2013-01-13,24,False
2013-01-20,30,False
2013-01-27,17,False
2013-02-03,24,False
2013-02-10,12,False
2013-02-17,17,False
2013-02-24,27,False
2013-03-03,33,False
2013-03-10,23,False
2013-03-17,45,False
2013-03-24,12,False
2013-03-31,12,False
2013-04-07,17,False
2013-04-14,33,False
2013-04-21,13,False
2013-04-28,12,False
2013-05-05,20,False
2013-05-12,13,False
2013-05-19,39,False
2013-05-26,15,False
2013-06-02,21,False
2013-06-09,25,False
2013-06-16,26,False
2013-06-23,15,False
2013-06-30,18,False
2013-07-07,27,False
2013-07-14,18,False
2013-07-21,27,False
2013-07-28,38,False
2013-08-04,39,False
2013-08-11,21,False
2013-08-18,35,False
2013-08-25,33,False
2013-09-01,20,False
2013-09-08,24,False
2013-09-15,16,False
2013-09-22,25,False
2013-09-29,18,False
2013-10-06,16,False
2013-10-13,56,False
2013-10-20,37,False
2013-10-27,11,False
2013-11-03,27,False
2013-11-10,18,False
2013-11-17,42,False
2013-11-24,11,False
2013-12-01,19,False
2013-12-08,18,False
2013-12-15,43,False
2013-12-22,21,False
2013-12-29,25,False
2014-01-05,10,False
2014-01-12,35,False
2014-01-19,37,False
2014-01-26,37,False
2014-02-02,30,False
2014-02-09,30,False
2014-02-16,18,False
2014-02-23,29,False
2014-03-02,0,False
2014-03-09,18,False
2014-03-16,34,False
2014-03-23,18,False
2014-03-30,10,False
2014-04-06,20,False
2014-04-13,21,False
2014-04-20,21,False
2014-04-27,33,False
2014-05-04,15,False
2014-05-11,33,False
2014-05-18,32,False
2014-05-25,22,False
2014-06-01,26,False
2014-06-08,25,False
2014-06-15,28,False
2014-06-22,15,False
2014-06-29,17,False
2014-07-06,25,False
2014-07-13,13,False
2014-07-20,25,False
2014-07-27,26,False
2014-08-03,43,False
2014-08-10,21,False
2014-08-17,32,False
2014-08-24,44,False
2014-08-31,11,False
2014-09-07,46,False
2014-09-14,57,False
2014-09-21,49,False
2014-09-28,43,False
2014-10-05,35,False
2014-10-12,27,False
2014-10-19,38,False
2014-10-26,38,False
2014-11-02,46,False
2014-11-09,36,False
2014-11-16,52,False
2014-11-23,33,False
2014-11-30,29,False
2014-12-07,33,False
2014-12-14,19,False
2014-12-21,12,False
2014-12-28,16,False
2015-01-04,14,False
2015-01-11,21,False
2015-01-18,22,False
2015-01-25,38,False
2015-02-01,27,False
2015-02-08,42,False
2015-02-15,28,False
2015-02-22,28,False
2015-03-01,24,False
2015-03-08,38,False
2015-03-15,45,False
2015-03-22,44,False
2015-03-29,22,False
2015-04-05,18,False
2015-04-12,21,False
2015-04-19,31,False
2015-04-26,24,False
2015-05-03,42,False
2015-05-10,52,False
2015-05-17,41,False
2015-05-24,56,False
2015-05-31,24,False
2015-06-07,63,False
2015-06-14,90,False
2015-06-21,49,False
2015-06-28,67,False
2015-07-05,38,False
2015-07-12,53,False
2015-07-19,60,False
2015-07-26,84,False
2015-08-02,77,False
2015-08-09,31,False
2015-08-16,48,False
2015-08-23,95,False
2015-08-30,50,False
2015-09-06,40,False
2015-09-13,52,False
2015-09-20,56,False
2015-09-27,33,False
2015-10-04,51,False
2015-10-11,45,False
2015-10-18,54,False
2015-10-25,32,False
2015-11-01,45,False
2015-11-08,32,False
2015-11-15,54,False
2015-11-22,54,False
2015-11-29,44,False
2015-12-06,38,False
2015-12-13,29,False
2015-12-20,36,False
2015-12-27,32,False
2016-01-03,44,False
2016-01-10,30,False
2016-01-17,37,False
2016-01-24,31,False
2016-01-31,30,False
2016-02-07,30,False
2016-02-14,46,False
2016-02-21,42,False
2016-02-28,42,False
2016-03-06,43,False
2016-03-13,53,False
2016-03-20,41,False
2016-03-27,54,False
2016-04-03,37,False
2016-04-10,40,False
2016-04-17,37,False
2016-04-24,36,False
2016-05-01,61,False
2016-05-08,37,False
2016-05-15,37,False
2016-05-22,47,False
2016-05-29,38,False
2016-06-05,37,False
2016-06-12,37,False
2016-06-19,61,False
2016-06-26,100,False
2016-07-03,72,False
2016-07-10,53,False
2016-07-17,54,False
2016-07-24,36,False
2016-07-31,43,False
2016-08-07,48,False
2016-08-14,34,False
