date,EURTRY,isPartial
2013-01-06,12,False
2013-01-13,26,False
2013-01-20,11,False
2013-01-27,26,False
2013-02-03,14,False
2013-02-10,11,False
2013-02-17,11,False
2013-02-24,8,False
2013-03-03,19,False
2013-03-10,15,False
2013-03-17,16,False
2013-03-24,26,False
2013-03-31,25,False
2013-04-07,11,False
2013-04-14,11,False
2013-04-21,15,False
2013-04-28,11,False
2013-05-05,14,False
2013-05-12,17,False
2013-05-19,19,False
2013-05-26,14,False
2013-06-02,19,False
2013-06-09,19,False
2013-06-16,16,False
2013-06-23,25,False
2013-06-30,8,False
2013-07-07,14,False
2013-07-14,0,False
2013-07-21,22,False
2013-07-28,39,False
2013-08-04,22,False
2013-08-11,14,False
2013-08-18,27,False
2013-08-25,53,False
2013-09-01,19,False
2013-09-08,28,False
2013-09-15,33,False
2013-09-22,18,False
2013-09-29,28,False
2013-10-06,26,False
2013-10-13,21,False
2013-10-20,25,False
2013-10-27,31,False
2013-11-03,43,False
2013-11-10,28,False
2013-11-17,30,False
2013-11-24,25,False
2013-12-01,25,False
2013-12-08,35,False
2013-12-15,23,False
2013-12-22,29,False
2013-12-29,22,False
2014-01-05,19,False
2014-01-12,36,False
2014-01-19,66,False
2014-01-26,100,False
2014-02-02,44,False
2014-02-09,35,False
2014-02-16,26,False
2014-02-23,40,False
2014-03-02,24,False
2014-03-09,28,False
2014-03-16,40,False
2014-03-23,35,False
2014-03-30,49,False
2014-04-06,40,False
2014-04-13,44,False
2014-04-20,12,False
2014-04-27,36,False
2014-05-04,31,False
2014-05-11,39,False
2014-05-18,25,False
2014-05-25,21,False
2014-06-01,34,False
2014-06-08,19,False
2014-06-15,33,False
2014-06-22,37,False
2014-06-29,13,False
2014-07-06,21,False
2014-07-13,40,False
2014-07-20,30,False
2014-07-27,27,False
2014-08-03,22,False
2014-08-10,27,False
2014-08-17,32,False
2014-08-24,18,False
2014-08-31,45,False
2014-09-07,20,False
2014-09-14,27,False
2014-09-21,25,False
2014-09-28,30,False
2014-10-05,20,False
2014-10-12,12,False
2014-10-19,10,False
2014-10-26,20,False
2014-11-02,24,False
2014-11-09,19,False
2014-11-16,29,False
2014-11-23,17,False
2014-11-30,26,False
2014-12-07,15,False
2014-12-14,42,False
2014-12-21,24,False
2014-12-28,21,False
2015-01-04,42,False
2015-01-11,35,False
2015-01-18,41,False
2015-01-25,47,False
2015-02-01,22,False
2015-02-08,11,False
2015-02-15,18,False
2015-02-22,22,False
2015-03-01,25,False
2015-03-08,52,False
2015-03-15,31,False
2015-03-22,29,False
2015-03-29,21,False
2015-04-05,9,False
2015-04-12,50,False
2015-04-19,20,False
2015-04-26,50,False
2015-05-03,43,False
2015-05-10,38,False
2015-05-17,45,False
2015-05-24,38,False
2015-05-31,50,False
2015-06-07,86,False
2015-06-14,49,False
2015-06-21,20,False
2015-06-28,34,False
2015-07-05,38,False
2015-07-12,44,False
2015-07-19,37,False
2015-07-26,38,False
2015-08-02,23,False
2015-08-09,45,False
2015-08-16,68,False
2015-08-23,81,False
2015-08-30,26,False
2015-09-06,32,False
2015-09-13,51,False
2015-09-20,32,False
2015-09-27,42,False
2015-10-04,56,False
2015-10-11,46,False
2015-10-18,48,False
2015-10-25,29,False
2015-11-01,44,False
2015-11-08,29,False
2015-11-15,43,False
2015-11-22,31,False
2015-11-29,50,False
2015-12-06,44,False
2015-12-13,34,False
2015-12-20,33,False
2015-12-27,26,False
2016-01-03,47,False
2016-01-10,39,False
2016-01-17,26,False
2016-01-24,33,False
2016-01-31,37,False
2016-02-07,39,False
2016-02-14,39,False
2016-02-21,75,False
2016-02-28,53,False
2016-03-06,58,False
2016-03-13,34,False
2016-03-20,31,False
2016-03-27,26,False
2016-04-03,21,False
2016-04-10,30,False
