date,GBPHUF,isPartial
2013-01-06,0,False
2013-01-13,21,False
2013-01-20,16,False
2013-01-27,21,False
2013-02-03,29,False
2013-02-10,32,False
2013-02-17,23,False
2013-02-24,27,False
2013-03-03,0,False
2013-03-10,23,False
2013-03-17,17,False
2013-03-24,16,False
2013-03-31,31,False
2013-04-07,17,False
2013-04-14,0,False
2013-04-21,34,False
2013-04-28,16,False
2013-05-05,27,False
2013-05-12,20,False
2013-05-19,31,False
2013-05-26,44,False
2013-06-02,39,False
2013-06-09,20,False
2013-06-16,31,False
2013-06-23,23,False
2013-06-30,16,False
2013-07-07,16,False
2013-07-14,21,False
2013-07-21,0,False
2013-07-28,18,False
2013-08-04,0,False
2013-08-11,0,False
2013-08-18,26,False
2013-08-25,27,False
2013-09-01,16,False
2013-09-08,58,False
2013-09-15,22,False
2013-09-22,30,False
2013-09-29,19,False
2013-10-06,16,False
2013-10-13,15,False
2013-10-20,19,False
2013-10-27,14,False
2013-11-03,38,False
2013-11-10,28,False
2013-11-17,14,False
2013-11-24,14,False
2013-12-01,35,False
2013-12-08,42,False
2013-12-15,33,False
2013-12-22,0,False
2013-12-29,41,False
2014-01-05,15,False
2014-01-12,23,False
2014-01-19,38,False
2014-01-26,34,False
2014-02-02,28,False
2014-02-09,22,False
2014-02-16,15,False
2014-02-23,15,False
2014-03-02,27,False
2014-03-09,24,False
2014-03-16,27,False
2014-03-23,33,False
2014-03-30,23,False
2014-04-06,15,False
2014-04-13,40,False
2014-04-20,15,False
2014-04-27,27,False
2014-05-04,15,False
2014-05-11,20,False
2014-05-18,16,False
2014-05-25,22,False
2014-06-01,22,False
2014-06-08,30,False
2014-06-15,20,False
2014-06-22,20,False
2014-06-29,28,False
2014-07-06,27,False
2014-07-13,15,False
2014-07-20,17,False
2014-07-27,22,False
2014-08-03,18,False
2014-08-10,26,False
2014-08-17,0,False
2014-08-24,39,False
2014-08-31,41,False
2014-09-07,31,False
2014-09-14,31,False
2014-09-21,28,False
2014-09-28,29,False
2014-10-05,21,False
2014-10-12,14,False
2014-10-19,0,False
2014-10-26,14,False
2014-11-02,27,False
2014-11-09,31,False
2014-11-16,14,False
2014-11-23,25,False
2014-11-30,15,False
2014-12-07,23,False
2014-12-14,30,False
2014-12-21,15,False
2014-12-28,45,False
2015-01-04,34,False
2015-01-11,37,False
2015-01-18,42,False
2015-01-25,17,False
2015-02-01,23,False
2015-02-08,28,False
2015-02-15,37,False
2015-02-22,29,False
2015-03-01,19,False
2015-03-08,18,False
2015-03-15,29,False
2015-03-22,23,False
2015-03-29,19,False
2015-04-05,28,False
2015-04-12,13,False
2015-04-19,22,False
2015-04-26,22,False
2015-05-03,37,False
2015-05-10,42,False
2015-05-17,14,False
2015-05-24,28,False
2015-05-31,23,False
2015-06-07,26,False
2015-06-14,44,False
2015-06-21,28,False
2015-06-28,66,False
2015-07-05,33,False
2015-07-12,45,False
2015-07-19,24,False
2015-07-26,19,False
2015-08-02,13,False
2015-08-09,19,False
2015-08-16,13,False
2015-08-23,45,False
2015-08-30,37,False
2015-09-06,13,False
2015-09-13,26,False
2015-09-20,18,False
2015-09-27,30,False
2015-10-04,18,False
2015-10-11,17,False
2015-10-18,0,False
2015-10-25,18,False
2015-11-01,34,False
2015-11-08,13,False
2015-11-15,16,False
2015-11-22,12,False
2015-11-29,25,False
2015-12-06,35,False
2015-12-13,18,False
2015-12-20,13,False
2015-12-27,29,False
2016-01-03,43,False
2016-01-10,18,False
2016-01-17,27,False
2016-01-24,28,False
2016-01-31,70,False
2016-02-07,41,False
2016-02-14,24,False
2016-02-21,24,False
2016-02-28,22,False
2016-03-06,37,False
2016-03-13,24,False
2016-03-20,63,False
2016-03-27,12,False
2016-04-03,28,False
2016-04-10,37,False
2016-04-17,42,False
2016-04-24,24,False
2016-05-01,18,False
2016-05-08,37,False
2016-05-15,44,False
2016-05-22,41,False
2016-05-29,66,False
2016-06-05,32,False
2016-06-12,27,False
2016-06-19,87,False
2016-06-26,88,False
2016-07-03,39,False
2016-07-10,43,False
2016-07-17,39,False
2016-07-24,24,False
2016-07-31,30,False
2016-08-07,20,False
2016-08-14,61,False
2016-08-21,34,False
2016-08-28,32,False
2016-09-04,19,False
2016-09-11,44,False
2016-09-18,22,False
2016-09-25,29,False
2016-10-02,50,False
2016-10-09,14,False
2016-10-16,18,False
2016-10-23,37,False
2016-10-30,63,False
2016-11-06,34,False
2016-11-13,42,False
2016-11-20,43,False
2016-11-27,14,False
2016-12-04,30,False
2016-12-11,24,False
2016-12-18,17,False
2016-12-25,19,False
2017-01-01,31,False
2017-01-08,23,False
2017-01-15,17,False
2017-01-22,21,False
2017-01-29,29,False
2017-02-05,26,False
2017-02-12,20,False
2017-02-19,13,False
2017-02-26,24,False
2017-03-05,44,False
2017-03-12,19,False
2017-03-19,20,False
2017-03-26,29,False
2017-04-02,25,False
2017-04-09,12,False
2017-04-16,29,False
2017-04-23,33,False
2017-04-30,25,False
2017-05-07,25,False
2017-05-14,31,False
2017-05-21,25,False
2017-05-28,13,False
2017-06-04,26,False
2017-06-11,18,False
2017-06-18,21,False
2017-06-25,12,False
2017-07-02,25,False
2017-07-09,16,False
2017-07-16,13,False
2017-07-23,18,False
2017-07-30,12,False
2017-08-06,24,False
2017-08-13,14,False
2017-08-20,39,False
2017-08-27,26,False
2017-09-03,41,False
2017-09-10,25,False
2017-09-17,33,False
2017-09-24,33,False
2017-10-01,17,False
2017-10-08,13,False
2017-10-15,13,False
2017-10-22,19,False
2017-10-29,25,False
2017-11-05,16,False
2017-11-12,19,False
2017-11-19,19,False
2017-11-26,36,False
2017-12-03,61,False
2017-12-10,41,False
2017-12-17,84,False
2017-12-24,81,False
2017-12-31,100,True
