date,BRLUSD,isPartial
2013-01-06,58,False
2013-01-13,0,False
2013-01-20,28,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,28,False
2013-02-17,28,False
2013-02-24,73,False
2013-03-03,31,False
2013-03-10,27,False
2013-03-17,0,False
2013-03-24,28,False
2013-03-31,0,False
2013-04-07,27,False
2013-04-14,36,False
2013-04-21,27,False
2013-04-28,0,False
2013-05-05,28,False
2013-05-12,27,False
2013-05-19,0,False
2013-05-26,46,False
2013-06-02,0,False
2013-06-09,27,False
2013-06-16,30,False
2013-06-23,47,False
2013-06-30,28,False
2013-07-07,47,False
2013-07-14,32,False
2013-07-21,28,False
2013-07-28,27,False
2013-08-04,28,False
2013-08-11,0,False
2013-08-18,0,False
2013-08-25,26,False
2013-09-01,71,False
2013-09-08,44,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,28,False
2013-10-13,26,False
2013-10-20,66,False
2013-10-27,25,False
2013-11-03,25,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,0,False
2013-12-01,24,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,28,False
2013-12-29,27,False
2014-01-05,28,False
2014-01-12,24,False
2014-01-19,94,False
2014-01-26,34,False
2014-02-02,70,False
2014-02-09,31,False
2014-02-16,47,False
2014-02-23,27,False
2014-03-02,27,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,40,False
2014-03-30,35,False
2014-04-06,54,False
2014-04-13,73,False
2014-04-20,24,False
2014-04-27,41,False
2014-05-04,24,False
2014-05-11,23,False
2014-05-18,43,False
2014-05-25,70,False
2014-06-01,29,False
2014-06-08,26,False
2014-06-15,58,False
2014-06-22,35,False
2014-06-29,27,False
2014-07-06,40,False
2014-07-13,27,False
2014-07-20,27,False
2014-07-27,54,False
2014-08-03,56,False
2014-08-10,27,False
2014-08-17,40,False
2014-08-24,34,False
2014-08-31,0,False
2014-09-07,29,False
2014-09-14,28,False
2014-09-21,54,False
2014-09-28,29,False
2014-10-05,36,False
2014-10-12,42,False
2014-10-19,28,False
2014-10-26,44,False
2014-11-02,32,False
2014-11-09,48,False
2014-11-16,35,False
2014-11-23,27,False
2014-11-30,35,False
2014-12-07,26,False
2014-12-14,53,False
2014-12-21,54,False
2014-12-28,0,False
2015-01-04,50,False
2015-01-11,46,False
2015-01-18,23,False
2015-01-25,32,False
2015-02-01,51,False
2015-02-08,67,False
2015-02-15,66,False
2015-02-22,63,False
2015-03-01,40,False
2015-03-08,45,False
2015-03-15,33,False
