date,BRLUSD,isPartial
2015-03-22,48,False
2015-03-29,66,False
2015-04-05,23,False
2015-04-12,24,False
2015-04-19,56,False
2015-04-26,49,False
2015-05-03,45,False
2015-05-10,64,False
2015-05-17,0,False
2015-05-24,39,False
2015-05-31,49,False
2015-06-07,33,False
2015-06-14,0,False
2015-06-21,22,False
2015-06-28,25,False
2015-07-05,52,False
2015-07-12,31,False
2015-07-19,52,False
2015-07-26,90,False
2015-08-02,45,False
2015-08-09,22,False
2015-08-16,38,False
2015-08-23,25,False
2015-08-30,65,False
2015-09-06,63,False
2015-09-13,38,False
2015-09-20,85,False
2015-09-27,31,False
2015-10-04,45,False
2015-10-11,42,False
2015-10-18,38,False
2015-10-25,21,False
2015-11-01,21,False
2015-11-08,59,False
2015-11-15,37,False
2015-11-22,35,False
2015-11-29,45,False
2015-12-06,24,False
2015-12-13,60,False
2015-12-20,27,False
2015-12-27,34,False
2016-01-03,56,False
2016-01-10,31,False
2016-01-17,32,False
2016-01-24,39,False
2016-01-31,65,False
2016-02-07,44,False
2016-02-14,54,False
2016-02-21,21,False
2016-02-28,31,False
2016-03-06,54,False
2016-03-13,73,False
2016-03-20,51,False
2016-03-27,58,False
2016-04-03,47,False
2016-04-10,31,False
2016-04-17,43,False
2016-04-24,0,False
2016-05-01,38,False
2016-05-08,47,False
2016-05-15,43,False
2016-05-22,55,False
2016-05-29,38,False
2016-06-05,50,False
2016-06-12,55,False
2016-06-19,56,False
2016-06-26,49,False
2016-07-03,24,False
2016-07-10,23,False
2016-07-17,34,False
2016-07-24,0,False
2016-07-31,42,False
2016-08-07,0,False
2016-08-14,33,False
2016-08-21,24,False
2016-08-28,45,False
2016-09-04,26,False
2016-09-11,25,False
2016-09-18,24,False
2016-09-25,24,False
2016-10-02,25,False
2016-10-09,44,False
2016-10-16,29,False
2016-10-23,22,False
2016-10-30,48,False
2016-11-06,53,False
2016-11-13,43,False
2016-11-20,22,False
2016-11-27,76,False
2016-12-04,22,False
2016-12-11,42,False
2016-12-18,25,False
2016-12-25,25,False
2017-01-01,43,False
2017-01-08,30,False
2017-01-15,27,False
2017-01-22,46,False
2017-01-29,36,False
2017-02-05,30,False
2017-02-12,29,False
2017-02-19,44,False
2017-02-26,20,False
2017-03-05,38,False
2017-03-12,26,False
2017-03-19,34,False
2017-03-26,57,False
2017-04-02,23,False
2017-04-09,24,False
2017-04-16,20,False
2017-04-23,43,False
2017-04-30,23,False
2017-05-07,0,False
2017-05-14,100,False
2017-05-21,47,False
2017-05-28,43,False
2017-06-04,42,False
2017-06-11,21,False
2017-06-18,42,False
2017-06-25,43,False
2017-07-02,0,False
2017-07-09,32,False
2017-07-16,25,False
2017-07-23,23,False
2017-07-30,28,False
2017-08-06,31,False
2017-08-13,28,False
2017-08-20,73,False
2017-08-27,36,False
2017-09-03,24,False
2017-09-10,23,False
2017-09-17,20,False
2017-09-24,29,False
2017-10-01,35,False
2017-10-08,35,False
2017-10-15,60,False
2017-10-22,51,False
2017-10-29,0,False
2017-11-05,29,False
2017-11-12,77,False
2017-11-19,0,False
2017-11-26,33,False
2017-12-03,50,False
2017-12-10,28,False
2017-12-17,35,False
2017-12-24,22,False
2017-12-31,0,True
