date,EURGBP,isPartial
2013-01-06,7,False
2013-01-13,8,False
2013-01-20,14,False
2013-01-27,10,False
2013-02-03,17,False
2013-02-10,8,False
2013-02-17,12,False
2013-02-24,15,False
2013-03-03,9,False
2013-03-10,13,False
2013-03-17,14,False
2013-03-24,15,False
2013-03-31,9,False
2013-04-07,6,False
2013-04-14,9,False
2013-04-21,9,False
2013-04-28,10,False
2013-05-05,10,False
2013-05-12,8,False
2013-05-19,9,False
2013-05-26,6,False
2013-06-02,11,False
2013-06-09,7,False
2013-06-16,8,False
2013-06-23,8,False
2013-06-30,7,False
2013-07-07,11,False
2013-07-14,10,False
2013-07-21,4,False
2013-07-28,9,False
2013-08-04,7,False
2013-08-11,7,False
2013-08-18,10,False
2013-08-25,7,False
2013-09-01,7,False
2013-09-08,12,False
2013-09-15,11,False
2013-09-22,10,False
2013-09-29,8,False
2013-10-06,9,False
2013-10-13,8,False
2013-10-20,7,False
2013-10-27,8,False
2013-11-03,10,False
2013-11-10,11,False
2013-11-17,10,False
2013-11-24,9,False
2013-12-01,10,False
2013-12-08,9,False
2013-12-15,10,False
2013-12-22,4,False
2013-12-29,9,False
2014-01-05,11,False
2014-01-12,13,False
2014-01-19,8,False
2014-01-26,12,False
2014-02-02,12,False
2014-02-09,10,False
2014-02-16,12,False
2014-02-23,10,False
2014-03-02,8,False
2014-03-09,12,False
2014-03-16,10,False
2014-03-23,9,False
2014-03-30,10,False
2014-04-06,10,False
2014-04-13,9,False
2014-04-20,7,False
2014-04-27,9,False
2014-05-04,7,False
2014-05-11,8,False
2014-05-18,10,False
2014-05-25,9,False
2014-06-01,10,False
2014-06-08,8,False
2014-06-15,10,False
2014-06-22,11,False
2014-06-29,9,False
2014-07-06,9,False
2014-07-13,12,False
2014-07-20,7,False
2014-07-27,9,False
2014-08-03,11,False
2014-08-10,10,False
2014-08-17,10,False
2014-08-24,11,False
2014-08-31,12,False
2014-09-07,13,False
2014-09-14,16,False
2014-09-21,14,False
2014-09-28,17,False
2014-10-05,9,False
2014-10-12,13,False
2014-10-19,10,False
2014-10-26,10,False
2014-11-02,13,False
2014-11-09,12,False
2014-11-16,14,False
2014-11-23,11,False
2014-11-30,8,False
2014-12-07,7,False
2014-12-14,8,False
2014-12-21,5,False
2014-12-28,11,False
2015-01-04,18,False
2015-01-11,17,False
2015-01-18,22,False
2015-01-25,22,False
2015-02-01,17,False
2015-02-08,16,False
2015-02-15,14,False
2015-02-22,15,False
2015-03-01,19,False
2015-03-08,24,False
2015-03-15,21,False
2015-03-22,14,False
2015-03-29,18,False
2015-04-05,12,False
2015-04-12,16,False
2015-04-19,13,False
2015-04-26,12,False
2015-05-03,19,False
2015-05-10,16,False
2015-05-17,15,False
2015-05-24,14,False
2015-05-31,12,False
2015-06-07,13,False
2015-06-14,13,False
2015-06-21,17,False
2015-06-28,25,False
2015-07-05,19,False
2015-07-12,21,False
2015-07-19,18,False
2015-07-26,14,False
2015-08-02,19,False
2015-08-09,14,False
2015-08-16,15,False
2015-08-23,18,False
2015-08-30,17,False
2015-09-06,12,False
2015-09-13,10,False
2015-09-20,11,False
2015-09-27,15,False
2015-10-04,13,False
2015-10-11,14,False
2015-10-18,14,False
2015-10-25,9,False
2015-11-01,16,False
2015-11-08,15,False
2015-11-15,17,False
2015-11-22,12,False
2015-11-29,16,False
2015-12-06,11,False
2015-12-13,11,False
2015-12-20,12,False
2015-12-27,12,False
2016-01-03,17,False
2016-01-10,18,False
2016-01-17,20,False
2016-01-24,17,False
2016-01-31,19,False
2016-02-07,18,False
2016-02-14,18,False
2016-02-21,22,False
2016-02-28,18,False
2016-03-06,20,False
2016-03-13,14,False
2016-03-20,17,False
2016-03-27,14,False
2016-04-03,17,False
2016-04-10,17,False
2016-04-17,15,False
2016-04-24,14,False
2016-05-01,15,False
2016-05-08,10,False
2016-05-15,18,False
