date,USDDKK,isPartial
2013-01-06,29,False
2013-01-13,17,False
2013-01-20,33,False
2013-01-27,24,False
2013-02-03,28,False
2013-02-10,17,False
2013-02-17,33,False
2013-02-24,47,False
2013-03-03,24,False
2013-03-10,23,False
2013-03-17,0,False
2013-03-24,16,False
2013-03-31,33,False
2013-04-07,24,False
2013-04-14,32,False
2013-04-21,16,False
2013-04-28,33,False
2013-05-05,0,False
2013-05-12,16,False
2013-05-19,23,False
2013-05-26,23,False
2013-06-02,32,False
2013-06-09,32,False
2013-06-16,35,False
2013-06-23,33,False
2013-06-30,18,False
2013-07-07,50,False
2013-07-14,22,False
2013-07-21,18,False
2013-07-28,19,False
2013-08-04,17,False
2013-08-11,33,False
2013-08-18,30,False
2013-08-25,31,False
2013-09-01,23,False
2013-09-08,17,False
2013-09-15,28,False
2013-09-22,20,False
2013-09-29,15,False
2013-10-06,46,False
2013-10-13,23,False
2013-10-20,27,False
2013-10-27,24,False
2013-11-03,20,False
2013-11-10,15,False
2013-11-17,32,False
2013-11-24,22,False
2013-12-01,22,False
2013-12-08,15,False
2013-12-15,35,False
2013-12-22,0,False
2013-12-29,21,False
2014-01-05,29,False
2014-01-12,26,False
2014-01-19,19,False
2014-01-26,26,False
2014-02-02,44,False
2014-02-09,24,False
2014-02-16,19,False
2014-02-23,20,False
2014-03-02,38,False
2014-03-09,37,False
2014-03-16,0,False
2014-03-23,16,False
2014-03-30,21,False
2014-04-06,35,False
2014-04-13,17,False
2014-04-20,29,False
2014-04-27,26,False
2014-05-04,21,False
2014-05-11,16,False
2014-05-18,29,False
2014-05-25,16,False
2014-06-01,27,False
2014-06-08,23,False
2014-06-15,29,False
2014-06-22,17,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,16,False
2014-07-20,16,False
2014-07-27,21,False
2014-08-03,17,False
2014-08-10,0,False
2014-08-17,17,False
2014-08-24,15,False
2014-08-31,15,False
2014-09-07,27,False
2014-09-14,15,False
2014-09-21,15,False
2014-09-28,38,False
2014-10-05,25,False
2014-10-12,17,False
2014-10-19,19,False
2014-10-26,29,False
2014-11-02,19,False
2014-11-09,15,False
2014-11-16,19,False
2014-11-23,16,False
2014-11-30,14,False
2014-12-07,36,False
2014-12-14,51,False
2014-12-21,36,False
2014-12-28,18,False
2015-01-04,23,False
2015-01-11,25,False
2015-01-18,54,False
2015-01-25,32,False
2015-02-01,24,False
2015-02-08,25,False
2015-02-15,30,False
2015-02-22,28,False
2015-03-01,26,False
2015-03-08,46,False
2015-03-15,39,False
2015-03-22,21,False
2015-03-29,29,False
2015-04-05,14,False
2015-04-12,34,False
2015-04-19,18,False
2015-04-26,20,False
2015-05-03,20,False
2015-05-10,32,False
2015-05-17,28,False
2015-05-24,27,False
2015-05-31,29,False
2015-06-07,15,False
2015-06-14,27,False
2015-06-21,38,False
2015-06-28,22,False
2015-07-05,32,False
2015-07-12,18,False
2015-07-19,25,False
2015-07-26,13,False
2015-08-02,27,False
