date,EURDKK,isPartial
2013-01-06,21,False
2013-01-13,27,False
2013-01-20,25,False
2013-01-27,28,False
2013-02-03,0,False
2013-02-10,56,False
2013-02-17,37,False
2013-02-24,18,False
2013-03-03,18,False
2013-03-10,20,False
2013-03-17,19,False
2013-03-24,0,False
2013-03-31,18,False
2013-04-07,18,False
2013-04-14,0,False
2013-04-21,33,False
2013-04-28,20,False
2013-05-05,31,False
2013-05-12,26,False
2013-05-19,20,False
2013-05-26,24,False
2013-06-02,18,False
2013-06-09,27,False
2013-06-16,18,False
2013-06-23,0,False
2013-06-30,19,False
2013-07-07,19,False
2013-07-14,19,False
2013-07-21,54,False
2013-07-28,18,False
2013-08-04,25,False
2013-08-11,19,False
2013-08-18,36,False
2013-08-25,17,False
2013-09-01,35,False
2013-09-08,29,False
2013-09-15,17,False
2013-09-22,29,False
2013-09-29,17,False
2013-10-06,20,False
2013-10-13,19,False
2013-10-20,50,False
2013-10-27,0,False
2013-11-03,0,False
2013-11-10,17,False
2013-11-17,28,False
2013-11-24,0,False
2013-12-01,16,False
2013-12-08,17,False
2013-12-15,29,False
2013-12-22,28,False
2013-12-29,18,False
2014-01-05,16,False
2014-01-12,16,False
2014-01-19,21,False
2014-01-26,0,False
2014-02-02,16,False
2014-02-09,15,False
2014-02-16,16,False
2014-02-23,0,False
2014-03-02,16,False
2014-03-09,16,False
2014-03-16,28,False
2014-03-23,18,False
2014-03-30,18,False
2014-04-06,34,False
2014-04-13,0,False
2014-04-20,46,False
2014-04-27,16,False
2014-05-04,27,False
2014-05-11,16,False
2014-05-18,33,False
2014-05-25,17,False
2014-06-01,17,False
2014-06-08,23,False
2014-06-15,32,False
2014-06-22,26,False
2014-06-29,18,False
2014-07-06,18,False
2014-07-13,20,False
2014-07-20,24,False
2014-07-27,30,False
2014-08-03,0,False
2014-08-10,20,False
2014-08-17,25,False
2014-08-24,17,False
2014-08-31,29,False
2014-09-07,17,False
2014-09-14,17,False
2014-09-21,18,False
2014-09-28,18,False
2014-10-05,25,False
2014-10-12,22,False
2014-10-19,49,False
2014-10-26,16,False
2014-11-02,18,False
2014-11-09,24,False
2014-11-16,0,False
2014-11-23,21,False
2014-11-30,31,False
2014-12-07,18,False
2014-12-14,24,False
2014-12-21,18,False
2014-12-28,0,False
2015-01-04,15,False
2015-01-11,28,False
2015-01-18,100,False
2015-01-25,32,False
2015-02-01,99,False
2015-02-08,44,False
2015-02-15,57,False
2015-02-22,43,False
2015-03-01,28,False
2015-03-08,35,False
2015-03-15,47,False
2015-03-22,16,False
2015-03-29,39,False
2015-04-05,15,False
2015-04-12,15,False
2015-04-19,22,False
2015-04-26,16,False
2015-05-03,36,False
2015-05-10,25,False
2015-05-17,15,False
2015-05-24,22,False
2015-05-31,34,False
2015-06-07,34,False
2015-06-14,30,False
2015-06-21,22,False
2015-06-28,15,False
2015-07-05,15,False
2015-07-12,22,False
2015-07-19,31,False
2015-07-26,22,False
2015-08-02,22,False
2015-08-09,22,False
2015-08-16,15,False
2015-08-23,44,False
2015-08-30,33,False
2015-09-06,16,False
2015-09-13,14,False
2015-09-20,21,False
2015-09-27,14,False
2015-10-04,18,False
2015-10-11,32,False
2015-10-18,14,False
2015-10-25,24,False
2015-11-01,26,False
2015-11-08,18,False
2015-11-15,0,False
2015-11-22,32,False
2015-11-29,14,False
2015-12-06,28,False
2015-12-13,22,False
2015-12-20,0,False
2015-12-27,18,False
2016-01-03,15,False
2016-01-10,28,False
2016-01-17,14,False
2016-01-24,21,False
2016-01-31,19,False
2016-02-07,14,False
2016-02-14,28,False
2016-02-21,14,False
2016-02-28,24,False
2016-03-06,14,False
