date,EURAUD,isPartial
2013-01-06,48,False
2013-01-13,30,False
2013-01-20,22,False
2013-01-27,49,False
2013-02-03,43,False
2013-02-10,30,False
2013-02-17,43,False
2013-02-24,24,False
2013-03-03,61,False
2013-03-10,31,False
2013-03-17,32,False
2013-03-24,52,False
2013-03-31,48,False
2013-04-07,40,False
2013-04-14,37,False
2013-04-21,29,False
2013-04-28,30,False
2013-05-05,51,False
2013-05-12,52,False
2013-05-19,42,False
2013-05-26,58,False
2013-06-02,65,False
2013-06-09,94,False
2013-06-16,77,False
2013-06-23,83,False
2013-06-30,71,False
2013-07-07,87,False
2013-07-14,57,False
2013-07-21,57,False
2013-07-28,59,False
2013-08-04,60,False
2013-08-11,44,False
2013-08-18,40,False
2013-08-25,54,False
2013-09-01,54,False
2013-09-08,40,False
2013-09-15,40,False
2013-09-22,35,False
2013-09-29,27,False
2013-10-06,50,False
2013-10-13,38,False
2013-10-20,49,False
2013-10-27,40,False
2013-11-03,51,False
2013-11-10,29,False
2013-11-17,46,False
2013-11-24,64,False
2013-12-01,43,False
2013-12-08,53,False
2013-12-15,37,False
2013-12-22,44,False
2013-12-29,33,False
2014-01-05,47,False
2014-01-12,51,False
2014-01-19,62,False
2014-01-26,51,False
2014-02-02,41,False
2014-02-09,73,False
2014-02-16,56,False
2014-02-23,25,False
2014-03-02,41,False
2014-03-09,46,False
2014-03-16,58,False
2014-03-23,61,False
2014-03-30,55,False
2014-04-06,49,False
2014-04-13,48,False
2014-04-20,40,False
2014-04-27,30,False
2014-05-04,53,False
2014-05-11,34,False
2014-05-18,56,False
2014-05-25,20,False
2014-06-01,51,False
2014-06-08,39,False
2014-06-15,54,False
2014-06-22,42,False
2014-06-29,53,False
2014-07-06,29,False
2014-07-13,34,False
2014-07-20,42,False
2014-07-27,47,False
2014-08-03,36,False
2014-08-10,32,False
2014-08-17,28,False
2014-08-24,35,False
2014-08-31,39,False
2014-09-07,63,False
2014-09-14,58,False
2014-09-21,48,False
2014-09-28,51,False
2014-10-05,46,False
2014-10-12,31,False
2014-10-19,26,False
2014-10-26,40,False
2014-11-02,42,False
2014-11-09,37,False
2014-11-16,31,False
2014-11-23,35,False
2014-11-30,44,False
2014-12-07,42,False
2014-12-14,67,False
2014-12-21,50,False
2014-12-28,51,False
2015-01-04,63,False
2015-01-11,69,False
2015-01-18,40,False
2015-01-25,70,False
2015-02-01,70,False
2015-02-08,64,False
2015-02-15,38,False
2015-02-22,46,False
2015-03-01,31,False
2015-03-08,70,False
2015-03-15,63,False
2015-03-22,64,False
2015-03-29,57,False
2015-04-05,56,False
2015-04-12,77,False
2015-04-19,28,False
2015-04-26,60,False
2015-05-03,44,False
2015-05-10,44,False
2015-05-17,41,False
2015-05-24,33,False
2015-05-31,21,False
2015-06-07,35,False
2015-06-14,33,False
2015-06-21,48,False
2015-06-28,40,False
2015-07-05,59,False
2015-07-12,51,False
2015-07-19,54,False
2015-07-26,60,False
2015-08-02,40,False
2015-08-09,39,False
2015-08-16,65,False
2015-08-23,75,False
2015-08-30,70,False
2015-09-06,67,False
2015-09-13,70,False
2015-09-20,50,False
2015-09-27,43,False
2015-10-04,51,False
2015-10-11,43,False
2015-10-18,59,False
2015-10-25,45,False
2015-11-01,49,False
2015-11-08,51,False
2015-11-15,58,False
2015-11-22,61,False
2015-11-29,82,False
2015-12-06,69,False
2015-12-13,66,False
2015-12-20,44,False
2015-12-27,43,False
2016-01-03,52,False
2016-01-10,48,False
2016-01-17,40,False
2016-01-24,55,False
2016-01-31,55,False
2016-02-07,70,False
2016-02-14,69,False
2016-02-21,52,False
2016-02-28,62,False
2016-03-06,92,False
2016-03-13,67,False
2016-03-20,50,False
2016-03-27,62,False
2016-04-03,29,False
2016-04-10,63,False
2016-04-17,46,False
2016-04-24,48,False
2016-05-01,58,False
2016-05-08,68,False
2016-05-15,74,False
2016-05-22,58,False
2016-05-29,46,False
2016-06-05,60,False
2016-06-12,45,False
2016-06-19,74,False
2016-06-26,70,False
2016-07-03,69,False
2016-07-10,85,False
2016-07-17,64,False
2016-07-24,38,False
2016-07-31,55,False
2016-08-07,80,False
2016-08-14,53,False
2016-08-21,55,False
2016-08-28,75,False
2016-09-04,46,False
2016-09-11,75,False
2016-09-18,41,False
2016-09-25,47,False
2016-10-02,36,False
2016-10-09,41,False
2016-10-16,77,False
2016-10-23,64,False
2016-10-30,47,False
2016-11-06,54,False
2016-11-13,40,False
2016-11-20,46,False
2016-11-27,69,False
2016-12-04,34,False
2016-12-11,43,False
2016-12-18,31,False
2016-12-25,51,False
2017-01-01,38,False
2017-01-08,56,False
2017-01-15,69,False
2017-01-22,57,False
2017-01-29,37,False
2017-02-05,82,False
2017-02-12,60,False
2017-02-19,90,False
2017-02-26,56,False
2017-03-05,79,False
2017-03-12,72,False
2017-03-19,79,False
2017-03-26,68,False
2017-04-02,61,False
2017-04-09,40,False
2017-04-16,63,False
2017-04-23,70,False
2017-04-30,57,False
2017-05-07,54,False
2017-05-14,56,False
2017-05-21,44,False
2017-05-28,74,False
2017-06-04,57,False
2017-06-11,44,False
2017-06-18,47,False
2017-06-25,66,False
2017-07-02,69,False
2017-07-09,53,False
2017-07-16,60,False
2017-07-23,58,False
2017-07-30,71,False
2017-08-06,65,False
2017-08-13,78,False
2017-08-20,67,False
2017-08-27,75,False
2017-09-03,40,False
2017-09-10,48,False
2017-09-17,66,False
2017-09-24,65,False
2017-10-01,43,False
2017-10-08,43,False
2017-10-15,45,False
2017-10-22,47,False
2017-10-29,37,False
2017-11-05,40,False
2017-11-12,93,False
2017-11-19,76,False
2017-11-26,55,False
2017-12-03,100,False
2017-12-10,81,False
2017-12-17,80,False
2017-12-24,66,False
2017-12-31,46,True
