date,USDCNH,isPartial
2013-01-06,10,False
2013-01-13,6,False
2013-01-20,10,False
2013-01-27,13,False
2013-02-03,6,False
2013-02-10,11,False
2013-02-17,4,False
2013-02-24,7,False
2013-03-03,12,False
2013-03-10,7,False
2013-03-17,12,False
2013-03-24,6,False
2013-03-31,6,False
2013-04-07,11,False
2013-04-14,8,False
2013-04-21,6,False
2013-04-28,5,False
2013-05-05,13,False
2013-05-12,4,False
2013-05-19,13,False
2013-05-26,6,False
2013-06-02,10,False
2013-06-09,6,False
2013-06-16,4,False
2013-06-23,4,False
2013-06-30,9,False
2013-07-07,6,False
2013-07-14,7,False
2013-07-21,4,False
2013-07-28,4,False
2013-08-04,7,False
2013-08-11,5,False
2013-08-18,4,False
2013-08-25,4,False
2013-09-01,0,False
2013-09-08,4,False
2013-09-15,0,False
2013-09-22,7,False
2013-09-29,4,False
2013-10-06,4,False
2013-10-13,5,False
2013-10-20,5,False
2013-10-27,4,False
2013-11-03,5,False
2013-11-10,6,False
2013-11-17,7,False
2013-11-24,5,False
2013-12-01,4,False
2013-12-08,9,False
2013-12-15,9,False
2013-12-22,5,False
2013-12-29,4,False
2014-01-05,7,False
2014-01-12,5,False
2014-01-19,13,False
2014-01-26,12,False
2014-02-02,8,False
2014-02-09,10,False
2014-02-16,14,False
2014-02-23,38,False
2014-03-02,21,False
2014-03-09,22,False
2014-03-16,19,False
2014-03-23,24,False
2014-03-30,19,False
2014-04-06,11,False
2014-04-13,14,False
2014-04-20,15,False
2014-04-27,9,False
2014-05-04,17,False
2014-05-11,9,False
2014-05-18,7,False
2014-05-25,15,False
2014-06-01,18,False
2014-06-08,15,False
2014-06-15,5,False
2014-06-22,12,False
2014-06-29,7,False
2014-07-06,9,False
2014-07-13,10,False
2014-07-20,13,False
2014-07-27,11,False
2014-08-03,14,False
2014-08-10,12,False
2014-08-17,13,False
2014-08-24,7,False
2014-08-31,10,False
2014-09-07,8,False
2014-09-14,8,False
2014-09-21,6,False
2014-09-28,14,False
2014-10-05,13,False
2014-10-12,7,False
2014-10-19,6,False
2014-10-26,9,False
2014-11-02,9,False
2014-11-09,8,False
2014-11-16,16,False
2014-11-23,17,False
2014-11-30,12,False
2014-12-07,15,False
2014-12-14,9,False
2014-12-21,9,False
2014-12-28,9,False
2015-01-04,11,False
2015-01-11,12,False
2015-01-18,17,False
2015-01-25,15,False
2015-02-01,26,False
2015-02-08,6,False
2015-02-15,6,False
2015-02-22,10,False
2015-03-01,15,False
2015-03-08,14,False
2015-03-15,16,False
2015-03-22,18,False
2015-03-29,5,False
2015-04-05,11,False
2015-04-12,9,False
2015-04-19,8,False
2015-04-26,13,False
2015-05-03,5,False
2015-05-10,5,False
2015-05-17,6,False
2015-05-24,6,False
2015-05-31,7,False
2015-06-07,10,False
2015-06-14,12,False
2015-06-21,6,False
2015-06-28,8,False
2015-07-05,14,False
2015-07-12,10,False
2015-07-19,10,False
2015-07-26,10,False
2015-08-02,7,False
2015-08-09,92,False
2015-08-16,35,False
2015-08-23,60,False
2015-08-30,23,False
2015-09-06,49,False
2015-09-13,28,False
2015-09-20,30,False
2015-09-27,22,False
2015-10-04,14,False
2015-10-11,16,False
2015-10-18,16,False
2015-10-25,19,False
2015-11-01,18,False
2015-11-08,23,False
2015-11-15,18,False
2015-11-22,25,False
2015-11-29,19,False
2015-12-06,43,False
2015-12-13,54,False
2015-12-20,25,False
2015-12-27,39,False
2016-01-03,100,False
2016-01-10,93,False
2016-01-17,46,False
2016-01-24,35,False
2016-01-31,44,False
2016-02-07,24,False
2016-02-14,34,False
2016-02-21,25,False
2016-02-28,20,False
2016-03-06,14,False
2016-03-13,13,False
2016-03-20,9,False
2016-03-27,20,False
2016-04-03,9,False
2016-04-10,11,False
2016-04-17,11,False
2016-04-24,9,False
2016-05-01,16,False
2016-05-08,11,False
2016-05-15,17,False
2016-05-22,25,False
2016-05-29,15,False
2016-06-05,16,False
2016-06-12,12,False
2016-06-19,17,False
2016-06-26,37,False
2016-07-03,26,False
2016-07-10,13,False
2016-07-17,17,False
2016-07-24,10,False
2016-07-31,9,False
2016-08-07,9,False
2016-08-14,17,False
2016-08-21,16,False
2016-08-28,9,False
2016-09-04,14,False
2016-09-11,7,False
2016-09-18,9,False
2016-09-25,14,False
2016-10-02,16,False
2016-10-09,24,False
2016-10-16,26,False
2016-10-23,38,False
2016-10-30,21,False
2016-11-06,37,False
2016-11-13,46,False
2016-11-20,30,False
2016-11-27,19,False
2016-12-04,41,False
2016-12-11,23,False
2016-12-18,25,False
2016-12-25,26,False
2017-01-01,47,False
2017-01-08,34,False
2017-01-15,17,False
2017-01-22,14,False
2017-01-29,7,False
2017-02-05,16,False
2017-02-12,10,False
2017-02-19,15,False
2017-02-26,12,False
2017-03-05,11,False
2017-03-12,16,False
2017-03-19,13,False
2017-03-26,10,False
2017-04-02,9,False
2017-04-09,11,False
2017-04-16,6,False
2017-04-23,8,False
2017-04-30,5,False
2017-05-07,8,False
2017-05-14,9,False
2017-05-21,10,False
2017-05-28,19,False
2017-06-04,16,False
2017-06-11,6,False
2017-06-18,7,False
2017-06-25,14,False
2017-07-02,6,False
2017-07-09,6,False
2017-07-16,6,False
2017-07-23,5,False
2017-07-30,5,False
2017-08-06,19,False
2017-08-13,7,False
2017-08-20,12,False
2017-08-27,11,False
2017-09-03,9,False
2017-09-10,12,False
2017-09-17,11,False
2017-09-24,8,False
2017-10-01,8,False
2017-10-08,13,False
2017-10-15,6,False
2017-10-22,8,False
2017-10-29,5,False
2017-11-05,8,False
2017-11-12,10,False
2017-11-19,6,False
2017-11-26,4,False
2017-12-03,5,False
2017-12-10,5,False
2017-12-17,5,False
2017-12-24,9,False
2017-12-31,0,True
