date,PENZAR,isPartial
2013-01-06,22,False
2013-01-13,32,False
2013-01-20,21,False
2013-01-27,43,False
2013-02-03,37,False
2013-02-10,37,False
2013-02-17,65,False
2013-02-24,57,False
2013-03-03,46,False
2013-03-10,31,False
2013-03-17,41,False
2013-03-24,26,False
2013-03-31,33,False
2013-04-07,67,False
2013-04-14,46,False
2013-04-21,41,False
2013-04-28,21,False
2013-05-05,42,False
2013-05-12,46,False
2013-05-19,64,False
2013-05-26,87,False
2013-06-02,91,False
2013-06-09,35,False
2013-06-16,46,False
2013-06-23,77,False
2013-06-30,48,False
2013-07-07,42,False
2013-07-14,53,False
2013-07-21,58,False
2013-07-28,63,False
2013-08-04,69,False
2013-08-11,80,False
2013-08-18,41,False
2013-08-25,20,False
2013-09-01,40,False
2013-09-08,59,False
2013-09-15,59,False
2013-09-22,64,False
2013-09-29,44,False
2013-10-06,60,False
2013-10-13,39,False
2013-10-20,48,False
2013-10-27,38,False
2013-11-03,38,False
2013-11-10,52,False
2013-11-17,47,False
2013-11-24,67,False
2013-12-01,51,False
2013-12-08,39,False
2013-12-15,24,False
2013-12-22,32,False
2013-12-29,25,False
2014-01-05,22,False
2014-01-12,45,False
2014-01-19,27,False
2014-01-26,36,False
2014-02-02,56,False
2014-02-09,31,False
2014-02-16,45,False
2014-02-23,13,False
2014-03-02,58,False
2014-03-09,18,False
2014-03-16,49,False
2014-03-23,31,False
2014-03-30,53,False
2014-04-06,50,False
2014-04-13,28,False
2014-04-20,42,False
2014-04-27,32,False
2014-05-04,36,False
2014-05-11,40,False
2014-05-18,59,False
2014-05-25,55,False
2014-06-01,35,False
2014-06-08,35,False
2014-06-15,30,False
2014-06-22,40,False
2014-06-29,21,False
2014-07-06,50,False
2014-07-13,31,False
2014-07-20,46,False
2014-07-27,35,False
2014-08-03,53,False
2014-08-10,49,False
2014-08-17,41,False
2014-08-24,29,False
2014-08-31,53,False
2014-09-07,52,False
2014-09-14,28,False
2014-09-21,22,False
2014-09-28,57,False
2014-10-05,56,False
2014-10-12,44,False
2014-10-19,74,False
2014-10-26,51,False
2014-11-02,73,False
2014-11-09,45,False
2014-11-16,32,False
2014-11-23,54,False
2014-11-30,45,False
2014-12-07,64,False
2014-12-14,42,False
2014-12-21,24,False
2014-12-28,70,False
2015-01-04,44,False
2015-01-11,65,False
2015-01-18,30,False
2015-01-25,64,False
2015-02-01,47,False
2015-02-08,69,False
2015-02-15,57,False
2015-02-22,55,False
2015-03-01,76,False
2015-03-08,80,False
2015-03-15,34,False
2015-03-22,36,False
2015-03-29,66,False
2015-04-05,74,False
2015-04-12,38,False
2015-04-19,55,False
2015-04-26,43,False
2015-05-03,47,False
2015-05-10,30,False
2015-05-17,47,False
2015-05-24,100,False
2015-05-31,39,False
2015-06-07,51,False
2015-06-14,56,False
2015-06-21,60,False
2015-06-28,43,False
2015-07-05,68,False
2015-07-12,39,False
2015-07-19,48,False
2015-07-26,56,False
2015-08-02,81,False
2015-08-09,34,False
2015-08-16,68,False
2015-08-23,71,False
2015-08-30,58,False
2015-09-06,54,False
2015-09-13,61,False
2015-09-20,32,False
2015-09-27,84,False
2015-10-04,75,False
2015-10-11,44,False
2015-10-18,90,False
2015-10-25,71,False
2015-11-01,49,False
2015-11-08,59,False
2015-11-15,32,False
2015-11-22,47,False
2015-11-29,39,False
2015-12-06,51,False
2015-12-13,44,False
2015-12-20,42,False
2015-12-27,40,False
2016-01-03,29,False
2016-01-10,45,False
2016-01-17,45,False
2016-01-24,53,False
2016-01-31,41,False
2016-02-07,33,False
2016-02-14,45,False
2016-02-21,32,False
2016-02-28,40,False
2016-03-06,36,False
2016-03-13,56,False
2016-03-20,29,False
2016-03-27,45,False
2016-04-03,24,False
2016-04-10,33,False
2016-04-17,37,False
2016-04-24,28,False
2016-05-01,46,False
2016-05-08,26,False
2016-05-15,41,False
2016-05-22,42,False
2016-05-29,69,False
2016-06-05,63,False
2016-06-12,33,False
2016-06-19,76,False
2016-06-26,21,False
2016-07-03,44,False
2016-07-10,48,False
2016-07-17,40,False
2016-07-24,53,False
2016-07-31,14,False
2016-08-07,27,False
2016-08-14,42,False
2016-08-21,31,False
2016-08-28,20,False
2016-09-04,51,False
2016-09-11,43,False
2016-09-18,46,False
2016-09-25,26,False
2016-10-02,46,False
2016-10-09,47,False
2016-10-16,42,False
2016-10-23,75,False
2016-10-30,25,False
2016-11-06,48,False
2016-11-13,45,False
2016-11-20,33,False
2016-11-27,24,False
2016-12-04,27,False
2016-12-11,40,False
2016-12-18,34,False
2016-12-25,14,False
2017-01-01,16,False
2017-01-08,15,False
2017-01-15,31,False
2017-01-22,35,False
2017-01-29,27,False
2017-02-05,27,False
2017-02-12,26,False
2017-02-19,15,False
2017-02-26,19,False
