date,USDEUR,isPartial
2013-01-06,25,False
2013-01-13,21,False
2013-01-20,20,False
2013-01-27,22,False
2013-02-03,27,False
2013-02-10,20,False
2013-02-17,24,False
2013-02-24,25,False
2013-03-03,32,False
2013-03-10,22,False
2013-03-17,23,False
2013-03-24,37,False
2013-03-31,17,False
2013-04-07,30,False
2013-04-14,18,False
2013-04-21,28,False
2013-04-28,17,False
2013-05-05,31,False
2013-05-12,27,False
2013-05-19,22,False
2013-05-26,18,False
2013-06-02,20,False
2013-06-09,30,False
2013-06-16,22,False
2013-06-23,22,False
2013-06-30,17,False
2013-07-07,25,False
2013-07-14,16,False
2013-07-21,20,False
2013-07-28,24,False
2013-08-04,23,False
2013-08-11,31,False
2013-08-18,18,False
2013-08-25,22,False
2013-09-01,25,False
2013-09-08,14,False
2013-09-15,34,False
2013-09-22,14,False
2013-09-29,28,False
2013-10-06,25,False
2013-10-13,26,False
2013-10-20,15,False
2013-10-27,31,False
2013-11-03,43,False
2013-11-10,28,False
2013-11-17,18,False
2013-11-24,23,False
2013-12-01,27,False
2013-12-08,18,False
2013-12-15,14,False
2013-12-22,23,False
2013-12-29,12,False
2014-01-05,23,False
2014-01-12,18,False
2014-01-19,24,False
2014-01-26,17,False
2014-02-02,16,False
2014-02-09,16,False
2014-02-16,19,False
2014-02-23,24,False
2014-03-02,29,False
2014-03-09,23,False
2014-03-16,23,False
2014-03-23,26,False
2014-03-30,34,False
2014-04-06,13,False
2014-04-13,11,False
2014-04-20,19,False
2014-04-27,27,False
2014-05-04,31,False
2014-05-11,29,False
2014-05-18,14,False
2014-05-25,20,False
2014-06-01,23,False
2014-06-08,19,False
2014-06-15,26,False
2014-06-22,15,False
2014-06-29,26,False
2014-07-06,27,False
2014-07-13,29,False
2014-07-20,18,False
2014-07-27,18,False
2014-08-03,14,False
2014-08-10,28,False
2014-08-17,19,False
2014-08-24,26,False
2014-08-31,32,False
2014-09-07,36,False
2014-09-14,33,False
2014-09-21,34,False
2014-09-28,41,False
2014-10-05,42,False
2014-10-12,34,False
2014-10-19,32,False
2014-10-26,15,False
2014-11-02,39,False
2014-11-09,30,False
2014-11-16,29,False
2014-11-23,24,False
2014-11-30,19,False
2014-12-07,39,False
2014-12-14,25,False
2014-12-21,22,False
2014-12-28,33,False
2015-01-04,57,False
2015-01-11,73,False
2015-01-18,90,False
2015-01-25,64,False
2015-02-01,55,False
2015-02-08,46,False
2015-02-15,33,False
2015-02-22,40,False
2015-03-01,45,False
2015-03-08,95,False
2015-03-15,75,False
2015-03-22,57,False
2015-03-29,47,False
2015-04-05,34,False
2015-04-12,53,False
2015-04-19,33,False
2015-04-26,51,False
2015-05-03,27,False
2015-05-10,32,False
2015-05-17,37,False
2015-05-24,32,False
2015-05-31,61,False
2015-06-07,32,False
2015-06-14,51,False
2015-06-21,35,False
2015-06-28,79,False
2015-07-05,84,False
2015-07-12,50,False
2015-07-19,29,False
2015-07-26,30,False
2015-08-02,26,False
2015-08-09,35,False
2015-08-16,45,False
2015-08-23,53,False
2015-08-30,33,False
2015-09-06,30,False
2015-09-13,37,False
2015-09-20,27,False
2015-09-27,31,False
2015-10-04,31,False
2015-10-11,33,False
2015-10-18,28,False
2015-10-25,28,False
2015-11-01,27,False
2015-11-08,35,False
2015-11-15,27,False
2015-11-22,34,False
2015-11-29,47,False
2015-12-06,43,False
2015-12-13,44,False
2015-12-20,25,False
2015-12-27,21,False
2016-01-03,31,False
2016-01-10,39,False
2016-01-17,33,False
2016-01-24,30,False
2016-01-31,33,False
2016-02-07,24,False
2016-02-14,29,False
2016-02-21,28,False
2016-02-28,26,False
2016-03-06,35,False
2016-03-13,30,False
2016-03-20,26,False
2016-03-27,17,False
2016-04-03,29,False
2016-04-10,34,False
2016-04-17,33,False
2016-04-24,17,False
2016-05-01,20,False
2016-05-08,22,False
2016-05-15,31,False
2016-05-22,30,False
2016-05-29,31,False
2016-06-05,26,False
2016-06-12,27,False
2016-06-19,78,False
2016-06-26,57,False
2016-07-03,42,False
2016-07-10,28,False
2016-07-17,25,False
2016-07-24,19,False
2016-07-31,31,False
2016-08-07,23,False
2016-08-14,17,False
2016-08-21,23,False
2016-08-28,23,False
2016-09-04,17,False
2016-09-11,21,False
2016-09-18,25,False
2016-09-25,18,False
2016-10-02,32,False
2016-10-09,21,False
2016-10-16,32,False
2016-10-23,27,False
2016-10-30,20,False
2016-11-06,85,False
2016-11-13,51,False
2016-11-20,44,False
2016-11-27,32,False
2016-12-04,45,False
2016-12-11,58,False
2016-12-18,39,False
2016-12-25,25,False
2017-01-01,31,False
2017-01-08,29,False
2017-01-15,34,False
2017-01-22,26,False
2017-01-29,36,False
2017-02-05,29,False
2017-02-12,21,False
2017-02-19,18,False
2017-02-26,23,False
2017-03-05,28,False
2017-03-12,32,False
2017-03-19,24,False
2017-03-26,33,False
2017-04-02,22,False
2017-04-09,25,False
2017-04-16,27,False
2017-04-23,39,False
2017-04-30,35,False
2017-05-07,25,False
2017-05-14,38,False
2017-05-21,33,False
2017-05-28,31,False
2017-06-04,35,False
2017-06-11,23,False
2017-06-18,24,False
2017-06-25,45,False
2017-07-02,32,False
2017-07-09,19,False
2017-07-16,26,False
2017-07-23,39,False
2017-07-30,32,False
2017-08-06,35,False
2017-08-13,32,False
2017-08-20,17,False
2017-08-27,38,False
2017-09-03,39,False
2017-09-10,30,False
2017-09-17,25,False
2017-09-24,34,False
2017-10-01,23,False
2017-10-08,20,False
2017-10-15,26,False
2017-10-22,37,False
2017-10-29,31,False
2017-11-05,34,False
2017-11-12,30,False
2017-11-19,30,False
2017-11-26,66,False
2017-12-03,100,False
2017-12-10,91,False
2017-12-17,89,False
2017-12-24,36,False
2017-12-31,33,True
