date,USDCHF,isPartial
2013-01-06,5,False
2013-01-13,13,False
2013-01-20,8,False
2013-01-27,10,False
2013-02-03,14,False
2013-02-10,8,False
2013-02-17,7,False
2013-02-24,13,False
2013-03-03,14,False
2013-03-10,12,False
2013-03-17,10,False
2013-03-24,8,False
2013-03-31,9,False
2013-04-07,8,False
2013-04-14,10,False
2013-04-21,9,False
2013-04-28,7,False
2013-05-05,10,False
2013-05-12,12,False
2013-05-19,10,False
2013-05-26,12,False
2013-06-02,9,False
2013-06-09,16,False
2013-06-16,15,False
2013-06-23,12,False
2013-06-30,9,False
2013-07-07,10,False
2013-07-14,10,False
2013-07-21,12,False
2013-07-28,9,False
2013-08-04,11,False
2013-08-11,11,False
2013-08-18,12,False
2013-08-25,8,False
2013-09-01,10,False
2013-09-08,8,False
2013-09-15,10,False
2013-09-22,13,False
2013-09-29,18,False
2013-10-06,11,False
2013-10-13,17,False
2013-10-20,17,False
2013-10-27,15,False
2013-11-03,12,False
2013-11-10,11,False
2013-11-17,14,False
2013-11-24,10,False
2013-12-01,10,False
2013-12-08,15,False
2013-12-15,13,False
2013-12-22,10,False
2013-12-29,8,False
2014-01-05,10,False
2014-01-12,11,False
2014-01-19,15,False
2014-01-26,13,False
2014-02-02,17,False
2014-02-09,14,False
2014-02-16,13,False
2014-02-23,16,False
2014-03-02,13,False
2014-03-09,17,False
2014-03-16,12,False
2014-03-23,9,False
2014-03-30,12,False
2014-04-06,10,False
2014-04-13,9,False
2014-04-20,11,False
2014-04-27,10,False
2014-05-04,9,False
2014-05-11,12,False
2014-05-18,7,False
2014-05-25,11,False
2014-06-01,12,False
2014-06-08,9,False
2014-06-15,10,False
2014-06-22,7,False
2014-06-29,9,False
2014-07-06,5,False
2014-07-13,8,False
2014-07-20,8,False
2014-07-27,9,False
2014-08-03,8,False
2014-08-10,7,False
2014-08-17,10,False
2014-08-24,10,False
2014-08-31,12,False
2014-09-07,14,False
2014-09-14,11,False
2014-09-21,15,False
2014-09-28,13,False
2014-10-05,12,False
2014-10-12,15,False
2014-10-19,9,False
2014-10-26,8,False
2014-11-02,11,False
2014-11-09,10,False
2014-11-16,10,False
2014-11-23,8,False
2014-11-30,15,False
2014-12-07,10,False
2014-12-14,16,False
2014-12-21,11,False
2014-12-28,10,False
2015-01-04,20,False
2015-01-11,100,False
2015-01-18,48,False
2015-01-25,29,False
