date,PENMAD,isPartial
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,0,False
2013-02-24,0,False
2013-03-03,0,False
2013-03-10,0,False
2013-03-17,0,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,5,False
2013-04-14,0,False
2013-04-21,7,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,5,False
2013-05-26,0,False
2013-06-02,7,False
2013-06-09,0,False
2013-06-16,0,False
2013-06-23,5,False
2013-06-30,0,False
2013-07-07,5,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,11,False
2013-08-04,0,False
2013-08-11,5,False
2013-08-18,10,False
2013-08-25,14,False
2013-09-01,13,False
2013-09-08,10,False
2013-09-15,7,False
2013-09-22,5,False
2013-09-29,11,False
2013-10-06,8,False
2013-10-13,7,False
2013-10-20,5,False
2013-10-27,5,False
2013-11-03,11,False
2013-11-10,10,False
2013-11-17,0,False
2013-11-24,10,False
2013-12-01,5,False
2013-12-08,7,False
2013-12-15,8,False
2013-12-22,5,False
2013-12-29,5,False
2014-01-05,5,False
2014-01-12,5,False
2014-01-19,13,False
2014-01-26,10,False
2014-02-02,5,False
2014-02-09,5,False
2014-02-16,5,False
2014-02-23,8,False
2014-03-02,7,False
2014-03-09,4,False
2014-03-16,8,False
2014-03-23,4,False
2014-03-30,0,False
2014-04-06,6,False
2014-04-13,19,False
2014-04-20,7,False
2014-04-27,7,False
2014-05-04,11,False
2014-05-11,18,False
2014-05-18,8,False
2014-05-25,14,False
2014-06-01,14,False
2014-06-08,11,False
2014-06-15,6,False
2014-06-22,8,False
2014-06-29,15,False
2014-07-06,6,False
2014-07-13,11,False
2014-07-20,20,False
2014-07-27,13,False
2014-08-03,8,False
2014-08-10,18,False
2014-08-17,8,False
2014-08-24,11,False
2014-08-31,14,False
2014-09-07,10,False
2014-09-14,9,False
2014-09-21,19,False
2014-09-28,5,False
2014-10-05,5,False
2014-10-12,5,False
2014-10-19,0,False
2014-10-26,8,False
2014-11-02,5,False
2014-11-09,7,False
2014-11-16,0,False
2014-11-23,12,False
2014-11-30,15,False
2014-12-07,8,False
2014-12-14,8,False
2014-12-21,5,False
2014-12-28,6,False
2015-01-04,9,False
2015-01-11,13,False
2015-01-18,11,False
2015-01-25,17,False
2015-02-01,14,False
2015-02-08,9,False
2015-02-15,8,False
2015-02-22,11,False
2015-03-01,4,False
2015-03-08,8,False
2015-03-15,8,False
2015-03-22,16,False
2015-03-29,10,False
2015-04-05,17,False
2015-04-12,8,False
2015-04-19,11,False
2015-04-26,16,False
2015-05-03,20,False
2015-05-10,11,False
2015-05-17,17,False
2015-05-24,11,False
2015-05-31,12,False
2015-06-07,4,False
2015-06-14,8,False
2015-06-21,14,False
2015-06-28,12,False
2015-07-05,16,False
2015-07-12,10,False
2015-07-19,10,False
2015-07-26,25,False
2015-08-02,25,False
2015-08-09,23,False
2015-08-16,34,False
2015-08-23,32,False
2015-08-30,31,False
2015-09-06,45,False
2015-09-13,35,False
2015-09-20,19,False
2015-09-27,42,False
2015-10-04,22,False
2015-10-11,15,False
2015-10-18,17,False
2015-10-25,26,False
2015-11-01,39,False
2015-11-08,37,False
2015-11-15,36,False
2015-11-22,24,False
2015-11-29,18,False
2015-12-06,44,False
2015-12-13,48,False
2015-12-20,33,False
2015-12-27,42,False
2016-01-03,57,False
2016-01-10,34,False
2016-01-17,45,False
2016-01-24,37,False
2016-01-31,49,False
2016-02-07,47,False
2016-02-14,61,False
2016-02-21,44,False
2016-02-28,69,False
2016-03-06,63,False
2016-03-13,25,False
2016-03-20,25,False
2016-03-27,59,False
2016-04-03,43,False
2016-04-10,48,False
2016-04-17,46,False
2016-04-24,37,False
2016-05-01,47,False
2016-05-08,40,False
2016-05-15,33,False
2016-05-22,64,False
2016-05-29,42,False
2016-06-05,39,False
2016-06-12,36,False
2016-06-19,78,False
2016-06-26,34,False
2016-07-03,21,False
2016-07-10,36,False
2016-07-17,39,False
2016-07-24,41,False
2016-07-31,61,False
2016-08-07,65,False
2016-08-14,56,False
2016-08-21,50,False
2016-08-28,50,False
2016-09-04,71,False
2016-09-11,64,False
2016-09-18,100,False
2016-09-25,78,False
2016-10-02,56,False
2016-10-09,57,False
2016-10-16,62,False
2016-10-23,71,False
2016-10-30,66,False
2016-11-06,56,False
2016-11-13,75,False
2016-11-20,46,False
2016-11-27,46,False
2016-12-04,54,False
2016-12-11,65,False
2016-12-18,63,False
2016-12-25,52,False
2017-01-01,42,False
2017-01-08,48,False
2017-01-15,56,False
2017-01-22,50,False
2017-01-29,68,False
2017-02-05,57,False
2017-02-12,41,False
2017-02-19,60,False
2017-02-26,49,False
2017-03-05,63,False
2017-03-12,63,False
2017-03-19,37,False
2017-03-26,44,False
2017-04-02,65,False
2017-04-09,30,False
2017-04-16,40,False
2017-04-23,73,False
2017-04-30,35,False
2017-05-07,58,False
2017-05-14,59,False
2017-05-21,42,False
2017-05-28,24,False
2017-06-04,63,False
2017-06-11,38,False
2017-06-18,43,False
2017-06-25,33,False
2017-07-02,44,False
2017-07-09,54,False
