date,HKDCNY,isPartial
2013-01-06,24,False
2013-01-13,32,False
2013-01-20,16,False
2013-01-27,16,False
2013-02-03,16,False
2013-02-10,16,False
2013-02-17,16,False
2013-02-24,31,False
2013-03-03,15,False
2013-03-10,0,False
2013-03-17,30,False
2013-03-24,0,False
2013-03-31,31,False
2013-04-07,15,False
2013-04-14,15,False
2013-04-21,15,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,0,False
2013-06-02,15,False
2013-06-09,15,False
2013-06-16,31,False
2013-06-23,0,False
2013-06-30,16,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,31,False
2013-08-04,16,False
2013-08-11,31,False
2013-08-18,15,False
2013-08-25,15,False
2013-09-01,0,False
2013-09-08,14,False
2013-09-15,29,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,15,False
2013-10-13,15,False
2013-10-20,14,False
2013-10-27,14,False
2013-11-03,14,False
2013-11-10,0,False
2013-11-17,14,False
2013-11-24,14,False
2013-12-01,14,False
2013-12-08,21,False
2013-12-15,0,False
2013-12-22,16,False
2013-12-29,15,False
2014-01-05,21,False
2014-01-12,0,False
2014-01-19,26,False
2014-01-26,0,False
2014-02-02,14,False
2014-02-09,0,False
2014-02-16,20,False
2014-02-23,39,False
2014-03-02,20,False
2014-03-09,54,False
2014-03-16,60,False
2014-03-23,26,False
2014-03-30,33,False
2014-04-06,40,False
2014-04-13,21,False
2014-04-20,27,False
2014-04-27,14,False
2014-05-04,33,False
2014-05-11,20,False
2014-05-18,0,False
2014-05-25,29,False
2014-06-01,0,False
2014-06-08,30,False
2014-06-15,0,False
2014-06-22,15,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,15,False
2014-07-20,15,False
2014-07-27,15,False
2014-08-03,16,False
2014-08-10,0,False
2014-08-17,15,False
2014-08-24,44,False
2014-08-31,14,False
2014-09-07,28,False
2014-09-14,0,False
2014-09-21,21,False
2014-09-28,21,False
2014-10-05,14,False
2014-10-12,0,False
2014-10-19,0,False
2014-10-26,14,False
2014-11-02,34,False
2014-11-09,14,False
2014-11-16,14,False
2014-11-23,27,False
2014-11-30,13,False
2014-12-07,14,False
2014-12-14,35,False
2014-12-21,15,False
2014-12-28,29,False
2015-01-04,26,False
2015-01-11,13,False
2015-01-18,0,False
2015-01-25,25,False
2015-02-01,19,False
2015-02-08,13,False
2015-02-15,13,False
2015-02-22,19,False
2015-03-01,38,False
2015-03-08,13,False
2015-03-15,19,False
2015-03-22,14,False
2015-03-29,0,False
2015-04-05,0,False
2015-04-12,38,False
2015-04-19,13,False
2015-04-26,26,False
2015-05-03,13,False
2015-05-10,25,False
2015-05-17,19,False
2015-05-24,0,False
2015-05-31,19,False
2015-06-07,0,False
2015-06-14,25,False
2015-06-21,19,False
2015-06-28,0,False
2015-07-05,13,False
2015-07-12,13,False
2015-07-19,0,False
2015-07-26,13,False
2015-08-02,13,False
2015-08-09,64,False
2015-08-16,19,False
2015-08-23,25,False
2015-08-30,12,False
2015-09-06,12,False
2015-09-13,48,False
2015-09-20,12,False
2015-09-27,12,False
2015-10-04,0,False
2015-10-11,30,False
2015-10-18,23,False
2015-10-25,12,False
2015-11-01,12,False
2015-11-08,12,False
2015-11-15,23,False
2015-11-22,23,False
2015-11-29,17,False
2015-12-06,12,False
2015-12-13,24,False
2015-12-20,53,False
2015-12-27,26,False
2016-01-03,31,False
2016-01-10,55,False
2016-01-17,31,False
2016-01-24,12,False
2016-01-31,37,False
2016-02-07,49,False
2016-02-14,30,False
2016-02-21,30,False
2016-02-28,36,False
2016-03-06,18,False
2016-03-13,12,False
2016-03-20,13,False
2016-03-27,24,False
2016-04-03,0,False
2016-04-10,12,False
2016-04-17,0,False
2016-04-24,0,False
2016-05-01,0,False
2016-05-08,12,False
2016-05-15,24,False
2016-05-22,0,False
2016-05-29,19,False
2016-06-05,12,False
2016-06-12,25,False
2016-06-19,0,False
2016-06-26,76,False
2016-07-03,26,False
2016-07-10,26,False
2016-07-17,20,False
2016-07-24,52,False
2016-07-31,20,False
2016-08-07,14,False
2016-08-14,14,False
2016-08-21,0,False
2016-08-28,19,False
2016-09-04,25,False
2016-09-11,13,False
2016-09-18,0,False
2016-09-25,50,False
2016-10-02,12,False
2016-10-09,25,False
2016-10-16,25,False
2016-10-23,12,False
2016-10-30,31,False
2016-11-06,36,False
2016-11-13,43,False
2016-11-20,61,False
2016-11-27,24,False
2016-12-04,29,False
2016-12-11,29,False
2016-12-18,13,False
2016-12-25,13,False
2017-01-01,18,False
2017-01-08,11,False
2017-01-15,12,False
2017-01-22,23,False
2017-01-29,0,False
2017-02-05,17,False
2017-02-12,22,False
2017-02-19,17,False
2017-02-26,11,False
2017-03-05,22,False
2017-03-12,0,False
2017-03-19,34,False
2017-03-26,17,False
2017-04-02,11,False
2017-04-09,35,False
