date,EURSGD,isPartial
2013-01-06,25,False
2013-01-13,31,False
2013-01-20,21,False
2013-01-27,40,False
2013-02-03,40,False
2013-02-10,52,False
2013-02-17,28,False
2013-02-24,63,False
2013-03-03,65,False
2013-03-10,48,False
2013-03-17,39,False
2013-03-24,46,False
2013-03-31,24,False
2013-04-07,36,False
2013-04-14,25,False
2013-04-21,16,False
2013-04-28,25,False
2013-05-05,16,False
2013-05-12,30,False
2013-05-19,34,False
2013-05-26,20,False
2013-06-02,20,False
2013-06-09,34,False
2013-06-16,30,False
2013-06-23,35,False
2013-06-30,40,False
2013-07-07,24,False
2013-07-14,31,False
2013-07-21,56,False
2013-07-28,71,False
2013-08-04,15,False
2013-08-11,31,False
2013-08-18,50,False
2013-08-25,38,False
2013-09-01,39,False
2013-09-08,46,False
2013-09-15,19,False
2013-09-22,38,False
2013-09-29,28,False
2013-10-06,33,False
2013-10-13,14,False
2013-10-20,45,False
2013-10-27,19,False
2013-11-03,94,False
2013-11-10,19,False
2013-11-17,27,False
2013-11-24,23,False
2013-12-01,35,False
2013-12-08,35,False
2013-12-15,37,False
2013-12-22,29,False
2013-12-29,30,False
2014-01-05,27,False
2014-01-12,41,False
2014-01-19,35,False
2014-01-26,26,False
2014-02-02,27,False
2014-02-09,13,False
2014-02-16,24,False
2014-02-23,20,False
2014-03-02,24,False
2014-03-09,22,False
2014-03-16,12,False
2014-03-23,21,False
2014-03-30,22,False
2014-04-06,24,False
2014-04-13,18,False
2014-04-20,35,False
2014-04-27,31,False
2014-05-04,26,False
2014-05-11,21,False
2014-05-18,37,False
2014-05-25,0,False
2014-06-01,19,False
2014-06-08,23,False
2014-06-15,34,False
2014-06-22,44,False
2014-06-29,25,False
2014-07-06,34,False
2014-07-13,15,False
2014-07-20,27,False
2014-07-27,25,False
2014-08-03,16,False
2014-08-10,29,False
2014-08-17,39,False
2014-08-24,28,False
2014-08-31,42,False
2014-09-07,60,False
2014-09-14,23,False
2014-09-21,13,False
2014-09-28,28,False
2014-10-05,41,False
2014-10-12,50,False
2014-10-19,31,False
2014-10-26,14,False
2014-11-02,14,False
2014-11-09,41,False
2014-11-16,31,False
2014-11-23,20,False
2014-11-30,17,False
2014-12-07,22,False
2014-12-14,25,False
2014-12-21,20,False
2014-12-28,44,False
2015-01-04,56,False
2015-01-11,76,False
2015-01-18,100,False
2015-01-25,78,False
2015-02-01,66,False
2015-02-08,45,False
2015-02-15,34,False
2015-02-22,16,False
2015-03-01,25,False
2015-03-08,70,False
2015-03-15,45,False
2015-03-22,31,False
2015-03-29,60,False
2015-04-05,55,False
2015-04-12,58,False
2015-04-19,33,False
2015-04-26,29,False
2015-05-03,33,False
2015-05-10,37,False
2015-05-17,58,False
2015-05-24,37,False
2015-05-31,25,False
2015-06-07,45,False
2015-06-14,50,False
2015-06-21,37,False
2015-06-28,63,False
2015-07-05,96,False
2015-07-12,30,False
2015-07-19,67,False
2015-07-26,46,False
2015-08-02,29,False
2015-08-09,33,False
2015-08-16,49,False
2015-08-23,85,False
2015-08-30,76,False
2015-09-06,28,False
2015-09-13,31,False
2015-09-20,59,False
2015-09-27,39,False
2015-10-04,34,False
2015-10-11,38,False
2015-10-18,37,False
2015-10-25,50,False
2015-11-01,19,False
2015-11-08,31,False
2015-11-15,41,False
2015-11-22,45,False
2015-11-29,80,False
2015-12-06,37,False
2015-12-13,31,False
2015-12-20,42,False
2015-12-27,26,False
2016-01-03,32,False
2016-01-10,24,False
2016-01-17,28,False
2016-01-24,16,False
2016-01-31,38,False
2016-02-07,24,False
2016-02-14,37,False
2016-02-21,23,False
2016-02-28,23,False
2016-03-06,55,False
2016-03-13,24,False
2016-03-20,28,False
2016-03-27,20,False
2016-04-03,31,False
2016-04-10,32,False
2016-04-17,40,False
2016-04-24,59,False
2016-05-01,28,False
2016-05-08,20,False
2016-05-15,25,False
2016-05-22,28,False
2016-05-29,32,False
2016-06-05,32,False
2016-06-12,36,False
