date,GBPBRL,isPartial
2013-01-06,84,False
2013-01-13,35,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,31,False
2013-02-10,42,False
2013-02-17,31,False
2013-02-24,61,False
2013-03-03,0,False
2013-03-10,0,False
2013-03-17,34,False
2013-03-24,0,False
2013-03-31,35,False
2013-04-07,0,False
2013-04-14,40,False
2013-04-21,52,False
2013-04-28,31,False
2013-05-05,30,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,39,False
2013-06-02,0,False
2013-06-09,34,False
2013-06-16,68,False
2013-06-23,31,False
2013-06-30,31,False
2013-07-07,0,False
2013-07-14,31,False
2013-07-21,31,False
2013-07-28,61,False
2013-08-04,53,False
2013-08-11,78,False
2013-08-18,0,False
2013-08-25,32,False
2013-09-01,39,False
2013-09-08,0,False
2013-09-15,29,False
2013-09-22,33,False
2013-09-29,38,False
2013-10-06,57,False
2013-10-13,29,False
2013-10-20,0,False
2013-10-27,28,False
2013-11-03,0,False
2013-11-10,32,False
2013-11-17,32,False
2013-11-24,0,False
2013-12-01,27,False
2013-12-08,27,False
2013-12-15,28,False
2013-12-22,31,False
2013-12-29,34,False
2014-01-05,27,False
2014-01-12,0,False
2014-01-19,45,False
2014-01-26,52,False
2014-02-02,36,False
2014-02-09,44,False
2014-02-16,0,False
2014-02-23,26,False
2014-03-02,27,False
2014-03-09,26,False
2014-03-16,35,False
2014-03-23,34,False
2014-03-30,26,False
2014-04-06,40,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,26,False
2014-05-04,0,False
2014-05-11,26,False
2014-05-18,56,False
2014-05-25,29,False
2014-06-01,39,False
2014-06-08,59,False
2014-06-15,50,False
2014-06-22,59,False
2014-06-29,40,False
2014-07-06,30,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,45,False
2014-08-03,34,False
2014-08-10,30,False
2014-08-17,0,False
2014-08-24,33,False
2014-08-31,37,False
2014-09-07,0,False
2014-09-14,32,False
2014-09-21,63,False
2014-09-28,0,False
2014-10-05,0,False
2014-10-12,31,False
2014-10-19,36,False
2014-10-26,27,False
2014-11-02,27,False
2014-11-09,48,False
2014-11-16,35,False
2014-11-23,35,False
2014-11-30,0,False
2014-12-07,40,False
2014-12-14,68,False
2014-12-21,0,False
2014-12-28,33,False
2015-01-04,34,False
2015-01-11,25,False
2015-01-18,25,False
2015-01-25,42,False
2015-02-01,28,False
2015-02-08,36,False
2015-02-15,59,False
2015-02-22,25,False
2015-03-01,43,False
2015-03-08,63,False
2015-03-15,61,False
2015-03-22,46,False
2015-03-29,29,False
2015-04-05,26,False
2015-04-12,100,False
2015-04-19,25,False
2015-04-26,43,False
2015-05-03,38,False
2015-05-10,25,False
2015-05-17,28,False
2015-05-24,25,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,25,False
2015-06-21,71,False
2015-06-28,37,False
2015-07-05,43,False
2015-07-12,51,False
2015-07-19,73,False
2015-07-26,63,False
2015-08-02,37,False
2015-08-09,45,False
2015-08-16,66,False
2015-08-23,55,False
2015-08-30,69,False
2015-09-06,69,False
2015-09-13,71,False
2015-09-20,60,False
2015-09-27,68,False
2015-10-04,25,False
2015-10-11,47,False
2015-10-18,52,False
2015-10-25,23,False
2015-11-01,34,False
2015-11-08,42,False
2015-11-15,52,False
2015-11-22,42,False
2015-11-29,33,False
2015-12-06,58,False
2015-12-13,51,False
2015-12-20,38,False
2015-12-27,52,False
2016-01-03,99,False
2016-01-10,27,False
2016-01-17,64,False
2016-01-24,72,False
2016-01-31,24,False
2016-02-07,24,False
2016-02-14,24,False
2016-02-21,35,False
2016-02-28,34,False
2016-03-06,27,False
2016-03-13,48,False
2016-03-20,49,False
2016-03-27,36,False
2016-04-03,41,False
2016-04-10,52,False
2016-04-17,36,False
2016-04-24,24,False
2016-05-01,24,False
2016-05-08,44,False
2016-05-15,24,False
2016-05-22,25,False
2016-05-29,0,False
2016-06-05,0,False
2016-06-12,73,False
2016-06-19,54,False
2016-06-26,63,False
2016-07-03,38,False
2016-07-10,38,False
2016-07-17,47,False
