date,USDTRY,isPartial
2013-01-06,2,False
2013-01-13,7,False
2013-01-20,6,False
2013-01-27,4,False
2013-02-03,4,False
2013-02-10,3,False
2013-02-17,5,False
2013-02-24,3,False
2013-03-03,4,False
2013-03-10,3,False
2013-03-17,5,False
2013-03-24,3,False
2013-03-31,4,False
2013-04-07,6,False
2013-04-14,6,False
2013-04-21,5,False
2013-04-28,3,False
2013-05-05,3,False
2013-05-12,6,False
2013-05-19,5,False
2013-05-26,4,False
2013-06-02,8,False
2013-06-09,8,False
2013-06-16,8,False
2013-06-23,8,False
2013-06-30,4,False
2013-07-07,8,False
2013-07-14,4,False
2013-07-21,5,False
2013-07-28,5,False
2013-08-04,8,False
2013-08-11,7,False
2013-08-18,12,False
2013-08-25,17,False
2013-09-01,11,False
2013-09-08,13,False
2013-09-15,15,False
2013-09-22,7,False
2013-09-29,6,False
2013-10-06,4,False
2013-10-13,6,False
2013-10-20,3,False
2013-10-27,5,False
2013-11-03,7,False
2013-11-10,5,False
2013-11-17,6,False
2013-11-24,5,False
2013-12-01,3,False
2013-12-08,6,False
2013-12-15,9,False
2013-12-22,16,False
2013-12-29,12,False
2014-01-05,7,False
2014-01-12,11,False
2014-01-19,18,False
2014-01-26,47,False
2014-02-02,19,False
2014-02-09,10,False
2014-02-16,12,False
2014-02-23,14,False
2014-03-02,14,False
2014-03-09,8,False
2014-03-16,10,False
2014-03-23,12,False
2014-03-30,14,False
2014-04-06,8,False
2014-04-13,5,False
2014-04-20,10,False
2014-04-27,5,False
2014-05-04,7,False
2014-05-11,8,False
2014-05-18,6,False
2014-05-25,10,False
2014-06-01,6,False
2014-06-08,7,False
2014-06-15,11,False
2014-06-22,7,False
2014-06-29,6,False
2014-07-06,5,False
2014-07-13,7,False
2014-07-20,7,False
2014-07-27,12,False
2014-08-03,15,False
2014-08-10,11,False
2014-08-17,13,False
2014-08-24,9,False
2014-08-31,8,False
2014-09-07,13,False
2014-09-14,11,False
2014-09-21,11,False
2014-09-28,20,False
2014-10-05,22,False
2014-10-12,12,False
2014-10-19,19,False
2014-10-26,11,False
2014-11-02,8,False
2014-11-09,9,False
2014-11-16,8,False
2014-11-23,7,False
2014-11-30,6,False
2014-12-07,15,False
2014-12-14,28,False
2014-12-21,11,False
2014-12-28,9,False
2015-01-04,9,False
2015-01-11,10,False
2015-01-18,10,False
2015-01-25,17,False
2015-02-01,16,False
2015-02-08,19,False
2015-02-15,8,False
2015-02-22,14,False
2015-03-01,27,False
2015-03-08,21,False
2015-03-15,23,False
2015-03-22,16,False
2015-03-29,17,False
2015-04-05,19,False
2015-04-12,21,False
2015-04-19,16,False
2015-04-26,19,False
2015-05-03,20,False
2015-05-10,16,False
2015-05-17,17,False
2015-05-24,13,False
2015-05-31,19,False
2015-06-07,39,False
2015-06-14,19,False
2015-06-21,18,False
2015-06-28,16,False
2015-07-05,15,False
2015-07-12,18,False
2015-07-19,23,False
2015-07-26,22,False
2015-08-02,20,False
2015-08-09,24,False
2015-08-16,43,False
2015-08-23,25,False
2015-08-30,21,False
2015-09-06,26,False
2015-09-13,29,False
2015-09-20,17,False
2015-09-27,21,False
2015-10-04,29,False
2015-10-11,30,False
2015-10-18,16,False
2015-10-25,21,False
2015-11-01,44,False
2015-11-08,26,False
2015-11-15,21,False
2015-11-22,29,False
2015-11-29,27,False
2015-12-06,25,False
2015-12-13,28,False
2015-12-20,25,False
2015-12-27,16,False
2016-01-03,34,False
2016-01-10,28,False
2016-01-17,18,False
2016-01-24,26,False
2016-01-31,25,False
2016-02-07,26,False
2016-02-14,27,False
2016-02-21,20,False
2016-02-28,28,False
2016-03-06,26,False
2016-03-13,32,False
2016-03-20,31,False
2016-03-27,25,False
2016-04-03,26,False
2016-04-10,20,False
2016-04-17,18,False
2016-04-24,20,False
2016-05-01,31,False
2016-05-08,23,False
2016-05-15,23,False
2016-05-22,26,False
2016-05-29,23,False
2016-06-05,22,False
2016-06-12,22,False
2016-06-19,27,False
2016-06-26,25,False
2016-07-03,14,False
2016-07-10,48,False
2016-07-17,96,False
2016-07-24,26,False
2016-07-31,27,False
2016-08-07,25,False
2016-08-14,21,False
2016-08-21,17,False
2016-08-28,19,False
2016-09-04,18,False
2016-09-11,13,False
2016-09-18,17,False
2016-09-25,25,False
2016-10-02,21,False
2016-10-09,26,False
2016-10-16,23,False
2016-10-23,18,False
2016-10-30,27,False
2016-11-06,47,False
2016-11-13,51,False
2016-11-20,43,False
2016-11-27,56,False
2016-12-04,74,False
2016-12-11,59,False
2016-12-18,36,False
2016-12-25,25,False
2017-01-01,41,False
2017-01-08,100,False
2017-01-15,56,False
2017-01-22,60,False
2017-01-29,58,False
2017-02-05,44,False
2017-02-12,32,False
2017-02-19,33,False
2017-02-26,41,False
2017-03-05,30,False
2017-03-12,38,False
2017-03-19,30,False
2017-03-26,31,False
2017-04-02,30,False
2017-04-09,38,False
2017-04-16,56,False
2017-04-23,40,False
2017-04-30,36,False
2017-05-07,30,False
2017-05-14,36,False
2017-05-21,34,False
2017-05-28,30,False
2017-06-04,36,False
2017-06-11,33,False
2017-06-18,28,False
2017-06-25,16,False
2017-07-02,36,False
2017-07-09,21,False
2017-07-16,26,False
2017-07-23,26,False
2017-07-30,21,False
2017-08-06,22,False
2017-08-13,14,False
2017-08-20,22,False
2017-08-27,19,False
2017-09-03,23,False
2017-09-10,29,False
2017-09-17,28,False
2017-09-24,32,False
2017-10-01,24,False
2017-10-08,62,False
2017-10-15,26,False
2017-10-22,50,False
2017-10-29,41,False
2017-11-05,38,False
2017-11-12,36,False
2017-11-19,57,False
2017-11-26,48,False
2017-12-03,42,False
2017-12-10,43,False
2017-12-17,34,False
2017-12-24,35,False
2017-12-31,12,True
