date,CZKEUR,isPartial
2017-07-16,17,False
2017-07-23,0,False
2017-07-30,43,False
2017-08-06,0,False
2017-08-13,16,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,15,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,15,False
2017-10-22,0,False
2017-10-29,30,False
2017-11-05,15,False
2017-11-12,0,False
2017-11-19,15,False
2017-11-26,15,False
2017-12-03,23,False
2017-12-10,0,False
2017-12-17,21,False
2017-12-24,0,False
2017-12-31,82,True
