date,EURNOK,isPartial
2013-01-06,18,False
2013-01-13,13,False
2013-01-20,13,False
2013-01-27,38,False
2013-02-03,25,False
2013-02-10,24,False
2013-02-17,33,False
2013-02-24,46,False
2013-03-03,11,False
2013-03-10,22,False
2013-03-17,34,False
2013-03-24,25,False
2013-03-31,17,False
2013-04-07,23,False
2013-04-14,23,False
2013-04-21,19,False
2013-04-28,13,False
2013-05-05,17,False
2013-05-12,11,False
2013-05-19,33,False
2013-05-26,20,False
2013-06-02,28,False
2013-06-09,32,False
2013-06-16,41,False
2013-06-23,33,False
2013-06-30,40,False
2013-07-07,47,False
2013-07-14,26,False
2013-07-21,67,False
2013-07-28,20,False
2013-08-04,13,False
2013-08-11,21,False
2013-08-18,17,False
2013-08-25,19,False
2013-09-01,25,False
2013-09-08,31,False
2013-09-15,47,False
2013-09-22,35,False
2013-09-29,31,False
2013-10-06,27,False
2013-10-13,43,False
2013-10-20,31,False
2013-10-27,23,False
2013-11-03,11,False
2013-11-10,50,False
2013-11-17,49,False
2013-11-24,30,False
2013-12-01,30,False
2013-12-08,36,False
2013-12-15,27,False
2013-12-22,13,False
2013-12-29,45,False
2014-01-05,29,False
2014-01-12,30,False
2014-01-19,32,False
2014-01-26,34,False
2014-02-02,30,False
2014-02-09,25,False
2014-02-16,29,False
2014-02-23,28,False
2014-03-02,39,False
2014-03-09,25,False
2014-03-16,14,False
2014-03-23,14,False
2014-03-30,25,False
2014-04-06,25,False
2014-04-13,33,False
2014-04-20,12,False
2014-04-27,25,False
2014-05-04,15,False
2014-05-11,18,False
2014-05-18,23,False
2014-05-25,19,False
2014-06-01,20,False
2014-06-08,40,False
2014-06-15,61,False
2014-06-22,28,False
2014-06-29,62,False
2014-07-06,36,False
2014-07-13,24,False
2014-07-20,16,False
2014-07-27,51,False
2014-08-03,21,False
2014-08-10,17,False
2014-08-17,52,False
2014-08-24,39,False
2014-08-31,35,False
2014-09-07,30,False
2014-09-14,26,False
2014-09-21,45,False
2014-09-28,47,False
2014-10-05,15,False
2014-10-12,45,False
2014-10-19,26,False
2014-10-26,37,False
2014-11-02,47,False
2014-11-09,36,False
2014-11-16,55,False
2014-11-23,54,False
2014-11-30,25,False
2014-12-07,58,False
2014-12-14,97,False
2014-12-21,53,False
2014-12-28,44,False
2015-01-04,42,False
2015-01-11,77,False
2015-01-18,45,False
2015-01-25,31,False
2015-02-01,47,False
2015-02-08,31,False
2015-02-15,60,False
2015-02-22,27,False
2015-03-01,34,False
2015-03-08,47,False
2015-03-15,84,False
2015-03-22,18,False
2015-03-29,21,False
2015-04-05,35,False
2015-04-12,48,False
2015-04-19,31,False
2015-04-26,28,False
2015-05-03,55,False
2015-05-10,31,False
2015-05-17,27,False
2015-05-24,19,False
2015-05-31,38,False
2015-06-07,34,False
2015-06-14,55,False
2015-06-21,34,False
2015-06-28,35,False
2015-07-05,45,False
2015-07-12,35,False
2015-07-19,24,False
2015-07-26,27,False
2015-08-02,38,False
2015-08-09,51,False
2015-08-16,41,False
2015-08-23,30,False
2015-08-30,43,False
2015-09-06,26,False
2015-09-13,58,False
2015-09-20,62,False
2015-09-27,35,False
2015-10-04,29,False
2015-10-11,26,False
2015-10-18,25,False
2015-10-25,35,False
2015-11-01,25,False
2015-11-08,35,False
2015-11-15,34,False
2015-11-22,38,False
2015-11-29,28,False
2015-12-06,44,False
2015-12-13,54,False
2015-12-20,29,False
2015-12-27,36,False
2016-01-03,64,False
2016-01-10,39,False
2016-01-17,43,False
2016-01-24,30,False
2016-01-31,43,False
2016-02-07,50,False
2016-02-14,39,False
2016-02-21,32,False
2016-02-28,32,False
2016-03-06,36,False
2016-03-13,46,False
2016-03-20,17,False
2016-03-27,47,False
2016-04-03,36,False
2016-04-10,26,False
2016-04-17,46,False
2016-04-24,59,False
2016-05-01,37,False
2016-05-08,30,False
2016-05-15,27,False
2016-05-22,44,False
2016-05-29,40,False
2016-06-05,59,False
2016-06-12,36,False
2016-06-19,64,False
2016-06-26,34,False
2016-07-03,14,False
2016-07-10,35,False
2016-07-17,17,False
2016-07-24,32,False
2016-07-31,46,False
2016-08-07,36,False
2016-08-14,19,False
2016-08-21,43,False
2016-08-28,38,False
2016-09-04,45,False
2016-09-11,34,False
2016-09-18,24,False
2016-09-25,34,False
2016-10-02,67,False
2016-10-09,37,False
2016-10-16,20,False
2016-10-23,20,False
2016-10-30,33,False
2016-11-06,32,False
2016-11-13,31,False
2016-11-20,16,False
2016-11-27,60,False
2016-12-04,34,False
2016-12-11,48,False
2016-12-18,28,False
2016-12-25,17,False
2017-01-01,26,False
2017-01-08,40,False
2017-01-15,37,False
2017-01-22,43,False
2017-01-29,43,False
2017-02-05,15,False
2017-02-12,33,False
2017-02-19,24,False
2017-02-26,33,False
2017-03-05,32,False
2017-03-12,21,False
2017-03-19,33,False
2017-03-26,43,False
2017-04-02,46,False
2017-04-09,32,False
2017-04-16,31,False
2017-04-23,33,False
2017-04-30,34,False
2017-05-07,21,False
2017-05-14,19,False
2017-05-21,46,False
2017-05-28,36,False
2017-06-04,42,False
2017-06-11,39,False
2017-06-18,38,False
2017-06-25,49,False
2017-07-02,40,False
2017-07-09,36,False
2017-07-16,30,False
2017-07-23,39,False
2017-07-30,32,False
2017-08-06,26,False
2017-08-13,35,False
2017-08-20,44,False
2017-08-27,41,False
2017-09-03,25,False
2017-09-10,25,False
2017-09-17,19,False
2017-09-24,28,False
2017-10-01,34,False
2017-10-08,22,False
2017-10-15,31,False
2017-10-22,27,False
2017-10-29,33,False
2017-11-05,18,False
2017-11-12,50,False
2017-11-19,77,False
2017-11-26,100,False
2017-12-03,93,False
2017-12-10,84,False
2017-12-17,56,False
2017-12-24,46,False
2017-12-31,43,True
