date,EURCAD,isPartial
2013-01-06,30,False
2013-01-13,28,False
2013-01-20,32,False
2013-01-27,21,False
2013-02-03,19,False
2013-02-10,19,False
2013-02-17,29,False
2013-02-24,23,False
2013-03-03,19,False
2013-03-10,19,False
2013-03-17,21,False
2013-03-24,17,False
2013-03-31,37,False
2013-04-07,27,False
2013-04-14,31,False
2013-04-21,35,False
2013-04-28,36,False
2013-05-05,44,False
2013-05-12,14,False
2013-05-19,34,False
2013-05-26,29,False
2013-06-02,35,False
2013-06-09,10,False
2013-06-16,29,False
2013-06-23,27,False
2013-06-30,23,False
2013-07-07,28,False
2013-07-14,36,False
2013-07-21,26,False
2013-07-28,19,False
2013-08-04,43,False
2013-08-11,21,False
2013-08-18,35,False
2013-08-25,28,False
2013-09-01,20,False
2013-09-08,20,False
2013-09-15,19,False
2013-09-22,18,False
2013-09-29,18,False
2013-10-06,23,False
2013-10-13,23,False
2013-10-20,21,False
2013-10-27,31,False
2013-11-03,31,False
2013-11-10,29,False
2013-11-17,19,False
2013-11-24,24,False
2013-12-01,33,False
2013-12-08,36,False
2013-12-15,37,False
2013-12-22,26,False
2013-12-29,27,False
2014-01-05,20,False
2014-01-12,24,False
2014-01-19,32,False
2014-01-26,36,False
2014-02-02,28,False
2014-02-09,32,False
2014-02-16,16,False
2014-02-23,23,False
2014-03-02,29,False
2014-03-09,41,False
2014-03-16,47,False
2014-03-23,14,False
2014-03-30,32,False
2014-04-06,38,False
2014-04-13,17,False
2014-04-20,20,False
2014-04-27,43,False
2014-05-04,27,False
2014-05-11,30,False
2014-05-18,23,False
2014-05-25,22,False
2014-06-01,32,False
2014-06-08,28,False
2014-06-15,34,False
2014-06-22,28,False
2014-06-29,29,False
2014-07-06,18,False
2014-07-13,29,False
2014-07-20,45,False
2014-07-27,23,False
2014-08-03,15,False
2014-08-10,32,False
2014-08-17,36,False
2014-08-24,21,False
2014-08-31,27,False
2014-09-07,40,False
2014-09-14,36,False
2014-09-21,34,False
2014-09-28,27,False
2014-10-05,30,False
2014-10-12,22,False
2014-10-19,20,False
2014-10-26,14,False
2014-11-02,27,False
2014-11-09,24,False
2014-11-16,29,False
2014-11-23,33,False
2014-11-30,29,False
2014-12-07,27,False
2014-12-14,32,False
2014-12-21,22,False
2014-12-28,24,False
2015-01-04,46,False
2015-01-11,31,False
2015-01-18,84,False
2015-01-25,65,False
2015-02-01,49,False
2015-02-08,34,False
2015-02-15,40,False
2015-02-22,41,False
2015-03-01,32,False
2015-03-08,51,False
2015-03-15,42,False
2015-03-22,35,False
2015-03-29,26,False
2015-04-05,44,False
2015-04-12,63,False
2015-04-19,43,False
2015-04-26,47,False
2015-05-03,41,False
2015-05-10,26,False
2015-05-17,36,False
2015-05-24,46,False
2015-05-31,67,False
2015-06-07,41,False
2015-06-14,38,False
2015-06-21,57,False
2015-06-28,61,False
2015-07-05,58,False
2015-07-12,80,False
2015-07-19,33,False
2015-07-26,26,False
2015-08-02,43,False
2015-08-09,46,False
2015-08-16,39,False
2015-08-23,69,False
2015-08-30,51,False
2015-09-06,59,False
2015-09-13,52,False
2015-09-20,54,False
2015-09-27,39,False
2015-10-04,40,False
2015-10-11,58,False
2015-10-18,52,False
2015-10-25,44,False
2015-11-01,24,False
2015-11-08,25,False
2015-11-15,41,False
2015-11-22,47,False
2015-11-29,42,False
2015-12-06,55,False
2015-12-13,32,False
2015-12-20,38,False
2015-12-27,36,False
2016-01-03,56,False
2016-01-10,85,False
2016-01-17,71,False
2016-01-24,46,False
2016-01-31,59,False
2016-02-07,45,False
2016-02-14,50,False
2016-02-21,44,False
2016-02-28,67,False
2016-03-06,67,False
2016-03-13,47,False
2016-03-20,35,False
2016-03-27,53,False
2016-04-03,38,False
2016-04-10,87,False
2016-04-17,36,False
2016-04-24,60,False
2016-05-01,63,False
2016-05-08,40,False
2016-05-15,46,False
2016-05-22,42,False
2016-05-29,35,False
2016-06-05,48,False
2016-06-12,43,False
2016-06-19,61,False
2016-06-26,41,False
2016-07-03,50,False
2016-07-10,35,False
2016-07-17,62,False
2016-07-24,41,False
2016-07-31,39,False
2016-08-07,40,False
2016-08-14,28,False
2016-08-21,27,False
2016-08-28,40,False
2016-09-04,45,False
2016-09-11,48,False
2016-09-18,44,False
2016-09-25,32,False
2016-10-02,32,False
2016-10-09,27,False
2016-10-16,35,False
2016-10-23,37,False
2016-10-30,39,False
2016-11-06,42,False
2016-11-13,46,False
2016-11-20,46,False
2016-11-27,59,False
2016-12-04,45,False
2016-12-11,54,False
2016-12-18,41,False
2016-12-25,38,False
2017-01-01,30,False
2017-01-08,42,False
2017-01-15,29,False
2017-01-22,35,False
2017-01-29,35,False
2017-02-05,49,False
2017-02-12,59,False
2017-02-19,45,False
2017-02-26,63,False
2017-03-05,51,False
2017-03-12,51,False
2017-03-19,72,False
2017-03-26,62,False
2017-04-02,46,False
2017-04-09,57,False
2017-04-16,52,False
2017-04-23,100,False
2017-04-30,85,False
2017-05-07,61,False
2017-05-14,55,False
2017-05-21,46,False
2017-05-28,31,False
2017-06-04,50,False
2017-06-11,58,False
2017-06-18,40,False
2017-06-25,48,False
2017-07-02,47,False
2017-07-09,46,False
2017-07-16,45,False
2017-07-23,44,False
2017-07-30,40,False
2017-08-06,46,False
2017-08-13,45,False
