date,GBPAUD,isPartial
2013-01-06,7,False
2013-01-13,11,False
2013-01-20,10,False
2013-01-27,11,False
2013-02-03,9,False
2013-02-10,14,False
2013-02-17,13,False
2013-02-24,21,False
2013-03-03,13,False
2013-03-10,10,False
2013-03-17,11,False
2013-03-24,8,False
2013-03-31,17,False
2013-04-07,11,False
2013-04-14,15,False
2013-04-21,22,False
2013-04-28,17,False
2013-05-05,17,False
2013-05-12,34,False
2013-05-19,28,False
2013-05-26,17,False
2013-06-02,30,False
2013-06-09,36,False
2013-06-16,24,False
2013-06-23,32,False
2013-06-30,24,False
2013-07-07,20,False
2013-07-14,17,False
2013-07-21,20,False
2013-07-28,24,False
2013-08-04,29,False
2013-08-11,21,False
2013-08-18,25,False
2013-08-25,28,False
2013-09-01,28,False
2013-09-08,24,False
2013-09-15,24,False
2013-09-22,12,False
2013-09-29,26,False
2013-10-06,20,False
2013-10-13,23,False
2013-10-20,22,False
2013-10-27,14,False
2013-11-03,28,False
2013-11-10,28,False
2013-11-17,27,False
2013-11-24,45,False
2013-12-01,36,False
2013-12-08,33,False
2013-12-15,33,False
2013-12-22,22,False
2013-12-29,32,False
2014-01-05,30,False
2014-01-12,26,False
2014-01-19,38,False
2014-01-26,24,False
2014-02-02,28,False
2014-02-09,37,False
2014-02-16,17,False
2014-02-23,25,False
2014-03-02,33,False
2014-03-09,19,False
2014-03-16,13,False
2014-03-23,29,False
2014-03-30,18,False
2014-04-06,15,False
2014-04-13,16,False
2014-04-20,19,False
2014-04-27,16,False
2014-05-04,19,False
2014-05-11,19,False
2014-05-18,23,False
2014-05-25,27,False
2014-06-01,30,False
2014-06-08,23,False
2014-06-15,23,False
2014-06-22,16,False
2014-06-29,25,False
2014-07-06,18,False
2014-07-13,19,False
2014-07-20,12,False
2014-07-27,15,False
2014-08-03,7,False
2014-08-10,21,False
2014-08-17,26,False
2014-08-24,15,False
2014-08-31,17,False
2014-09-07,27,False
2014-09-14,34,False
2014-09-21,30,False
2014-09-28,32,False
2014-10-05,24,False
2014-10-12,18,False
2014-10-19,14,False
2014-10-26,16,False
2014-11-02,18,False
2014-11-09,16,False
2014-11-16,17,False
2014-11-23,17,False
2014-11-30,22,False
2014-12-07,21,False
2014-12-14,30,False
2014-12-21,18,False
2014-12-28,9,False
2015-01-04,29,False
2015-01-11,34,False
2015-01-18,16,False
2015-01-25,45,False
2015-02-01,30,False
2015-02-08,46,False
2015-02-15,32,False
2015-02-22,24,False
2015-03-01,19,False
2015-03-08,35,False
2015-03-15,23,False
2015-03-22,31,False
2015-03-29,34,False
2015-04-05,27,False
2015-04-12,22,False
2015-04-19,15,False
2015-04-26,20,False
2015-05-03,17,False
2015-05-10,28,False
2015-05-17,23,False
2015-05-24,26,False
2015-05-31,26,False
2015-06-07,21,False
2015-06-14,31,False
2015-06-21,34,False
2015-06-28,32,False
2015-07-05,29,False
2015-07-12,33,False
2015-07-19,32,False
2015-07-26,38,False
2015-08-02,35,False
2015-08-09,32,False
2015-08-16,36,False
2015-08-23,50,False
2015-08-30,26,False
2015-09-06,28,False
2015-09-13,27,False
2015-09-20,38,False
2015-09-27,32,False
2015-10-04,29,False
2015-10-11,26,False
2015-10-18,26,False
2015-10-25,21,False
2015-11-01,21,False
2015-11-08,25,False
2015-11-15,18,False
2015-11-22,28,False
2015-11-29,25,False
2015-12-06,22,False
2015-12-13,36,False
2015-12-20,25,False
2015-12-27,21,False
2016-01-03,39,False
2016-01-10,49,False
2016-01-17,28,False
2016-01-24,39,False
2016-01-31,23,False
2016-02-07,35,False
2016-02-14,26,False
2016-02-21,51,False
2016-02-28,34,False
2016-03-06,35,False
2016-03-13,55,False
2016-03-20,28,False
2016-03-27,12,False
2016-04-03,37,False
2016-04-10,32,False
2016-04-17,27,False
2016-04-24,36,False
2016-05-01,43,False
2016-05-08,33,False
2016-05-15,39,False
2016-05-22,43,False
2016-05-29,36,False
2016-06-05,29,False
2016-06-12,39,False
2016-06-19,100,False
2016-06-26,73,False
2016-07-03,60,False
2016-07-10,44,False
2016-07-17,25,False
2016-07-24,37,False
2016-07-31,51,False
2016-08-07,39,False
2016-08-14,32,False
2016-08-21,30,False
2016-08-28,24,False
2016-09-04,34,False
2016-09-11,35,False
2016-09-18,37,False
2016-09-25,40,False
2016-10-02,68,False
2016-10-09,48,False
2016-10-16,30,False
2016-10-23,27,False
2016-10-30,23,False
2016-11-06,41,False
2016-11-13,38,False
2016-11-20,28,False
2016-11-27,37,False
2016-12-04,37,False
2016-12-11,32,False
2016-12-18,31,False
2016-12-25,23,False
2017-01-01,27,False
2017-01-08,39,False
2017-01-15,53,False
2017-01-22,41,False
2017-01-29,30,False
2017-02-05,20,False
2017-02-12,18,False
2017-02-19,20,False
2017-02-26,27,False
2017-03-05,28,False
2017-03-12,23,False
2017-03-19,40,False
2017-03-26,36,False
2017-04-02,20,False
2017-04-09,16,False
2017-04-16,39,False
2017-04-23,34,False
2017-04-30,46,False
2017-05-07,33,False
2017-05-14,33,False
2017-05-21,29,False
2017-05-28,32,False
2017-06-04,34,False
2017-06-11,25,False
2017-06-18,26,False
2017-06-25,29,False
2017-07-02,26,False
2017-07-09,32,False
2017-07-16,43,False
2017-07-23,24,False
2017-07-30,21,False
2017-08-06,15,False
2017-08-13,25,False
2017-08-20,28,False
2017-08-27,27,False
2017-09-03,20,False
2017-09-10,41,False
2017-09-17,40,False
2017-09-24,28,False
2017-10-01,27,False
