date,AUDUSD,isPartial
2013-01-06,33,False
2013-01-13,30,False
2013-01-20,27,False
2013-01-27,35,False
2013-02-03,35,False
2013-02-10,38,False
2013-02-17,39,False
2013-02-24,40,False
2013-03-03,40,False
2013-03-10,38,False
2013-03-17,30,False
2013-03-24,38,False
2013-03-31,32,False
2013-04-07,35,False
2013-04-14,37,False
2013-04-21,39,False
2013-04-28,43,False
2013-05-05,73,False
2013-05-12,100,False
2013-05-19,96,False
2013-05-26,74,False
2013-06-02,88,False
2013-06-09,84,False
2013-06-16,76,False
2013-06-23,82,False
2013-06-30,82,False
2013-07-07,91,False
2013-07-14,77,False
2013-07-21,60,False
2013-07-28,76,False
2013-08-04,95,False
2013-08-11,71,False
2013-08-18,64,False
2013-08-25,65,False
2013-09-01,64,False
2013-09-08,66,False
2013-09-15,58,False
2013-09-22,49,False
2013-09-29,47,False
2013-10-06,54,False
2013-10-13,56,False
2013-10-20,49,False
2013-10-27,44,False
2013-11-03,47,False
2013-11-10,40,False
2013-11-17,44,False
2013-11-24,60,False
2013-12-01,53,False
2013-12-08,48,False
2013-12-15,59,False
2013-12-22,28,False
2013-12-29,45,False
2014-01-05,45,False
2014-01-12,57,False
2014-01-19,66,False
2014-01-26,47,False
2014-02-02,56,False
2014-02-09,51,False
2014-02-16,40,False
2014-02-23,41,False
2014-03-02,52,False
2014-03-09,53,False
2014-03-16,47,False
2014-03-23,66,False
2014-03-30,56,False
2014-04-06,57,False
2014-04-13,39,False
2014-04-20,38,False
2014-04-27,40,False
2014-05-04,40,False
2014-05-11,31,False
2014-05-18,41,False
2014-05-25,34,False
2014-06-01,41,False
2014-06-08,47,False
2014-06-15,45,False
2014-06-22,35,False
2014-06-29,42,False
2014-07-06,40,False
2014-07-13,32,False
2014-07-20,34,False
2014-07-27,31,False
2014-08-03,35,False
2014-08-10,32,False
2014-08-17,30,False
2014-08-24,34,False
2014-08-31,33,False
2014-09-07,57,False
2014-09-14,72,False
2014-09-21,60,False
2014-09-28,65,False
2014-10-05,55,False
2014-10-12,51,False
2014-10-19,36,False
2014-10-26,37,False
2014-11-02,44,False
2014-11-09,38,False
2014-11-16,39,False
2014-11-23,42,False
2014-11-30,64,False
2014-12-07,51,False
2014-12-14,57,False
2014-12-21,46,False
2014-12-28,28,False
2015-01-04,50,False
2015-01-11,48,False
2015-01-18,52,False
2015-01-25,66,False
2015-02-01,79,False
2015-02-08,54,False
2015-02-15,38,False
2015-02-22,51,False
2015-03-01,50,False
2015-03-08,51,False
2015-03-15,47,False
2015-03-22,47,False
2015-03-29,40,False
2015-04-05,50,False
2015-04-12,55,False
2015-04-19,45,False
