date,NZDUSD,isPartial
2013-01-06,19,False
2013-01-13,23,False
2013-01-20,34,False
2013-01-27,34,False
2013-02-03,32,False
2013-02-10,31,False
2013-02-17,26,False
2013-02-24,39,False
2013-03-03,28,False
2013-03-10,27,False
2013-03-17,20,False
2013-03-24,23,False
2013-03-31,34,False
2013-04-07,56,False
2013-04-14,26,False
2013-04-21,28,False
2013-04-28,17,False
2013-05-05,25,False
2013-05-12,35,False
2013-05-19,20,False
2013-05-26,33,False
2013-06-02,29,False
2013-06-09,36,False
2013-06-16,34,False
2013-06-23,17,False
2013-06-30,33,False
2013-07-07,50,False
2013-07-14,34,False
2013-07-21,32,False
2013-07-28,43,False
2013-08-04,48,False
2013-08-11,40,False
2013-08-18,50,False
2013-08-25,62,False
2013-09-01,31,False
2013-09-08,30,False
2013-09-15,42,False
2013-09-22,32,False
2013-09-29,19,False
2013-10-06,41,False
2013-10-13,56,False
2013-10-20,48,False
2013-10-27,45,False
2013-11-03,36,False
2013-11-10,36,False
2013-11-17,36,False
2013-11-24,29,False
2013-12-01,20,False
2013-12-08,36,False
2013-12-15,35,False
2013-12-22,19,False
2013-12-29,18,False
2014-01-05,22,False
2014-01-12,29,False
2014-01-19,13,False
2014-01-26,42,False
2014-02-02,25,False
2014-02-09,38,False
2014-02-16,34,False
2014-02-23,29,False
2014-03-02,44,False
2014-03-09,42,False
2014-03-16,32,False
2014-03-23,63,False
2014-03-30,34,False
2014-04-06,54,False
2014-04-13,35,False
2014-04-20,33,False
2014-04-27,28,False
2014-05-04,50,False
2014-05-11,34,False
2014-05-18,48,False
2014-05-25,29,False
2014-06-01,40,False
2014-06-08,62,False
2014-06-15,63,False
2014-06-22,55,False
2014-06-29,56,False
2014-07-06,42,False
2014-07-13,55,False
2014-07-20,46,False
2014-07-27,65,False
2014-08-03,50,False
2014-08-10,49,False
2014-08-17,41,False
2014-08-24,49,False
2014-08-31,45,False
2014-09-07,50,False
2014-09-14,48,False
2014-09-21,41,False
2014-09-28,100,False
2014-10-05,59,False
2014-10-12,54,False
2014-10-19,60,False
2014-10-26,68,False
2014-11-02,43,False
2014-11-09,60,False
2014-11-16,26,False
2014-11-23,23,False
2014-11-30,42,False
2014-12-07,47,False
2014-12-14,32,False
2014-12-21,29,False
2014-12-28,27,False
2015-01-04,45,False
2015-01-11,52,False
2015-01-18,37,False
2015-01-25,41,False
2015-02-01,55,False
2015-02-08,32,False
2015-02-15,24,False
2015-02-22,46,False
2015-03-01,47,False
2015-03-08,50,False
2015-03-15,33,False
2015-03-22,30,False
2015-03-29,35,False
2015-04-05,22,False
2015-04-12,48,False
2015-04-19,29,False
2015-04-26,34,False
2015-05-03,39,False
2015-05-10,48,False
2015-05-17,29,False
