date,BRLEUR,isPartial
2017-07-16,34,False
2017-07-23,36,False
2017-07-30,0,False
2017-08-06,32,False
2017-08-13,56,False
2017-08-20,37,False
2017-08-27,0,False
2017-09-03,32,False
2017-09-10,0,False
2017-09-17,31,False
2017-09-24,0,False
2017-10-01,42,False
2017-10-08,31,False
2017-10-15,0,False
2017-10-22,31,False
2017-10-29,0,False
2017-11-05,30,False
2017-11-12,60,False
2017-11-19,0,False
2017-11-26,30,False
2017-12-03,87,False
2017-12-10,0,False
2017-12-17,42,False
2017-12-24,45,False
2017-12-31,0,True
